Rank,Player,Share,Season
16T,Gary Harris,0.004,harriga01
16T,Myles Turner,0.004,turnemy01
20T,Avery Bradley,0.002,bradlav01
20T,Clint Capela,0.002,capelca01
20T,DeMar DeRozan,0.002,derozde01
20T,Joe Ingles,0.002,inglejo01
20T,John Wall,0.002,walljo01
20T,Hassan Whiteside,0.002,whiteha01
1,CJ McCollum,0.860,2015-16
2,Kemba Walker,0.255,walkeke02
3,Giannis Antetokounmpo,0.152,antetgi01
4,Stephen Curry,0.128,curryst01
5,Will Barton,0.095,bartowi01
6,Jae Crowder,0.069,crowdja01
7,Draymond Green,0.066,greendr01
8,Isaiah Thomas,0.046,thomais02
9,Hassan Whiteside,0.040,whiteha01
10,Kawhi Leonard,0.028,leonaka01
11,Andre Drummond,0.017,drumman01
12,Gary Harris,0.009,harriga01
13T,Kent Bazemore,0.006,bazemke01
13T,Evan Fournier,0.006,fournev01
15T,Rodney Hood,0.005,hoodro01
15T,Reggie Jackson,0.005,jacksre01
15T,Ian Mahinmi,0.005,mahinia01
15T,Russell Westbrook,0.005,westbru01
19T,Zach LaVine,0.002,lavinza01
19T,Kyle Lowry,0.002,lowryky01
1,Jimmy Butler,0.829,2014-15
2,Draymond Green,0.310,greendr01
3,Rudy Gobert,0.293,goberru01
4,Hassan Whiteside,0.136,whiteha01
5,Klay Thompson,0.065,thompkl01
6,Anthony Davis,0.042,davisan02
7,Giannis Antetokounmpo,0.034,antetgi01
8,Donatas Motiejūnas,0.011,motiedo01
9,Dennis Schröder,0.009,schrode01
10T,DeMarre Carroll,0.008,carrode01
10T,Tyler Zeller,0.008,zellety01
12T,DeMarcus Cousins,0.006,couside01
12T,Khris Middleton,0.006,middlkh01
14T,Jae Crowder,0.005,crowdja01
14T,Kyrie Irving,0.005,irvinky01
14T,DeAndre Jordan,0.005,jordade01
14T,Victor Oladipo,0.005,oladivi01
18T,Kentavious Caldwell-Pope,0.003,caldwke01
18T,Nikola Vučević,0.003,vucevni01
20T,Robert Covington,0.002,covinro01
20T,Tyreke Evans,0.002,evansty01
20T,Derrick Favors,0.002,favorde01
20T,Enes Freedom,0.002,kanteen01
20T,Marc Gasol,0.002,gasolma01
20T,Tobias Harris,0.002,harrito02
20T,Gordon Hayward,0.002,haywago01
20T,George Hill,0.002,hillge01
20T,Brandon Knight,0.002,knighbr03
20T,Kawhi Leonard,0.002,leonaka01
20T,Meyers Leonard,0.002,leoname01
1,Goran Dragić,0.648,2013-14
2,Lance Stephenson,0.251,stephla01
3,Anthony Davis,0.246,davisan02
4,Gerald Green,0.186,greenge01
5,DeAndre Jordan,0.105,jordade01
6,Kyle Lowry,0.068,lowryky01
7,Blake Griffin,0.062,griffbl01
8,DeMar DeRozan,0.044,derozde01
9,Patty Mills,0.022,millspa02
10T,Markieff Morris,0.021,morrima02
10T,Isaiah Thomas,0.021,thomais02
12,Shaun Livingston,0.017,livinsh01
13,D.J. Augustin,0.014,augusdj01
14,Reggie Jackson,0.013,jacksre01
15T,Robin Lopez,0.010,lopezro01
15T,Klay Thompson,0.010,thompkl01
17T,Kevin Durant,0.008,duranke01
17T,DeMarcus Cousins,0.008,couside01
19,Al Jefferson,0.006,jeffeal01
20T,Bradley Beal,0.005,bealbr01
20T,Mike Conley,0.005,conlemi01
