Player,Age,G,GS,MP_PERGAME,FG_PERGAME,FGA_PERGAME,FG%_PERGAME,3P_PERGAME,3PA_PERGAME,3P%_PERGAME,2P_PERGAME,2PA_PERGAME,2P%_PERGAME,eFG%_PERGAME,FT_PERGAME,FTA_PERGAME,FT%_PERGAME,ORB_PERGAME,DRB_PERGAME,TRB_PERGAME,AST_PERGAME,STL_PERGAME,BLK_PERGAME,TOV_PERGAME,PF_PERGAME,PTS_PERGAME,Season,PER_AVANCADO,TS%_AVANCADO,3PAr_AVANCADO,FTr_AVANCADO,ORB%_AVANCADO,DRB%_AVANCADO,TRB%_AVANCADO,AST%_AVANCADO,STL%_AVANCADO,BLK%_AVANCADO,TOV%_AVANCADO,USG%_AVANCADO,OWS_AVANCADO,DWS_AVANCADO,WS_AVANCADO,WS/48_AVANCADO,OBPM_AVANCADO,DBPM_AVANCADO,BPM_AVANCADO,VORP_AVANCADO,MP_TOTAL,FG_TOTAL,FGA_TOTAL,FG%_TOTAL,3P_TOTAL,3PA_TOTAL,3P%_TOTAL,2P_TOTAL,2PA_TOTAL,2P%_TOTAL,eFG%_TOTAL,FT_TOTAL,FTA_TOTAL,FT%_TOTAL,ORB_TOTAL,DRB_TOTAL,TRB_TOTAL,AST_TOTAL,STL_TOTAL,BLK_TOTAL,TOV_TOTAL,PF_TOTAL,PTS_TOTAL,Seed,PCT,MVP Rank,MVP Votes Share
Joel Embiid,27,68,68,33.8,9.8,19.6,0.499,1.4,3.7,0.371,8.4,15.9,0.529,0.534,9.6,11.8,0.814,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,30.6,2021-22,31.2,0.616,0.188,0.602,7.2,31.1,19.4,23.5,1.7,3.9,11.3,37.2,7.9,4.1,12.0,0.252,7.2,2.0,9.2,6.5,2297,666,1334,0.499,93,251,0.371,573,1083,0.529,0.534,654,803,0.814,146,650,796,284,77,99,214,181,2079,8.0,0.6219512195121951,2,0.706
Darius Garland,22,68,68,35.7,8.0,17.3,0.462,2.6,6.7,0.383,5.4,10.6,0.512,0.536,3.2,3.5,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.6,1.7,21.7,2021-22,19.0,0.576,0.387,0.205,1.8,8.2,5.1,39.9,1.8,0.3,16.2,27.8,3.8,2.5,6.3,0.125,3.4,-0.8,2.6,2.8,2430,542,1173,0.462,174,454,0.383,368,719,0.512,0.536,215,241,0.892,39,185,224,583,89,7,248,115,1473,15.0,0.5365853658536586,0,0.0
Jrue Holiday,31,67,64,32.9,7.1,14.2,0.501,2.0,4.8,0.411,5.2,9.4,0.547,0.57,2.0,2.7,0.761,1.0,3.5,4.5,6.8,1.6,0.4,2.7,2.0,18.3,2021-22,19.8,0.593,0.336,0.189,3.4,10.9,7.2,31.8,2.4,1.3,15.0,23.5,4.5,2.4,6.9,0.15,2.9,0.3,3.2,2.9,2207,478,954,0.501,132,321,0.411,346,633,0.547,0.57,137,180,0.761,69,232,301,457,108,29,183,133,1225,7.0,0.6219512195121951,0,0.0
LeBron James,37,56,56,37.2,11.4,21.8,0.524,2.9,8.0,0.359,8.6,13.8,0.62,0.59,4.5,6.0,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3,2021-22,26.2,0.619,0.367,0.275,3.3,20.4,11.8,30.6,1.7,2.5,12.5,32.3,5.2,2.3,7.5,0.172,6.9,0.8,7.7,5.1,2084,640,1221,0.524,161,448,0.359,479,773,0.62,0.59,254,336,0.756,63,396,459,349,73,59,196,121,1695,23.0,0.4024390243902439,10T,0.001
Nikola Jokić,26,74,74,33.5,10.3,17.7,0.583,1.3,3.9,0.337,9.0,13.8,0.652,0.62,5.1,6.3,0.81,2.8,11.0,13.8,7.9,1.5,0.9,3.8,2.6,27.1,2021-22,32.8,0.661,0.22,0.357,9.6,35.5,23.0,42.6,2.2,2.3,15.6,31.9,10.8,4.5,15.2,0.296,9.2,4.5,13.7,9.8,2476,764,1311,0.583,97,288,0.337,667,1023,0.652,0.62,379,468,0.81,206,813,1019,584,109,63,281,191,2004,10.0,0.5853658536585366,1,0.875
Zach LaVine,26,67,67,34.7,8.4,17.7,0.476,2.8,7.1,0.389,5.7,10.6,0.534,0.554,4.8,5.6,0.853,0.3,4.3,4.6,4.5,0.6,0.3,2.6,1.8,24.4,2021-22,20.0,0.605,0.401,0.316,1.1,13.8,7.4,20.8,0.9,0.9,11.2,28.8,4.5,1.3,5.8,0.12,3.9,-1.5,2.4,2.6,2328,565,1186,0.476,185,475,0.389,380,711,0.534,0.554,320,375,0.853,22,286,308,303,41,23,171,120,1635,12.0,0.5609756097560976,0,0.0
Khris Middleton,30,66,66,32.4,6.8,15.5,0.443,2.5,6.6,0.373,4.4,8.9,0.494,0.522,3.9,4.4,0.89,0.6,4.8,5.4,5.4,1.2,0.3,2.9,2.4,20.1,2021-22,18.1,0.577,0.425,0.285,2.1,15.3,8.8,25.5,1.7,0.8,14.2,26.7,3.2,2.2,5.3,0.119,1.9,-0.3,1.6,1.9,2141,452,1021,0.443,162,434,0.373,290,587,0.494,0.522,259,291,0.89,41,315,356,358,76,18,190,160,1325,7.0,0.6219512195121951,0,0.0
Donovan Mitchell,25,67,67,33.8,9.2,20.5,0.448,3.5,9.8,0.355,5.7,10.8,0.533,0.533,4.0,4.7,0.853,0.8,3.4,4.2,5.3,1.5,0.2,3.0,2.4,25.9,2021-22,21.6,0.572,0.475,0.227,2.7,10.6,6.8,27.7,2.2,0.5,11.7,32.9,4.7,2.5,7.2,0.152,4.6,-0.3,4.3,3.6,2266,617,1376,0.448,232,654,0.355,385,722,0.533,0.533,267,313,0.853,55,227,282,358,99,12,200,164,1733,9.0,0.5975609756097561,0,0.0
Ja Morant,22,57,57,33.1,10.2,20.6,0.493,1.5,4.5,0.344,8.6,16.2,0.534,0.53,5.5,7.3,0.761,1.4,4.4,5.7,6.7,1.2,0.4,3.4,1.5,27.4,2021-22,24.4,0.575,0.218,0.353,4.2,14.1,9.0,34.1,1.7,1.0,12.6,33.7,4.6,2.1,6.7,0.171,6.2,-0.1,6.1,3.9,1889,580,1177,0.493,88,256,0.344,492,921,0.534,0.53,316,415,0.761,77,248,325,384,66,22,196,86,1564,2.0,0.6829268292682927,7,0.01
Chris Paul,36,65,65,32.9,5.6,11.3,0.493,1.0,3.1,0.317,4.6,8.3,0.559,0.536,2.6,3.1,0.837,0.3,4.0,4.4,10.8,1.9,0.3,2.4,2.1,14.7,2021-22,20.8,0.581,0.27,0.274,1.1,12.8,7.1,44.5,2.7,0.8,15.6,19.7,5.8,3.6,9.4,0.21,3.1,2.3,5.4,4.0,2139,363,736,0.493,63,199,0.317,300,537,0.559,0.536,169,202,0.837,22,261,283,702,121,20,153,134,958,1.0,0.7804878048780488,9,0.002
