Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,CON,F,6,107,6,0,107,11,36,.306,2,12,.167,9,24,.375,10,12,.833,3,20,12,8,0,11,13,34
Matee Ajavon,HOU,G,34,604,34,2,604,94,283,.332,13,67,.194,81,216,.375,72,91,.791,33,60,59,30,6,54,85,273
Charel Allen,SAC,G,6,49,6,0,49,7,16,.438,2,6,.333,5,10,.500,0,0,,2,6,3,1,0,6,5,16
Jolene Anderson,CON,G,24,367,24,7,367,35,126,.278,16,69,.232,19,57,.333,11,15,.733,11,58,26,7,1,16,17,97
Nicky Anosike,MIN,F-C,34,920,34,34,920,99,226,.438,0,1,.000,99,225,.440,116,166,.699,78,231,45,75,43,42,125,314
La'Tangela Atkinson,SAC,G-F,5,73,5,1,73,6,16,.375,0,1,.000,6,15,.400,2,4,.500,3,14,8,5,2,10,5,14
Morenike Atunrase,SAS,G-F,33,348,33,0,348,24,87,.276,12,41,.293,12,46,.261,11,16,.688,16,48,23,16,13,26,21,71
Seimone Augustus*,MIN,G-F,31,1042,31,31,1042,233,496,.470,20,63,.317,213,433,.492,105,118,.890,28,120,83,32,12,52,46,591
Sherill Baker,IND,G,13,110,13,0,110,12,37,.324,0,1,.000,12,36,.333,25,34,.735,7,22,15,9,1,11,15,49
Mistie Bass,HOU,F,32,365,32,0,365,47,93,.505,0,1,.000,47,92,.511,28,51,.549,36,77,18,13,9,27,32,122
Ashley Battle,NYL,F,34,336,34,0,336,37,98,.378,11,30,.367,26,68,.382,36,50,.720,18,53,24,15,1,28,26,121
Alana Beard,WAS,G-F,33,1092,33,33,1092,187,474,.395,51,144,.354,136,330,.412,107,146,.733,4,118,117,55,19,106,111,532
Kimberly Beck,SEA,G,17,93,17,0,93,4,9,.444,4,6,.667,0,3,.000,5,6,.833,2,12,6,4,2,4,7,17
Val Berezhynska,SAS,C,2,6,2,0,6,0,2,.000,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,0
