Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,MIN,F,22,332,22,0,332,47,91,.516,0,2,.000,47,89,.528,22,27,.815,25,90,37,9,7,22,36,116
Julie Allemand,CHI,G,25,402,25,4,402,25,60,.417,9,31,.290,16,29,.552,15,18,.833,9,39,85,14,3,33,23,74
Lindsay Allen,MIN,G,9,134,9,0,134,20,38,.526,8,14,.571,12,24,.500,12,13,.923,0,14,31,2,0,7,11,60
Rebecca Allen,NYL,F-G,25,523,25,19,523,64,169,.379,26,83,.313,38,86,.442,20,24,.833,8,84,31,19,24,24,48,174
Yvonne Anderson,CON,G,11,101,11,0,101,12,26,.462,4,10,.400,8,16,.500,7,7,1.000,3,9,12,3,2,11,14,35
Kristine Anigwe,PHO,F-C,10,65,10,1,65,5,10,.500,0,0,,5,10,.500,5,10,.500,5,13,2,1,2,6,12,15
Ariel Atkins,WAS,G,36,1081,36,36,1081,185,440,.420,70,192,.365,115,248,.464,87,103,.845,34,117,83,47,9,51,99,527
Amy Atwell,LAS,F,4,32,4,1,32,1,9,.111,1,6,.167,0,3,.000,0,0,,1,2,2,0,0,2,1,3
Shakira Austin,WAS,C-F,36,776,36,32,776,122,223,.547,0,1,.000,122,222,.550,68,109,.624,63,232,33,27,30,54,84,312
Rachel Banham,MIN,G,36,630,36,5,630,101,235,.430,57,149,.383,44,86,.512,24,30,.800,3,48,81,9,4,48,62,283
Kierstan Bell,LVA,F,21,121,21,1,121,10,33,.303,3,22,.136,7,11,.636,4,4,1.000,4,19,7,2,3,5,10,27
Katie Benzan,WAS,G,3,27,3,0,27,5,9,.556,5,7,.714,0,2,.000,3,4,.750,1,2,1,0,1,2,7,18
Monique Billings,ATL,F,23,401,23,8,401,55,117,.470,0,1,.000,55,116,.474,39,51,.765,45,146,26,19,8,31,54,149
Sue Bird,SEA,G,31,818,31,31,818,85,211,.403,56,144,.389,29,67,.433,16,16,1.000,6,59,186,37,4,60,23,242
DeWanna Bonner,CON,F-G,33,991,33,33,991,156,355,.439,46,140,.329,110,215,.512,86,104,.827,25,156,91,41,11,52,59,444
Lexie Brown,LAS,G,34,850,34,16,850,93,211,.441,53,133,.398,40,78,.513,4,6,.667,8,78,70,34,7,28,44,243
Kennedy Burke,WAS,G-F,16,222,16,4,222,33,74,.446,11,32,.344,22,42,.524,10,17,.588,8,35,7,16,4,8,17,87
Rae Burrell,LAS,G-F,3,44,3,1,44,1,9,.111,1,6,.167,0,3,.000,2,2,1.000,1,3,1,2,0,1,4,5
Veronica Burton,DAL,G,36,548,36,6,548,25,76,.329,12,43,.279,13,33,.394,32,32,1.000,17,53,68,34,11,35,51,94
Maya Caldwell,ATL,G,9,214,9,7,214,38,74,.514,18,32,.563,20,42,.476,4,5,.800,5,22,20,7,2,14,15,98
Liz Cambage,LAS,C,25,584,25,24,584,117,230,.509,4,14,.286,113,216,.523,87,111,.784,33,160,52,16,41,57,79,325
Jordin Canada,LAS,G,32,865,32,25,865,104,271,.384,7,50,.140,97,221,.439,79,98,.806,7,73,176,44,5,75,58,294
Bridget Carleton,MIN,F,36,606,36,2,606,54,135,.400,29,83,.349,25,52,.481,19,26,.731,12,77,40,16,5,23,56,156
DiJonai Carrington,CON,G-F,36,631,36,2,631,84,203,.414,19,62,.306,65,141,.461,57,76,.750,38,112,38,29,4,59,70,244
Chennedy Carter,LAS,G,24,393,24,2,393,85,189,.450,2,10,.200,83,179,.464,41,55,.745,9,45,46,15,9,43,52,213
Kaila Charles,ATL,G-F,1,2,1,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0
Alysha Clark,WAS,F,29,766,29,29,766,91,196,.464,30,99,.303,61,97,.629,21,23,.913,23,131,59,28,8,38,55,233
Natasha Cloud,WAS,G,34,1065,34,34,1065,123,308,.399,43,135,.319,80,173,.462,75,91,.824,16,122,239,35,10,94,55,364
Nia Clouden,CON,G,28,250,28,0,250,18,53,.340,12,29,.414,6,24,.250,10,17,.588,2,23,21,6,1,12,26,58
Alaina Coates,IND,C,8,75,8,0,75,7,11,.636,0,0,,7,11,.636,14,15,.933,6,16,2,2,3,5,18,28
Nia Coffey,ATL,F,16,336,16,16,336,35,101,.347,9,31,.290,26,70,.371,23,31,.742,7,83,12,10,2,35,35,102
Charli Collier,DAL,C,17,78,17,0,78,12,27,.444,0,2,.000,12,25,.480,10,14,.714,4,10,2,1,0,10,19,34
Napheesa Collier,MIN,F,4,91,4,4,91,11,26,.423,2,7,.286,9,19,.474,5,7,.714,2,12,4,2,1,1,9,29
Sydney Colson,LVA,G,18,123,18,0,123,10,32,.313,3,11,.273,7,21,.333,5,5,1.000,3,8,18,2,0,7,14,28
Kahleah Copper,CHI,G-F,31,891,31,31,891,176,366,.481,36,101,.356,140,265,.528,100,129,.775,32,176,70,14,1,63,75,488
Lorela Cubaj,NYL,F-C,11,88,11,0,88,4,12,.333,0,0,,4,12,.333,0,0,,9,23,4,0,2,5,12,8
Elissa Cunane,MIN,C,3,10,3,0,10,1,2,.500,0,1,.000,1,1,1.000,0,0,,2,5,0,0,0,1,1,2
Sophie Cunningham,PHO,G,28,827,28,20,827,120,267,.449,70,175,.400,50,92,.543,42,48,.875,19,123,45,28,10,29,94,352
Damiris Dantas,MIN,F,15,262,15,15,262,28,92,.304,16,61,.262,12,31,.387,5,6,.833,10,57,28,3,1,16,18,77
Elena Delle Donne,WAS,F-G,25,694,25,25,694,155,323,.480,35,95,.368,120,228,.526,84,92,.913,30,158,57,12,27,27,36,429
Diamond DeShields,PHO,G,30,760,30,19,760,142,366,.388,21,89,.236,121,277,.437,88,115,.765,18,115,67,30,15,70,99,393
Jasmine Dickey,DAL,G,20,93,20,0,93,7,33,.212,1,4,.250,6,29,.207,6,9,.667,6,12,2,4,1,5,9,21
Skylar Diggins-Smith,PHO,G,30,1019,30,30,1019,208,485,.429,40,135,.296,168,350,.480,135,160,.844,28,121,166,46,30,80,81,591
Stefanie Dolson,NYL,C,36,826,36,36,826,113,229,.493,26,66,.394,87,163,.534,38,42,.905,43,172,66,13,28,56,112,290
Queen Egbo,IND,F-C,33,720,33,31,720,95,215,.442,0,0,,95,215,.442,49,76,.645,61,209,31,30,40,64,98,239
Emily Engstler,IND,F,35,638,35,6,638,72,182,.396,16,45,.356,56,137,.409,21,38,.553,72,181,51,27,40,48,110,181
Dana Evans,CHI,G,33,378,33,1,378,49,130,.377,22,67,.328,27,63,.429,22,25,.880,5,27,41,10,3,27,29,142
Sylvia Fowles,MIN,C,30,831,30,30,831,184,296,.622,0,0,,184,296,.622,64,97,.660,74,294,36,31,36,64,73,432
