Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,34,883,34,34,883,137,260,.527,0,0,,137,260,.527,76,95,.800,86,234,46,29,23,38,106,350
Kayla Alexander,IND,C,30,257,30,0,257,33,61,.541,0,0,,33,61,.541,14,17,.824,21,65,5,4,10,19,37,80
Lindsay Allen,LVA,G,24,358,24,6,358,28,73,.384,1,16,.063,27,57,.474,17,24,.708,3,30,69,15,0,21,17,74
Rebecca Allen,NYL,F-G,28,291,28,0,291,38,101,.376,10,38,.263,28,63,.444,21,25,.840,13,48,8,9,11,16,36,107
Ariel Atkins,WAS,G,29,652,29,24,652,120,278,.432,45,126,.357,75,152,.493,42,51,.824,28,69,60,39,10,39,73,327
Seimone Augustus*,MIN,G-F,33,864,33,33,864,156,334,.467,21,66,.318,135,268,.504,24,34,.706,5,60,85,14,8,40,32,357
Rachel Banham,CON,G,33,424,33,5,424,55,133,.414,30,81,.370,25,52,.481,33,38,.868,6,29,48,15,3,18,55,173
Alana Beard,LAS,G-F,30,766,30,30,766,51,130,.392,2,5,.400,49,125,.392,17,21,.810,36,98,50,44,6,20,73,121
Hind Ben Abdelkader,IND,G,14,142,14,0,142,8,43,.186,6,29,.207,2,14,.143,7,8,.875,1,14,11,4,1,13,10,29
Monique Billings,ATL,F,32,353,32,0,353,41,93,.441,0,0,,41,93,.441,24,32,.750,37,88,12,14,1,14,37,106
Sue Bird,SEA,G,31,824,31,31,824,115,247,.466,60,134,.448,55,113,.487,24,29,.828,5,54,221,35,2,59,38,314
Kelsey Bone,LVA,C,32,344,32,10,344,40,80,.500,0,0,,40,80,.500,9,18,.500,19,70,38,3,2,30,61,89
DeWanna Bonner,PHO,F-G,34,1120,34,34,1120,208,460,.452,55,176,.313,153,284,.539,117,135,.867,47,246,108,43,14,55,62,588
Brittany Boyd,NYL,G,30,613,30,14,613,70,169,.414,10,27,.370,60,142,.423,41,53,.774,10,117,159,37,3,81,72,191
Imani McGee-Stafford,ATL,C,29,305,29,2,305,39,86,.453,0,0,,39,86,.453,7,15,.467,39,99,18,13,11,23,44,85
Jessica Breland,ATL,F,34,899,34,34,899,124,290,.428,0,0,,124,290,.428,33,44,.750,58,269,68,39,65,57,86,281
Lexie Brown,CON,G,22,124,22,0,124,12,44,.273,9,29,.310,3,15,.200,4,7,.571,1,17,12,6,1,10,10,37
Rebekkah Brunson,MIN,F,25,691,25,25,691,64,158,.405,18,48,.375,46,110,.418,33,49,.673,37,169,60,20,13,37,60,179
Liz Cambage,DAL,C,32,945,32,32,945,278,472,.589,12,37,.324,266,435,.611,169,229,.738,75,309,73,15,54,89,89,737
Jordin Canada,SEA,G,33,543,33,2,543,65,182,.357,10,55,.182,55,127,.433,48,65,.738,9,49,108,30,1,56,38,188
Essence Carson,LAS,G,34,786,34,15,786,101,232,.435,39,108,.361,62,124,.500,15,16,.938,10,90,31,29,12,21,51,256
Tina Charles,NYL,C,33,1088,33,33,1088,263,556,.473,31,95,.326,232,461,.503,94,122,.770,63,231,90,24,20,93,84,651
Saniya Chong,DAL,G,5,43,5,0,43,1,6,.167,0,1,.000,1,5,.200,2,3,.667,1,4,5,3,0,1,3,4
Karima Christmas-Kelly,DAL,F-G,6,167,6,6,167,13,29,.448,4,9,.444,9,20,.450,26,32,.813,11,33,9,2,2,10,14,56
Alysha Clark,SEA,F,31,813,31,30,813,83,173,.480,29,74,.392,54,99,.545,33,39,.846,31,108,58,31,4,36,70,228
Natasha Cloud,WAS,G,27,715,27,22,715,89,204,.436,32,83,.386,57,121,.471,21,27,.778,6,86,125,20,4,45,54,231
Alaina Coates,CHI,C,32,364,32,0,364,42,74,.568,0,0,,42,74,.568,25,40,.625,39,102,13,6,7,17,58,109
Nia Coffey,LVA,F,28,386,28,10,386,52,137,.380,2,5,.400,50,132,.379,42,68,.618,21,66,17,9,6,38,47,148
Marissa Coleman,NYL,G-F,21,384,21,18,384,40,115,.348,12,43,.279,28,72,.389,6,6,1.000,13,50,22,10,5,13,22,98
Sydney Colson,MIN,G,2,17,2,0,17,3,7,.429,0,2,.000,3,5,.600,1,2,.500,1,2,4,0,1,4,2,7
Kahleah Copper,CHI,G-F,33,524,33,2,524,81,204,.397,24,64,.375,57,140,.407,49,56,.875,17,73,20,10,6,32,45,235
Monique Currie,WAS,F,32,508,32,9,508,68,172,.395,17,58,.293,51,114,.447,59,71,.831,18,96,27,13,6,38,72,212
Damiris Dantas,ATL,F,19,255,19,0,255,42,97,.433,5,21,.238,37,76,.487,13,18,.722,17,45,16,8,0,10,32,102
Kaela Davis,DAL,F,27,453,27,6,453,50,144,.347,10,41,.244,40,103,.388,25,39,.641,13,55,37,9,1,35,57,135
Elena Delle Donne,WAS,F-G,29,933,29,29,933,220,451,.488,49,121,.405,171,330,.518,110,124,.887,43,210,67,26,40,27,49,599
Diamond DeShields,CHI,G,34,967,34,33,967,166,391,.425,40,122,.328,126,269,.468,117,140,.836,37,167,74,37,10,70,74,489
