Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Farhiya Abdi,LAS,F,17,122,17,0,122,15,39,.385,0,0,,15,39,.385,8,12,.667,4,12,9,2,1,4,15,38
Danielle Adams,SAS,F-C,34,899,34,24,899,170,399,.426,42,129,.326,128,270,.474,106,150,.707,53,161,42,29,25,61,95,488
Matee Ajavon,WAS,G,34,772,34,27,772,95,261,.364,19,62,.306,76,199,.382,94,119,.790,24,59,99,32,3,75,74,303
Kayla Alexander,SAS,C,33,371,33,1,371,35,84,.417,0,0,,35,84,.417,22,30,.733,43,99,10,4,14,35,46,92
Jayne Appel-Marinelli,SAS,C,29,768,29,29,768,70,121,.579,1,3,.333,69,118,.585,29,49,.592,75,259,57,26,37,44,85,170
Seimone Augustus*,MIN,G-F,31,922,31,31,922,213,413,.516,20,69,.290,193,344,.561,58,66,.879,24,98,76,18,18,45,33,504
Mistie Bass,CON,F,33,593,33,5,593,94,171,.550,0,0,,94,171,.550,42,69,.609,48,144,32,22,29,48,60,230
Alana Beard,LAS,G-F,32,703,32,32,703,85,185,.459,1,8,.125,84,177,.475,28,34,.824,13,72,45,40,10,42,72,199
Alex Bentley,ATL,G,34,753,34,10,753,113,284,.398,28,85,.329,85,199,.427,27,38,.711,11,48,95,34,3,39,77,281
Chante Black,SAS,C,1,10,1,0,10,1,2,.500,0,0,,1,2,.500,0,0,,1,2,0,0,1,2,1,2
Kelsey Bone,NYL,C,34,663,34,2,663,99,215,.460,0,1,.000,99,214,.463,36,57,.632,73,185,25,12,12,52,87,234
DeWanna Bonner,PHO,F-G,34,1119,34,33,1119,160,390,.410,54,166,.325,106,224,.473,118,131,.901,35,198,82,39,11,56,45,492
Cierra Bravard,SEA,F,6,27,6,0,27,1,3,.333,1,2,.500,0,1,.000,0,0,,3,5,0,1,1,3,12,3
Kara Braxton,NYL,C-F,34,740,34,33,740,130,270,.481,0,0,,130,270,.481,37,56,.661,86,226,40,22,14,77,100,297
Jessica Breland,IND,F,30,439,30,2,439,69,157,.439,0,0,,69,157,.439,20,27,.741,50,121,17,17,31,34,38,158
Rebekkah Brunson,MIN,F,33,965,33,33,965,147,296,.497,1,1,1.000,146,295,.495,56,88,.636,89,294,50,42,29,39,70,351
Liz Cambage,TUL,C,20,499,20,16,499,106,189,.561,0,0,,106,189,.561,114,147,.776,50,166,22,10,48,62,58,326
Michelle Campbell,CHI,F,31,238,31,0,238,16,51,.314,0,0,,16,51,.314,22,30,.733,21,48,5,5,6,16,41,54
Essence Carson,NYL,G,4,118,4,4,118,22,40,.550,1,3,.333,21,37,.568,12,14,.857,4,22,7,2,2,10,6,57
