Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Teresa Edwards*,MIN,G-F,34,697,34,34,697,74,200,.370,25,85,.294,49,115,.426,21,30,.700,29,90,79,47,8,93,37,194
Barbara Farris,DET,F-C,26,422,26,0,422,41,80,.513,0,0,,41,80,.513,36,54,.667,28,61,7,8,2,26,46,118
Allison Feaster,CHA,F,33,1052,33,32,1052,132,332,.398,45,143,.315,87,189,.460,79,91,.868,22,84,60,27,6,68,61,388
Marie Ferdinand-Harris,SAS,G,17,509,17,17,509,67,162,.414,10,27,.370,57,135,.422,55,64,.859,18,54,29,32,2,35,34,199
Cheryl Ford,DET,F,31,912,31,31,912,118,287,.411,0,0,,118,287,.411,93,158,.589,104,297,34,41,25,54,118,329
Trina Frierson,SEA,F,5,22,5,0,22,2,9,.222,0,1,.000,2,8,.250,3,3,1.000,3,5,0,0,0,1,7,7
Candace Futrell,CON,G,20,144,20,0,144,11,38,.289,7,17,.412,4,21,.190,13,16,.813,7,19,10,5,1,7,20,42
Adrienne Goodson,SAS,F,34,1068,34,34,1068,142,317,.448,4,16,.250,138,301,.458,84,102,.824,89,235,60,28,2,67,77,372
Shaunzinski Gortman,WAS,G,4,24,4,0,24,0,0,,0,0,,0,0,,0,0,,0,4,2,0,1,2,0,0
Michelle Greco,SEA,G,13,73,13,0,73,10,18,.556,0,2,.000,10,16,.625,9,13,.692,3,10,8,3,0,8,6,29
Yolanda Griffith*,SAC,C-F,34,1031,34,34,1031,177,341,.519,0,1,.000,177,340,.521,140,186,.753,122,246,42,75,41,59,99,494
Lady Grooms,SAC,F,28,235,28,0,235,19,66,.288,0,0,,19,66,.288,11,12,.917,10,18,11,7,2,2,14,49
Gordana Grubin,HOU,G,5,24,5,0,24,0,3,.000,0,0,,0,3,.000,2,2,1.000,0,1,0,0,0,3,2,2
Becky Hammon*,NYL,G,34,1130,34,34,1130,153,354,.432,57,170,.335,96,184,.522,97,116,.836,17,118,150,58,2,118,73,460
Vanessa Hayden,MIN,C,29,350,29,1,350,66,159,.415,0,0,,66,159,.415,21,38,.553,23,84,7,7,29,34,65,153
Jessie Hicks,SAS,C-F,27,371,27,10,371,52,111,.468,0,0,,52,111,.468,23,38,.605,23,57,18,17,13,34,57,127
Doneeka Lewis,LAS,G,24,245,24,3,245,16,52,.308,4,17,.235,12,35,.343,7,10,.700,3,22,16,10,2,17,9,43
Ebony Hoffman,IND,F,30,334,30,13,334,26,83,.313,5,17,.294,21,66,.318,3,4,.750,34,87,21,15,5,27,51,60
Chamique Holdsclaw,WAS,F,23,801,23,22,801,162,403,.402,7,17,.412,155,386,.402,106,132,.803,51,191,56,39,18,57,67,437
Kedra Holland-Corn,HOU,G,27,703,27,21,703,59,159,.371,31,97,.320,28,62,.452,28,41,.683,19,66,53,40,3,46,51,177
Niele Ivey,IND,G,15,179,15,1,179,11,37,.297,8,24,.333,3,13,.231,4,6,.667,2,10,18,4,3,6,20,34
Deanna Jackson,IND,F,34,804,34,32,804,92,251,.367,0,12,.000,92,239,.385,52,73,.712,57,113,53,29,6,52,82,236
Lauren Jackson*,SEA,F-C,31,1070,31,31,1070,220,460,.478,52,115,.452,168,345,.487,142,175,.811,64,207,51,31,62,67,93,634
Tamicha Jackson,WAS,G,25,405,25,12,405,57,135,.422,10,25,.400,47,110,.427,11,16,.688,7,37,45,20,1,28,21,135
Amber Jacobs,MIN,G,32,391,32,0,391,31,100,.310,19,60,.317,12,40,.300,20,22,.909,3,36,47,13,0,45,36,101
LaTonya Johnson,HOU,F,6,36,6,0,36,2,7,.286,2,6,.333,0,1,.000,0,2,.000,0,1,1,2,0,2,3,6
Pollyanna Johns Kimbrough,HOU,C,19,157,19,0,157,3,17,.176,0,0,,3,17,.176,16,21,.762,16,29,1,4,3,8,21,22
Shannon Johnson,SAS,G,31,954,31,30,954,89,234,.380,27,76,.355,62,158,.392,82,107,.766,14,82,136,48,4,99,69,287
Tiffani Johnson,HOU,C,33,660,33,11,660,59,118,.500,0,0,,59,118,.500,24,32,.750,30,122,27,9,17,31,72,142
Vickie Johnson,NYL,G-F,34,1119,34,34,1119,121,293,.413,17,60,.283,104,233,.446,62,70,.886,37,121,124,25,4,71,75,321
Asjha Jones,CON,F,34,699,34,1,699,96,239,.402,2,6,.333,94,233,.403,41,48,.854,51,118,39,20,18,53,82,235
Chandi Jones,DET,G,31,397,31,8,397,37,103,.359,8,32,.250,29,71,.408,25,31,.806,8,34,45,18,5,40,41,107
Merlakia Jones,DET,G,33,517,33,2,517,76,205,.371,4,15,.267,72,190,.379,24,32,.750,23,69,21,19,2,26,41,180
Sheila Lambert,HOU,G,34,788,34,25,788,75,177,.424,7,27,.259,68,150,.453,40,51,.784,19,68,88,26,4,82,46,197
Amanda Lassiter,MIN,F,33,563,33,12,563,47,135,.348,27,89,.303,20,46,.435,6,9,.667,15,80,37,21,22,40,74,127
Kara Lawson,SAC,G,34,827,34,10,827,103,245,.420,51,134,.381,52,111,.468,37,44,.841,12,77,68,21,8,53,41,294
Betty Lennox,SEA,G,32,920,32,32,920,139,330,.421,22,83,.265,117,247,.474,58,68,.853,28,159,79,34,3,77,89,358
Lisa Leslie*,LAS,C,34,1150,34,34,1150,223,451,.494,6,22,.273,217,429,.506,146,205,.712,60,336,88,50,98,110,130,598
Tynesha Lewis,CHA,G,34,617,34,2,617,91,210,.433,20,50,.400,71,160,.444,44,58,.759,23,57,44,27,7,44,47,246
Stacey Lovelace,MIN,C,34,388,34,0,388,49,122,.402,3,17,.176,46,105,.438,20,24,.833,25,66,20,18,9,45,47,121
Mwadi Mabika,LAS,G,31,965,31,31,965,159,383,.415,38,94,.404,121,289,.419,89,108,.824,39,122,75,36,3,48,88,445
Laura Macchi,LAS,F,25,410,25,15,410,52,106,.491,7,26,.269,45,80,.563,41,55,.745,23,61,14,21,6,29,56,152
Hamchetou Maiga-Ba,SAC,F,34,480,34,0,480,62,132,.470,0,0,,62,132,.470,16,29,.552,35,71,25,29,6,49,63,140
Raffaella Masciadri,LAS,F,17,116,17,0,116,10,25,.400,4,11,.364,6,14,.429,4,10,.400,1,5,8,1,0,5,23,28
Kelly Mazzante,CHA,G,34,339,34,0,339,31,92,.337,13,52,.250,18,40,.450,4,6,.667,9,33,9,7,2,20,22,79
Stephanie White,IND,G-F,22,450,22,12,450,27,72,.375,13,39,.333,14,33,.424,24,34,.706,8,28,52,24,5,30,30,91
Nikki McCray,PHO,G,27,371,27,9,371,30,67,.448,5,11,.455,25,56,.446,4,7,.571,10,29,13,7,0,18,35,69
Teana Miller,CHA,C,9,77,9,0,77,14,27,.519,0,0,,14,27,.519,7,14,.500,9,18,0,2,6,5,21,35
Taj McWilliams-Franklin,CON,F-C,34,1133,34,34,1133,168,352,.477,0,12,.000,168,340,.494,77,128,.602,83,244,63,48,45,73,96,413
Chasity Melvin,WAS,C-F,34,825,34,16,825,104,256,.406,0,0,,104,256,.406,85,111,.766,63,131,37,15,18,52,89,293
Giuliana Mendiola,SAC,G,6,39,6,0,39,4,8,.500,2,5,.400,2,3,.667,0,0,,2,5,3,0,0,3,2,10
Coco Miller,WAS,G,33,637,33,8,637,72,167,.431,5,19,.263,67,148,.453,11,14,.786,35,63,43,18,3,27,60,160
Kelly Miller,IND,G,34,1096,34,34,1096,126,326,.387,46,112,.411,80,214,.374,50,57,.877,28,108,106,37,5,74,81,348
DeLisha Milton-Jones,LAS,F,19,604,19,19,604,65,161,.404,11,37,.297,54,124,.435,45,62,.726,35,90,31,23,10,48,63,186
Tamara Moore,PHO,G,32,387,32,0,387,27,61,.443,3,10,.300,24,51,.471,25,29,.862,7,28,53,26,9,34,46,82
Astou Ndiaye-Diatta,IND,F,10,74,10,0,74,5,19,.263,0,0,,5,19,.263,2,4,.500,2,11,4,1,3,8,7,12
Deanna Nolan,DET,G-F,34,1138,34,34,1138,166,435,.382,33,114,.289,133,321,.414,99,124,.798,29,134,112,66,12,90,75,464
Nicole Ohlde,MIN,F-C,34,1018,34,34,1018,136,308,.442,0,2,.000,136,306,.444,125,177,.706,83,194,60,16,45,74,103,397
Murriel Page,WAS,F,33,809,33,19,809,81,175,.463,0,3,.000,81,172,.471,22,40,.550,40,140,36,25,16,30,85,184
Wendy Palmer,CON,F,33,786,33,33,786,108,253,.427,13,41,.317,95,212,.448,68,85,.800,47,182,30,23,5,40,77,297
Ticha Penicheiro,SAC,G,33,970,33,32,970,63,178,.354,23,68,.338,40,110,.364,50,70,.714,14,102,163,64,2,72,64,199
Jocelyn Penn,SAS,F,1,3,1,0,3,2,2,1.000,0,0,,2,2,1.000,0,0,,0,1,0,0,0,0,0,4
Jia Perkins,CHA,G,4,17,4,0,17,0,5,.000,0,0,,0,5,.000,3,4,.750,1,3,1,3,0,1,2,3
Tari Phillips,NYL,F-C,13,311,13,13,311,33,95,.347,0,0,,33,95,.347,21,46,.457,28,70,16,14,10,33,41,87
Plenette Pierson,PHO,F,31,803,31,25,803,112,253,.443,0,3,.000,112,250,.448,66,109,.606,46,131,26,26,17,49,102,290
Elaine Powell,DET,G,30,760,30,26,760,52,138,.377,0,0,,52,138,.377,29,50,.580,31,84,134,36,8,61,67,133
Nicole Powell,CHA,F,31,384,31,0,384,50,121,.413,24,58,.414,26,63,.413,8,10,.800,10,71,16,15,4,22,37,132
Felicia Ragland,HOU,G,34,517,34,10,517,44,120,.367,19,49,.388,25,71,.352,11,13,.846,19,67,38,25,3,32,48,118
Semeka Randall,SAS,G,29,462,29,8,462,53,143,.371,0,5,.000,53,138,.384,30,48,.625,26,60,20,22,4,28,41,136
Kristen Rasmussen,IND,F,33,692,33,4,692,56,135,.415,10,27,.370,46,108,.426,30,38,.789,41,113,47,21,14,35,51,152
Ruth Riley,DET,C,34,1037,34,34,1037,153,343,.446,1,2,.500,152,341,.446,71,87,.816,68,199,50,31,53,82,121,378
Ashley Robinson,PHO,C,19,130,19,0,130,7,14,.500,0,1,.000,7,13,.538,3,7,.429,4,13,2,8,10,4,22,17
Crystal Robinson,NYL,F,28,890,28,27,890,122,279,.437,55,144,.382,67,135,.496,40,43,.930,19,83,58,24,8,33,77,339
Nykesha Sales,CON,F-G,34,1096,34,34,1096,210,486,.432,41,129,.318,169,357,.473,56,77,.727,33,135,97,75,8,76,98,517
Sheri Sam,SEA,G-F,34,1018,34,32,1018,117,284,.412,11,42,.262,106,242,.438,65,76,.855,42,139,82,53,6,63,108,310
Isabel Sanchez,DET,G,10,62,10,0,62,6,14,.429,2,5,.400,4,9,.444,8,11,.727,3,5,3,2,0,11,6,22
Nakia Sanford,WAS,C-F,31,653,31,29,653,63,126,.500,0,0,,63,126,.500,43,75,.573,53,154,18,18,16,37,99,169
Kelly Schumacher,IND,C,32,601,32,7,601,92,196,.469,5,13,.385,87,183,.475,35,45,.778,36,104,25,10,31,52,67,224
Olympia Scott,CHA,C,34,398,34,0,398,27,67,.403,0,1,.000,27,66,.409,19,32,.594,28,65,10,9,13,36,78,73
K.B. Sharp,NYL,G,30,240,30,0,240,9,37,.243,0,12,.000,9,25,.360,11,12,.917,5,21,33,6,1,20,7,29
Gwen Slaughter,MIN,F,3,7,3,0,7,0,1,.000,0,0,,0,1,.000,2,2,1.000,0,1,0,0,1,0,0,2
Aiysha Smith,WAS,F,29,403,29,3,403,42,103,.408,9,16,.563,33,87,.379,22,34,.647,26,69,15,17,12,21,38,115
Charlotte Smith,CHA,F,34,977,34,34,977,99,206,.481,29,58,.500,70,148,.473,53,73,.726,50,139,40,18,13,55,109,280
Katie Smith*,MIN,G,23,800,23,23,800,137,318,.431,60,139,.432,77,179,.430,98,109,.899,17,84,52,23,6,51,63,432
Tangela Smith,SAC,C,34,908,34,33,908,165,401,.411,5,29,.172,160,372,.430,45,56,.804,46,138,50,38,25,53,86,380
Michelle Snow,HOU,C,31,893,31,31,893,104,229,.454,0,0,,104,229,.454,68,113,.602,62,239,31,28,35,71,89,276
Dawn Staley*,CHA,G,34,1143,34,34,1143,106,246,.431,24,59,.407,82,187,.439,66,87,.759,12,58,171,43,2,74,83,302
Kate Starbird,IND,F-G,12,117,12,0,117,6,23,.261,3,10,.300,3,13,.231,5,6,.833,6,9,11,6,0,9,7,20
Stacy Stephens,DET,C,7,36,7,1,36,2,6,.333,0,0,,2,6,.333,0,2,.000,2,9,3,0,0,2,7,4
Mandisa Stevenson,SAS,F-C,29,259,29,0,259,15,45,.333,1,1,1.000,14,44,.318,7,8,.875,11,35,5,6,4,11,32,38
Andrea Stinson,CHA,G,34,777,34,34,777,79,191,.414,11,37,.297,68,154,.442,34,44,.773,25,119,49,27,7,41,60,203
Tammy Sutton-Brown,CHA,C,34,970,34,34,970,106,224,.473,0,0,,106,224,.473,113,162,.698,63,211,15,31,71,71,111,325
Sheryl Swoopes*,HOU,F-G,31,1070,31,31,1070,181,429,.422,20,65,.308,161,364,.442,77,90,.856,38,153,91,47,16,59,56,459
Diana Taurasi,PHO,G,34,1130,34,34,1130,209,503,.416,62,188,.330,147,315,.467,98,129,.760,28,149,132,43,25,90,117,578
Lindsay Taylor,PHO,C,5,26,5,0,26,1,5,.200,1,3,.333,0,2,.000,0,0,,0,3,2,1,1,1,7,3
Penny Taylor,PHO,F,33,1076,33,33,1076,150,310,.484,41,96,.427,109,214,.509,93,108,.861,51,160,82,52,14,81,108,434
Nikki Teasley,LAS,G,34,1105,34,34,1105,108,278,.388,68,165,.412,40,113,.354,52,68,.765,29,116,207,42,7,103,89,336
