Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,34,720,34,2,720,99,241,.411,24,65,.369,75,176,.426,41,62,.661,44,106,54,34,1,61,66,263
Chantelle Anderson,SAS,C,23,413,23,20,413,59,112,.527,0,0,,59,112,.527,35,45,.778,28,85,15,7,10,29,73,153
La'Tangela Atkinson,IND,G-F,33,419,33,1,419,38,87,.437,5,17,.294,33,70,.471,18,39,.462,25,76,22,18,5,34,31,99
Seimone Augustus*,MIN,G-F,34,1127,34,34,1127,283,620,.456,30,85,.353,253,535,.473,148,165,.897,15,128,50,21,18,71,58,744
Sherill Baker,NYL,G,34,614,34,16,614,97,251,.386,9,33,.273,88,218,.404,48,56,.857,23,56,35,46,1,50,69,251
Mistie Bass,HOU,F,27,273,27,6,273,34,64,.531,0,0,,34,64,.531,11,34,.324,29,64,16,11,3,10,32,79
Jacqueline Batteast,DET,F,26,174,26,1,174,15,54,.278,2,14,.143,13,40,.325,4,7,.571,13,25,7,2,3,4,21,36
Ashley Battle,NYL,F,33,455,33,2,455,54,141,.383,15,46,.326,39,95,.411,20,25,.800,13,62,29,31,3,38,32,143
Alana Beard,WAS,G-F,32,1000,32,32,1000,232,469,.495,37,102,.363,195,367,.531,113,149,.758,23,149,98,59,25,90,92,614
Tully Bevilaqua,IND,G,34,1011,34,34,1011,76,185,.411,33,106,.311,43,79,.544,38,53,.717,10,77,79,71,1,54,72,223
Agnieszka Bibrzycka,SAS,G-F,32,752,32,22,752,130,311,.418,55,157,.350,75,154,.487,46,53,.868,10,66,48,26,12,47,49,361
Sue Bird,SEA,G,34,1066,34,34,1066,137,333,.411,56,153,.366,81,180,.450,59,68,.868,24,102,162,61,5,88,60,389
Nikki Blue,WAS,G,24,181,24,0,181,14,54,.259,1,12,.083,13,42,.310,25,31,.806,7,20,36,18,0,18,36,54
LaToya Bond,CHA,G,34,608,34,5,608,63,158,.399,10,46,.217,53,112,.473,57,77,.740,7,49,73,35,8,80,83,193
Kara Braxton,DET,C-F,34,360,34,1,360,58,143,.406,0,2,.000,58,141,.411,30,48,.625,42,117,26,11,11,53,83,146
Coretta Brown,CHI,G,15,252,15,2,252,16,59,.271,12,44,.273,4,15,.267,4,8,.500,4,22,26,10,0,18,12,48
Edwina Brown,HOU,G-F,4,28,4,0,28,1,5,.200,0,0,,1,5,.200,2,2,1.000,1,4,1,1,0,2,2,4
Kiesha Brown,NYL,G,16,58,16,0,58,6,20,.300,1,4,.250,5,16,.313,7,8,.875,2,8,9,2,0,3,7,20
Jessica Brungo,CON,F,4,7,4,0,7,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0
Rebekkah Brunson,SAC,F,34,603,34,14,603,94,204,.461,0,0,,94,204,.461,44,75,.587,77,191,17,21,15,40,65,232
Janell Burse,SEA,C,27,741,27,27,741,113,221,.511,1,1,1.000,112,220,.509,73,109,.670,63,178,22,17,25,55,91,300
Latasha Byears,WAS,G-F,26,332,26,0,332,48,107,.449,0,0,,48,107,.449,16,20,.800,37,87,10,12,2,35,58,112
Dominique Canty,HOU,G,15,431,15,15,431,54,105,.514,0,3,.000,54,102,.529,56,77,.727,12,52,44,17,0,35,36,164
Jamie Carey,CON,G,24,286,24,0,286,22,58,.379,14,40,.350,8,18,.444,5,5,1.000,1,16,32,7,0,17,24,63
Swin Cash*,DET,F,34,991,34,34,991,124,323,.384,1,13,.077,123,310,.397,109,143,.762,63,168,106,20,11,88,85,358
Iziane Castro Marques,SEA,F-G,34,657,34,26,657,91,194,.469,25,65,.385,66,129,.512,39,59,.661,16,72,47,23,2,49,58,246
Tamika Catchings*,IND,F,32,1072,32,32,1072,162,398,.407,32,107,.299,130,291,.447,165,204,.809,68,240,119,94,35,79,90,521
Kaayla Chones,SEA,C,3,14,3,0,14,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,0,0,1,4,0
Shameka Christon,NYL,G,34,987,34,34,987,136,348,.391,52,156,.333,84,192,.438,99,120,.825,29,120,44,20,42,81,105,423
Katie Cronin,CHI,G-F,11,133,11,0,133,9,30,.300,4,13,.308,5,17,.294,2,7,.286,3,12,2,6,2,11,18,24
Monique Currie,CHA,F,34,849,34,33,849,87,262,.332,16,55,.291,71,207,.343,149,184,.810,51,132,87,34,4,62,100,339
Stacey Dales,CHI,F,23,453,23,16,453,52,147,.354,25,81,.309,27,66,.409,32,46,.696,6,27,40,9,1,32,39,161
Helen Darling,CHA,G,29,614,29,29,614,51,138,.370,18,47,.383,33,91,.363,38,55,.691,13,59,82,35,3,73,76,158
Brandi Davis,LAS,G,14,118,14,0,118,14,53,.264,7,33,.212,7,20,.350,6,10,.600,1,13,8,5,1,5,11,41
Anna DeForge,IND,G,34,997,34,34,997,123,313,.393,48,127,.378,75,186,.403,54,66,.818,40,146,76,39,9,55,58,348
Jennifer Derevjanik,PHO,G,31,467,31,8,467,38,75,.507,4,15,.267,34,60,.567,16,26,.615,11,57,68,23,7,25,42,96
Tamecka Dixon,HOU,G,23,591,23,14,591,69,171,.404,1,9,.111,68,162,.420,23,28,.821,19,60,54,13,2,58,63,162
Scholanda Dorrell,SAC,G,33,498,33,21,498,64,172,.372,25,85,.294,39,87,.448,18,22,.818,9,36,17,29,4,39,43,171
Katie Douglas,CON,G-F,32,1003,32,32,1003,179,404,.443,73,173,.422,106,231,.459,94,112,.839,38,121,79,62,4,73,48,525
Megan Duffy,MIN,G,31,389,31,0,389,33,92,.359,12,37,.324,21,55,.382,27,39,.692,10,29,36,9,0,24,37,105
Candice Dupree,CHI,F,34,1034,34,31,1034,186,407,.457,0,5,.000,186,402,.463,95,122,.779,55,188,60,43,25,60,72,467
Margo Dydek,CON,C,34,743,34,34,743,125,253,.494,1,4,.250,124,249,.498,69,84,.821,35,206,40,21,85,50,73,320
Shyra Ely-Gash,SAS,F,12,135,12,1,135,12,44,.273,2,9,.222,10,35,.286,15,26,.577,5,31,10,2,0,13,17,41
Barbara Farris,NYL,F-C,34,944,34,34,944,95,221,.430,0,3,.000,95,218,.436,71,98,.724,56,178,51,21,5,65,105,261
Allison Feaster,CHA,F,32,309,32,1,309,19,81,.235,16,64,.250,3,17,.176,1,2,.500,3,20,21,13,2,14,20,55
Tye'sha Fluker,CHA,C,31,319,31,1,319,30,89,.337,0,2,.000,30,87,.345,16,22,.727,26,66,9,2,14,21,48,76
Cheryl Ford,DET,F,32,919,32,32,919,157,315,.498,0,0,,157,315,.498,129,199,.648,130,363,45,38,25,58,114,443
Linda Frohlich,IND,F-C,20,169,20,0,169,26,68,.382,8,22,.364,18,46,.391,6,8,.750,14,35,9,5,0,13,27,66
Emilie Gomis,NYL,G,2,15,2,0,15,0,4,.000,0,2,.000,0,2,.000,3,4,.750,0,0,0,1,0,1,3,3
Shaunzinski Gortman,SEA,G,20,264,20,0,264,20,55,.364,2,12,.167,18,43,.419,14,18,.778,9,48,17,11,2,25,32,56
Cisti Greenwalt,SEA,C,5,24,5,0,24,0,7,.000,0,0,,0,7,.000,2,4,.500,2,8,0,0,0,0,9,2
Yolanda Griffith*,SAC,C-F,34,852,34,34,852,134,293,.457,0,1,.000,134,292,.459,139,185,.751,87,219,56,44,16,66,74,407
Becky Hammon*,NYL,G,22,674,22,20,674,107,252,.425,37,108,.343,70,144,.486,72,75,.960,6,66,81,29,3,65,46,323
Vanessa Hayden,MIN,C,33,424,33,3,424,68,169,.402,0,0,,68,169,.402,41,66,.621,41,115,19,6,44,44,118,177
Kristin Haynie,SAC,G,34,471,34,0,471,55,151,.364,9,30,.300,46,121,.380,21,25,.840,20,67,68,27,2,46,50,140
Doneeka Lewis,LAS,G,34,456,34,3,456,46,144,.319,18,61,.295,28,83,.337,21,23,.913,9,42,66,14,4,43,26,131
Roneeka Hodges,HOU,G,33,698,33,8,698,87,217,.401,44,120,.367,43,97,.443,29,39,.744,11,65,32,16,4,36,40,247
Ebony Hoffman,IND,F,34,854,34,33,854,82,208,.394,0,8,.000,82,200,.410,54,70,.771,73,193,46,37,16,73,104,218
Chamique Holdsclaw,LAS,F,25,737,25,0,737,148,315,.470,3,15,.200,145,300,.483,76,86,.884,57,152,56,34,9,57,58,375
Kedra Holland-Corn,DET,G,34,401,34,0,401,51,142,.359,28,84,.333,23,58,.397,10,16,.625,12,40,43,23,2,40,29,140
Sandora Irvin,PHO,F,7,38,7,0,38,2,13,.154,0,3,.000,2,10,.200,3,5,.600,2,10,1,2,8,3,5,7
Dalma Ivanyi,SAS,G,31,322,31,1,322,15,56,.268,8,37,.216,7,19,.368,4,6,.667,7,41,50,12,0,19,38,42
Deanna Jackson,CHI,F,22,330,22,1,330,49,124,.395,1,3,.333,48,121,.397,33,51,.647,32,66,13,9,3,22,38,132
Lauren Jackson*,SEA,F-C,30,853,30,30,853,192,359,.535,29,77,.377,163,282,.578,170,189,.899,68,227,48,24,51,40,90,583
Tamicha Jackson,PHO,G,3,54,3,2,54,10,28,.357,0,3,.000,10,25,.400,4,6,.667,1,4,7,6,1,4,7,24
Amber Jacobs,MIN,G,34,860,34,34,860,96,214,.449,40,102,.392,56,112,.500,47,57,.825,17,90,115,26,2,90,71,279
Tamara James,WAS,G-F,21,156,21,0,156,19,49,.388,3,12,.250,16,37,.432,16,18,.889,9,16,3,4,2,10,13,57
Shannon Johnson,SAS,G,32,875,32,32,875,104,256,.406,32,91,.352,72,165,.436,78,97,.804,31,95,117,60,5,75,78,318
Temeka Johnson,LAS,G,32,810,32,30,810,102,254,.402,3,26,.115,99,228,.434,48,60,.800,15,97,161,47,1,70,57,255
Tiffani Johnson,SEA,C,32,638,32,8,638,61,147,.415,0,0,,61,147,.415,28,37,.757,32,125,17,10,17,31,66,150
Vickie Johnson,SAS,G-F,34,1004,34,34,1004,119,317,.375,23,69,.333,96,248,.387,76,90,.844,55,167,122,28,3,59,61,337
Asjha Jones,CON,F,34,777,34,2,777,155,334,.464,5,19,.263,150,315,.476,62,79,.785,59,183,46,23,20,60,74,377
Chandi Jones,MIN,G,6,38,6,0,38,5,9,.556,3,4,.750,2,5,.400,4,4,1.000,2,5,3,1,0,2,3,17
Jae Kingi-Cross,SAS,G,18,115,18,1,115,8,18,.444,2,6,.333,6,12,.500,7,9,.778,3,10,11,6,0,5,8,25
Laurie Koehn,WAS,G,32,151,32,0,151,23,46,.500,22,42,.524,1,4,.250,3,4,.750,0,12,8,2,2,5,16,71
Anastasia Kostaki,HOU,G,32,262,32,0,262,18,57,.316,6,30,.200,12,27,.444,25,35,.714,3,25,19,7,0,42,41,67
Cathrine Kraayeveld,NYL,F,34,903,34,13,903,106,239,.444,31,93,.333,75,146,.514,55,72,.764,46,158,32,16,15,62,71,298
Jennifer Lacy,PHO,F,33,504,33,3,504,61,128,.477,0,4,.000,61,124,.492,40,58,.690,42,102,14,12,12,45,102,162
Amanda Lassiter,CHI,F,32,781,32,29,781,93,254,.366,49,149,.329,44,105,.419,22,31,.710,25,88,65,42,17,57,89,257
Edwige Lawson-Wade,SEA,G,26,211,26,0,211,17,45,.378,5,19,.263,12,26,.462,4,6,.667,2,21,29,15,1,19,20,43
Kara Lawson,SAC,G,34,750,34,6,750,96,242,.397,49,123,.398,47,119,.395,36,39,.923,11,65,56,20,4,43,37,277
Betty Lennox,SEA,G,34,887,34,34,887,191,423,.452,29,90,.322,162,333,.486,54,71,.761,34,137,73,36,5,98,92,465
Lisa Leslie*,LAS,C,34,1048,34,34,1048,257,503,.511,8,20,.400,249,483,.516,158,243,.650,83,323,108,51,57,126,115,680
