Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Farhiya Abdi,LAS,F,17,142,17,0,142,19,44,.432,1,7,.143,18,37,.486,3,3,1.000,3,9,5,1,0,6,15,42
Danielle Adams,SAS,F-C,34,700,34,14,700,135,332,.407,39,127,.307,96,205,.468,63,79,.797,42,141,32,22,24,43,102,372
Matee Ajavon,ATL,G,24,220,24,1,220,15,54,.278,1,9,.111,14,45,.311,21,29,.724,10,18,16,11,1,22,29,52
Kayla Alexander,SAS,C,33,298,33,0,298,33,76,.434,0,0,,33,76,.434,26,31,.839,27,66,6,4,10,22,39,92
Jayne Appel-Marinelli,SAS,C,34,843,34,34,843,70,130,.538,1,1,1.000,69,129,.535,26,43,.605,66,270,73,16,30,47,95,167
Seimone Augustus*,MIN,G-F,24,749,24,24,749,170,333,.511,12,36,.333,158,297,.532,44,52,.846,13,87,58,10,2,39,23,396
Mistie Bass,PHO,F,34,493,34,0,493,58,114,.509,0,0,,58,114,.509,32,48,.667,41,110,18,16,13,24,52,148
Vicki Baugh,TUL,F-C,33,266,33,0,266,33,56,.589,0,0,,33,56,.589,16,22,.727,36,95,5,11,7,16,55,82
Alana Beard,LAS,G-F,33,913,33,33,913,119,257,.463,8,28,.286,111,229,.485,35,47,.745,19,86,84,37,15,59,86,281
Alex Bentley,CON,G,34,872,34,30,872,174,402,.433,31,96,.323,143,306,.467,37,49,.755,7,58,126,44,3,68,91,416
Tiffany Bias,PHO,G,17,68,17,0,68,7,18,.389,2,6,.333,5,12,.417,2,6,.333,0,3,6,5,0,12,12,18
Sue Bird,SEA,G,33,963,33,33,963,129,334,.386,39,113,.345,90,221,.407,54,65,.831,6,72,133,26,1,75,32,351
Kelsey Bone,CON,C,34,793,34,26,793,137,304,.451,0,3,.000,137,301,.455,43,65,.662,57,181,46,22,16,67,103,317
DeWanna Bonner,PHO,F-G,34,994,34,34,994,129,281,.459,24,86,.279,105,195,.538,71,91,.780,35,139,79,49,15,47,43,353
Gennifer Brandon,CHI,F,16,122,16,2,122,11,33,.333,0,0,,11,33,.333,6,13,.462,11,41,3,3,7,10,6,28
Kara Braxton,NYL,C-F,4,31,4,0,31,4,8,.500,0,0,,4,8,.500,2,2,1.000,1,4,3,1,1,4,1,10
Jessica Breland,CHI,F,32,849,32,32,849,135,293,.461,0,3,.000,135,290,.466,41,54,.759,63,219,61,29,58,70,90,311
Rebekkah Brunson,MIN,F,11,303,11,11,303,32,81,.395,0,0,,32,81,.395,15,21,.714,27,90,17,3,8,10,20,79
Heather Butler,SAS,G,11,38,11,0,38,1,9,.111,1,6,.167,0,3,.000,3,4,.750,1,3,3,0,0,5,7,6
Kelley Cain,CON,C,8,45,8,0,45,4,16,.250,0,0,,4,16,.250,3,4,.750,5,12,1,2,4,3,9,11
Essence Carson,NYL,G,26,365,26,11,365,35,99,.354,7,24,.292,28,75,.373,10,12,.833,9,43,23,9,4,26,23,87
Sydney Carter,IND,G,23,287,23,0,287,23,80,.288,4,24,.167,19,56,.339,23,31,.742,6,21,30,8,3,33,21,73
Tamika Catchings*,IND,F,16,430,16,16,430,90,202,.446,14,38,.368,76,164,.463,64,81,.790,21,102,30,27,13,33,30,258
Tina Charles,NYL,C,34,1119,34,34,1119,236,511,.462,0,0,,236,511,.462,118,157,.752,89,320,74,44,30,77,57,590
Karima Christmas-Kelly,IND,F-G,34,736,34,3,736,69,201,.343,27,70,.386,42,131,.321,71,94,.755,47,121,29,30,9,25,70,236
Shameka Christon,SAS,G,31,338,31,0,338,38,107,.355,25,81,.309,13,26,.500,12,15,.800,9,40,6,7,4,8,33,113
Layshia Clarendon,IND,G,29,398,29,3,398,49,122,.402,6,19,.316,43,103,.417,17,24,.708,12,42,34,11,0,28,33,121
