Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,SEA,F,19,329,19,4,329,34,98,.347,8,36,.222,26,62,.419,11,24,.458,11,56,31,20,3,40,26,87
Jessica Adair,MIN,C,19,168,19,0,168,13,37,.351,0,0,,13,37,.351,20,35,.571,11,40,6,3,4,14,28,46
Danielle Adams,SAS,F-C,34,686,34,5,686,141,320,.441,38,112,.339,103,208,.495,82,108,.759,61,159,33,23,23,42,94,402
Matee Ajavon,WAS,G,33,712,33,22,712,82,274,.299,31,103,.301,51,171,.298,67,81,.827,20,60,67,53,6,65,97,262
Nicky Anosike,LAS,F-C,10,57,10,0,57,2,8,.250,0,0,,2,8,.250,6,6,1.000,0,12,5,3,2,6,9,10
Jayne Appel-Marinelli,SAS,C,33,625,33,30,625,47,85,.553,0,1,.000,47,84,.560,22,29,.759,62,213,39,18,29,39,67,116
Seimone Augustus*,MIN,G-F,29,826,29,29,826,192,391,.491,45,103,.437,147,288,.510,52,61,.852,16,105,72,27,6,50,31,481
Mistie Bass,CON,F,32,598,32,10,598,99,187,.529,0,1,.000,99,186,.532,57,80,.713,59,143,33,24,13,40,59,255
Alana Beard,LAS,G-F,33,1017,33,33,1017,137,314,.436,35,87,.402,102,227,.449,66,83,.795,10,71,109,66,13,83,91,375
Tully Bevilaqua,SAS,G,28,157,28,0,157,2,12,.167,1,8,.125,1,4,.250,1,2,.500,1,7,11,7,1,9,7,6
Sue Bird,SEA,G,29,898,29,29,898,133,290,.459,53,138,.384,80,152,.526,36,46,.783,6,83,155,26,3,65,32,355
Chante Black,TUL,C,29,366,29,13,366,35,70,.500,0,0,,35,70,.500,22,32,.688,26,77,10,15,18,24,33,92
Shannon Bobbitt,WAS,G,28,418,28,5,418,29,88,.330,9,40,.225,20,48,.417,11,18,.611,11,33,72,14,2,35,38,78
DeWanna Bonner,PHO,F-G,32,1120,32,32,1120,212,582,.364,52,184,.283,160,398,.402,184,216,.852,55,230,71,54,28,75,46,660
Kara Braxton,NYL,C-F,34,535,34,18,535,102,212,.481,1,5,.200,101,207,.488,18,40,.450,61,153,36,17,21,74,59,223
Rebekkah Brunson,MIN,F,31,837,31,31,837,138,273,.505,0,0,,138,273,.505,76,112,.679,108,277,37,37,29,40,71,352
Kelley Cain,NYL,C,20,136,20,0,136,8,18,.444,0,0,,8,18,.444,7,11,.636,11,30,2,2,4,10,13,23
Dominique Canty,WAS,G,6,72,6,5,72,6,23,.261,0,3,.000,6,20,.300,5,10,.500,3,8,6,2,0,8,10,17
Essence Carson,NYL,G,34,927,34,23,927,158,395,.400,36,105,.343,122,290,.421,42,54,.778,29,117,58,37,25,59,52,394
