Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Sydney Carter,CHI,G,1,9,1,0,9,2,6,.333,0,2,.000,2,4,.500,0,0,,0,0,0,1,0,1,0,4
Swin Cash*,CHI,F,34,1021,34,34,1021,126,343,.367,32,114,.281,94,229,.410,75,98,.765,55,197,79,34,17,94,81,359
Iziane Castro Marques,WAS,F-G,11,132,11,0,132,14,53,.264,1,6,.167,13,47,.277,5,7,.714,4,12,8,3,0,8,8,34
Tamika Catchings*,IND,F,34,1036,34,34,1036,200,463,.432,50,132,.379,150,331,.453,140,162,.864,62,258,107,70,29,59,84,590
Tina Charles,CON,C,33,1096,33,33,1096,250,501,.499,1,5,.200,249,496,.502,93,116,.802,123,345,57,17,47,74,64,594
Shameka Christon,SAS,G,34,695,34,31,695,83,232,.358,54,158,.342,29,74,.392,50,64,.781,17,67,43,18,16,20,41,270
Alysha Clark,SEA,F,23,238,23,0,238,29,53,.547,9,20,.450,20,33,.606,12,17,.706,13,47,7,5,1,19,27,79
Marissa Coleman,LAS,G-F,34,548,34,2,548,37,116,.319,14,55,.255,23,61,.377,18,20,.900,24,87,36,21,8,24,44,106
Monique Currie,WAS,F,34,820,34,28,820,129,319,.404,22,80,.275,107,239,.448,127,164,.774,28,122,59,35,7,59,85,407
Jessica Davenport,IND,C,34,514,34,2,514,84,179,.469,1,3,.333,83,176,.472,60,81,.741,35,115,22,23,26,51,62,229
Erika de Souza,ATL,F-C,15,449,15,15,449,79,151,.523,0,0,,79,151,.523,16,23,.696,48,123,24,20,23,31,45,174
Scholanda Dorrell,TUL,G,26,385,26,8,385,37,113,.327,16,50,.320,21,63,.333,20,30,.667,13,32,13,25,3,25,46,110
Katie Douglas,IND,G-F,32,990,32,32,990,184,445,.413,80,189,.423,104,256,.406,81,96,.844,33,121,71,48,10,53,55,529
Victoria Dunlap,SEA,F,5,28,5,0,28,3,10,.300,0,1,.000,3,9,.333,7,10,.700,7,11,1,0,0,3,4,13
Candice Dupree,PHO,F,13,345,13,12,345,71,147,.483,0,1,.000,71,146,.486,30,37,.811,16,62,17,8,7,27,20,172
Dawn Evans,LAS,G,3,15,3,0,15,1,5,.200,0,4,.000,1,1,1.000,0,0,,0,0,3,1,0,2,1,2
Sylvia Fowles,CHI,C,25,778,25,25,778,157,246,.638,0,0,,157,246,.638,92,133,.692,94,260,21,33,30,53,55,406
Briana Gilbreath-Butler,PHO,G,11,258,11,2,258,24,71,.338,14,37,.378,10,34,.294,15,19,.789,14,40,12,5,5,14,15,77
Sasha Goodlett,IND,C,26,197,26,0,197,33,74,.446,0,0,,33,74,.446,14,20,.700,18,41,6,8,7,9,17,80
Alexis Gray-Lawson,PHO,G,19,318,19,0,318,30,102,.294,6,38,.158,24,64,.375,19,26,.731,14,38,23,7,3,18,40,85
Kalana Greene,CON,G,34,605,34,31,605,53,121,.438,5,22,.227,48,99,.485,32,46,.696,18,63,57,39,7,27,45,143
Kelsey Griffin,CON,F,31,375,31,6,375,34,99,.343,3,15,.200,31,84,.369,24,34,.706,29,90,15,18,10,27,37,95
Becky Hammon*,SAS,G,33,998,33,33,998,160,363,.441,80,184,.435,80,179,.447,85,97,.876,9,83,176,31,6,106,37,485
Lindsey Harding,ATL,G,34,1040,34,32,1040,157,369,.425,14,58,.241,143,311,.460,90,110,.818,16,95,153,46,7,70,47,418
Amber Harris,MIN,F,27,240,27,0,240,36,89,.404,7,18,.389,29,71,.408,15,22,.682,10,50,15,9,13,15,27,94
Tiffany Hayes,ATL,G,34,787,34,17,787,90,231,.390,21,77,.273,69,154,.448,92,117,.786,24,105,73,28,12,51,89,293
Aneika Henry-Morello,ATL,F-C,34,613,34,14,613,65,139,.468,0,0,,65,139,.468,32,42,.762,53,140,15,16,30,28,70,162
Allison Hightower,CON,G,34,827,34,29,827,90,256,.352,18,76,.237,72,180,.400,32,35,.914,21,79,84,43,5,47,79,230
Ebony Hoffman,LAS,F,20,208,20,0,208,18,52,.346,5,19,.263,13,33,.394,8,10,.800,13,42,9,13,1,13,30,49
Amber Holt,TUL,F,24,456,24,18,456,57,134,.425,17,49,.347,40,85,.471,9,16,.563,10,45,28,11,0,16,25,140
Alexis Hornbuckle,PHO,G,34,865,34,25,865,86,257,.335,26,80,.325,60,177,.339,23,38,.605,45,142,68,42,17,72,98,221
Charde Houston,PHO,F,27,694,27,20,694,126,309,.408,39,112,.348,87,197,.442,34,47,.723,29,93,44,34,10,52,80,325
Lauren Jackson*,SEA,F-C,9,167,9,9,167,34,80,.425,6,29,.207,28,51,.549,18,25,.720,7,50,2,4,7,12,20,92
Briann January,IND,G,31,879,31,26,879,99,245,.404,46,107,.430,53,138,.384,76,87,.874,13,55,122,36,4,76,78,320
Glory Johnson,TUL,F,34,958,34,28,958,131,272,.482,0,0,,131,272,.482,130,192,.677,95,232,38,73,20,71,103,392
Shenise Johnson,SAS,G,34,581,34,1,581,68,187,.364,21,51,.412,47,136,.346,35,41,.854,55,131,46,27,6,37,50,192
Temeka Johnson,TUL,G,29,833,29,28,833,128,308,.416,34,64,.531,94,244,.385,63,75,.840,18,93,135,34,1,79,70,353
Asjha Jones,CON,F,20,558,20,19,558,102,229,.445,4,12,.333,98,217,.452,35,39,.897,49,141,39,19,11,51,61,243
Ewelina Kobryn,SEA,C,33,438,33,6,438,56,136,.412,10,27,.370,46,109,.422,36,50,.720,16,78,15,16,14,41,46,158
Laurie Koehn,ATL,G,23,112,23,0,112,14,41,.341,13,39,.333,1,2,.500,0,0,,2,10,3,2,0,6,4,41
Cathrine Kraayeveld,ATL,F,33,507,33,1,507,56,133,.421,35,87,.402,21,46,.457,5,15,.333,17,92,28,14,16,26,32,152
Jennifer Lacy,TUL,F,26,573,26,6,573,77,198,.389,44,109,.404,33,89,.371,24,37,.649,25,68,22,16,9,36,76,222
Natasha Lacy,WAS,G,20,259,20,1,259,29,81,.358,5,21,.238,24,60,.400,14,18,.778,10,42,25,13,5,23,27,77
Crystal Langhorne,WAS,F-C,31,999,31,31,999,190,338,.562,1,8,.125,189,330,.573,75,117,.641,75,194,42,46,4,75,65,456
Erlana Larkins,IND,F,34,526,34,2,526,55,108,.509,0,0,,55,108,.509,31,36,.861,70,148,36,34,5,34,62,141
Ivory Latta,TUL,G,34,962,34,18,962,175,407,.430,69,177,.390,106,230,.461,68,81,.840,14,75,111,31,3,73,75,487
Jantel Lavender,LAS,F,34,490,34,1,490,81,160,.506,0,0,,81,160,.506,27,32,.844,50,134,18,9,18,38,56,189
Kara Lawson,CON,G,34,1066,34,34,1066,169,343,.493,74,172,.430,95,171,.556,100,107,.935,17,131,136,27,5,60,40,512
Yelena Leuchanka,ATL,C,19,260,19,5,260,24,63,.381,0,1,.000,24,62,.387,10,14,.714,16,52,12,9,9,28,34,58
Camille Smith,SEA,F,34,947,34,34,947,130,274,.474,11,33,.333,119,241,.494,113,153,.739,52,175,63,24,17,93,93,384
Sancho Lyttle,ATL,F,34,1074,34,34,1074,199,483,.412,28,110,.255,171,373,.458,50,66,.758,47,259,85,82,23,88,100,476
Angel McCoughtry,ATL,F-G,24,718,24,17,718,177,396,.447,28,83,.337,149,313,.476,132,165,.800,50,119,69,60,27,95,56,514
Danielle McCray,CON,F,28,389,28,8,389,39,124,.315,20,60,.333,19,64,.297,37,41,.902,14,56,33,17,0,28,41,135
Taj McWilliams-Franklin,MIN,F-C,33,879,33,33,879,122,235,.519,2,5,.400,120,230,.522,30,40,.750,55,177,84,34,46,66,75,276
Coco Miller,LAS,G,10,141,10,1,141,11,37,.297,2,6,.333,9,31,.290,2,2,1.000,9,27,11,2,0,13,4,26
Kelly Miller,NYL,G,11,82,11,0,82,4,24,.167,1,11,.091,3,13,.231,2,2,1.000,1,8,6,3,0,9,10,11
DeLisha Milton-Jones,LAS,F,34,926,34,34,926,123,295,.417,29,89,.326,94,206,.456,65,79,.823,48,150,60,34,24,63,95,340
Leilani Mitchell,NYL,G,34,908,34,25,908,79,193,.409,53,129,.411,26,64,.406,9,12,.750,21,84,103,35,5,53,72,220
Alex Montgomery,NYL,G-F,26,210,26,0,210,24,64,.375,8,23,.348,16,41,.390,8,11,.727,17,48,11,15,2,14,23,64
Renee Montgomery,CON,G,34,816,34,0,816,116,333,.348,47,129,.364,69,204,.338,117,138,.848,8,63,89,35,3,76,52,396
Maya Moore,MIN,F,34,1011,34,34,1011,199,428,.465,73,188,.388,126,240,.525,87,99,.879,71,205,124,50,22,62,86,558
Jene Morris,TUL,G,9,82,9,1,82,6,16,.375,4,9,.444,2,7,.286,1,2,.500,5,9,2,6,0,4,11,17
Ziomara Morrison,SAS,C,30,166,30,0,166,22,52,.423,6,10,.600,16,42,.381,9,11,.818,13,36,2,3,3,13,26,59
Shay Murphy,CHI,G,29,538,29,3,538,87,207,.420,45,102,.441,42,105,.400,27,37,.730,30,84,27,32,6,30,45,246
Natalie Novosel,WAS,G,31,306,31,0,306,34,101,.337,9,41,.220,25,60,.417,22,29,.759,19,41,23,14,3,19,16,99
Nneka Ogwumike,LAS,F,33,920,33,33,920,178,333,.535,1,7,.143,177,326,.543,105,143,.734,98,247,40,46,29,42,87,462
Jenna O'Hea,LAS,F,8,144,8,0,144,13,25,.520,7,14,.500,6,11,.545,5,7,.714,8,20,16,3,1,6,14,38
Candace Parker,LAS,F-C,33,1014,33,33,1014,228,474,.481,19,59,.322,209,415,.504,98,138,.710,83,320,110,51,76,98,58,573
Kayla Pedersen,TUL,F,27,626,27,25,626,44,148,.297,3,12,.250,41,136,.301,23,39,.590,36,118,42,26,13,34,74,114
Ticha Penicheiro,CHI,G,19,242,19,6,242,12,34,.353,3,15,.200,9,19,.474,6,11,.545,2,24,39,8,3,38,13,33
Jia Perkins,SAS,G,33,759,33,3,759,128,337,.380,49,127,.386,79,210,.376,46,61,.754,17,92,64,53,12,29,44,351
Devereaux Peters,MIN,F,30,424,30,2,424,61,109,.560,0,0,,61,109,.560,36,51,.706,44,113,33,14,23,39,74,158
Sonja Petrovic,CHI,F,30,453,30,2,453,54,151,.358,17,61,.279,37,90,.411,20,26,.769,13,68,31,15,15,39,42,145
Erin Phillips,IND,G,29,620,29,8,620,62,159,.390,28,64,.438,34,95,.358,25,29,.862,24,80,63,22,3,35,49,177
Plenette Pierson,NYL,F,26,641,26,24,641,122,262,.466,5,18,.278,117,244,.480,63,83,.759,48,141,61,19,23,61,53,312
Jeanette Pohlen-Mavunga,IND,G,34,574,34,3,574,55,128,.430,32,76,.421,23,52,.442,7,10,.700,13,57,38,20,10,31,39,149
Cappie Pondexter,NYL,G,34,1162,34,34,1162,249,573,.435,53,162,.327,196,411,.477,144,166,.867,20,154,146,43,7,106,72,695
Nicole Powell,NYL,F,34,922,34,21,922,89,214,.416,47,121,.388,42,93,.452,13,15,.867,41,147,48,45,14,49,63,238
Samantha Prahalis,PHO,G,28,886,28,28,886,118,335,.352,29,107,.271,89,228,.390,59,68,.868,13,89,127,44,3,85,71,324
Armintie Herrington,ATL,G,34,904,34,33,904,108,212,.509,0,2,.000,108,210,.514,71,118,.602,63,125,85,39,10,59,75,287
Epiphanny Prince,CHI,G,26,780,26,25,780,157,355,.442,59,145,.407,98,210,.467,98,109,.899,24,91,80,47,7,52,58,471
Noelle Quinn,WAS,G,30,666,30,18,666,72,182,.396,31,77,.403,41,105,.390,19,26,.731,18,88,54,22,6,29,32,194
Katelan Redmon,NYL,G-F,7,42,7,0,42,3,14,.214,0,1,.000,3,13,.231,1,2,.500,5,8,2,3,0,3,8,7
Ruth Riley,CHI,C,33,476,33,14,476,36,95,.379,5,18,.278,31,77,.403,11,14,.786,17,79,33,23,20,27,74,88
Ashley Robinson,WAS,C,33,535,33,14,535,48,117,.410,0,1,.000,48,116,.414,7,20,.350,38,110,29,19,24,39,71,103
Danielle Robinson,SAS,G,34,984,34,34,984,146,270,.541,0,7,.000,146,263,.555,43,55,.782,19,85,146,46,4,54,76,335
Nakia Sanford,PHO,C-F,30,501,30,15,501,48,113,.425,4,16,.250,44,97,.454,24,40,.600,44,99,18,15,9,38,88,124
Chay Shegog,CON,C,3,9,3,0,9,1,3,.333,0,0,,1,3,.333,1,2,.500,1,2,0,1,0,1,3,3
Dymond Simon,PHO,G,8,97,8,0,97,13,45,.289,2,16,.125,11,29,.379,2,2,1.000,1,12,15,4,0,14,10,30
Katie Smith*,SEA,G,34,919,34,31,919,77,187,.412,44,110,.400,33,77,.429,31,37,.838,8,93,73,20,4,51,82,229
Tangela Smith,SAS,C,15,150,15,0,150,15,36,.417,4,14,.286,11,22,.500,3,3,1.000,3,17,13,2,3,7,12,37
Michelle Snow,WAS,C,32,643,32,21,643,81,155,.523,0,1,.000,81,154,.526,28,36,.778,59,173,19,19,27,53,75,190
Shekinna Stricklen,SEA,F,34,784,34,3,784,100,253,.395,37,117,.316,63,136,.463,36,52,.692,28,147,40,24,8,35,70,273
Tammy Sutton-Brown,IND,C,33,541,33,32,541,49,116,.422,0,0,,49,116,.422,32,40,.800,28,93,24,24,27,22,39,130
Ketia Swanier,ATL,G,34,389,34,2,389,26,82,.317,5,30,.167,21,52,.404,19,26,.731,5,46,66,15,0,41,24,76
Carolyn Swords,CHI,C,30,334,30,9,334,52,91,.571,0,0,,52,91,.571,15,22,.682,45,96,8,11,14,19,57,119
April Sykes,LAS,G-F,30,259,30,0,259,33,87,.379,18,48,.375,15,39,.385,8,15,.533,8,34,19,9,4,16,27,92
Diana Taurasi,PHO,G,8,166,8,8,166,34,78,.436,17,43,.395,17,35,.486,27,30,.900,1,13,18,4,4,14,16,112
Zane Tamane,PHO,C,2,15,2,0,15,0,2,.000,0,0,,0,2,.000,0,0,,1,3,0,0,0,2,1,0
Jasmine Thomas,WAS,G,34,763,34,23,763,107,282,.379,35,96,.365,72,186,.387,29,43,.674,14,81,94,29,7,74,52,278
Krystal Thomas,PHO,C,29,771,29,25,771,76,157,.484,0,1,.000,76,156,.487,33,66,.500,93,233,27,5,26,66,92,185
Tina Thompson*,SEA,F,29,551,29,5,551,91,206,.442,41,96,.427,50,110,.455,35,42,.833,24,100,14,14,22,37,66,258
Erin Thorn,MIN,G,26,195,26,0,195,17,47,.362,12,34,.353,5,13,.385,6,6,1.000,5,24,24,4,0,13,3,52
Kristi Toliver,LAS,G,34,1071,34,33,1071,197,401,.491,64,151,.424,133,250,.532,137,152,.901,31,109,166,45,3,124,102,595
Courtney Vandersloot,CHI,G,34,906,34,27,906,118,291,.405,28,84,.333,90,207,.435,37,57,.649,6,71,157,44,7,111,89,301
Kia Vaughn,NYL,C,31,710,31,17,710,89,207,.430,0,0,,89,207,.430,21,32,.656,48,154,27,16,25,31,76,199
DeMya Walker,NYL,F,33,525,33,8,525,41,104,.394,0,0,,41,104,.394,16,27,.593,39,91,32,17,16,63,73,98
Avery Warley-Talbert,PHO,C,28,497,28,3,497,33,70,.471,0,0,,33,70,.471,20,34,.588,66,159,5,12,14,32,82,86
Ann Wauters,SEA,C,25,574,25,17,574,95,183,.519,9,20,.450,86,163,.528,42,57,.737,33,146,36,14,18,57,48,241
Lindsay Whalen*,MIN,G,33,891,33,33,891,148,293,.505,13,26,.500,135,267,.506,72,99,.727,30,137,178,23,6,68,69,381
Tan White,CON,G,31,496,31,0,496,57,143,.399,27,67,.403,30,76,.395,15,18,.833,9,50,35,31,6,36,49,156
Candice Wiggins,MIN,G,34,741,34,1,741,71,197,.360,58,146,.397,13,51,.255,32,37,.865,11,73,67,24,4,61,67,232
Le'coe Willingham,CHI,F,33,610,33,1,610,40,128,.313,20,73,.274,20,55,.364,14,23,.609,34,96,31,15,4,57,60,114
Riquna Williams,TUL,G,33,671,33,3,671,116,337,.344,38,117,.325,78,220,.355,75,91,.824,25,80,69,51,9,47,65,345
Lindsay Wisdom-Hylton,WAS,F,34,501,34,2,501,61,127,.480,0,1,.000,61,126,.484,14,19,.737,41,97,32,24,27,40,52,136
Julie Wojta,MIN,G-F,1,4,1,0,4,0,2,.000,0,1,.000,0,1,.000,0,0,,1,2,0,0,0,1,2,0
Monica Wright,MIN,G,34,660,34,7,660,103,225,.458,16,44,.364,87,181,.481,71,96,.740,18,82,66,35,6,65,69,293
Tanisha Wright,SEA,G,32,953,32,32,953,88,236,.373,10,52,.192,78,184,.424,67,78,.859,23,97,140,38,4,85,88,253
Sophia Young-Malcolm,SAS,F,33,1049,33,33,1049,212,407,.521,0,3,.000,212,404,.525,113,160,.706,68,238,69,74,13,55,77,537
Tamera Young,CHI,F,33,804,33,24,804,116,274,.423,0,1,.000,116,273,.425,40,66,.606,44,122,47,34,6,46,90,272
Shavonte Zellous,IND,G,31,692,31,31,692,79,214,.369,19,55,.345,60,159,.377,57,74,.770,27,84,54,23,15,43,71,234
Karima Christmas-Kelly,TOT,F-G,30,335,30,6,335,30,93,.323,12,38,.316,18,55,.327,24,37,.649,28,63,16,27,8,14,33,96
Roneeka Hodges,TOT,G,32,617,32,16,617,87,218,.399,48,136,.353,39,82,.476,20,28,.714,11,61,44,19,10,37,20,242
Lynetta Kizer,TOT,F,22,300,22,0,300,47,116,.405,3,6,.500,44,110,.400,29,31,.935,32,66,7,10,2,19,39,126
Jessica Moore,TOT,F-C,16,108,16,0,108,9,20,.450,0,0,,9,20,.450,9,12,.750,8,17,2,0,0,9,18,27
Courtney Paris,TOT,C,27,254,27,0,254,39,72,.542,0,0,,39,72,.542,9,27,.333,36,85,11,9,12,15,30,87
Andrea Riley,TOT,G,11,99,11,0,99,5,33,.152,1,17,.059,4,16,.250,14,17,.824,0,9,15,3,1,13,8,25
Karima Christmas-Kelly,TUL,F-G,14,161,14,6,161,14,42,.333,5,16,.313,9,26,.346,17,23,.739,15,27,3,14,4,6,22,50
Roneeka Hodges,IND,G,12,107,12,0,107,14,44,.318,7,27,.259,7,17,.412,3,6,.500,2,7,7,3,6,4,3,38
Lynetta Kizer,TUL,F,7,66,7,0,66,3,17,.176,0,2,.000,3,15,.200,13,14,.929,7,15,0,4,0,3,7,19
Jessica Moore,ATL,F-C,8,43,8,0,43,6,9,.667,0,0,,6,9,.667,3,4,.750,5,10,0,0,0,6,8,15
Courtney Paris,ATL,C,4,29,4,0,29,3,6,.500,0,0,,3,6,.500,0,4,.000,3,8,0,2,2,1,5,6
Andrea Riley,PHO,G,9,84,9,0,84,5,28,.179,1,16,.063,4,12,.333,14,17,.824,0,8,13,3,1,12,5,25
Karima Christmas-Kelly,IND,F-G,16,174,16,0,174,16,51,.314,7,22,.318,9,29,.310,7,14,.500,13,36,13,13,4,8,11,46
Roneeka Hodges,TUL,G,20,510,20,16,510,73,174,.420,41,109,.376,32,65,.492,17,22,.773,9,54,37,16,4,33,17,204
Lynetta Kizer,PHO,F,15,234,15,0,234,44,99,.444,3,4,.750,41,95,.432,16,17,.941,25,51,7,6,2,16,32,107
Jessica Moore,CON,F-C,8,65,8,0,65,3,11,.273,0,0,,3,11,.273,6,8,.750,3,7,2,0,0,3,10,12
Courtney Paris,TUL,C,23,225,23,0,225,36,66,.545,0,0,,36,66,.545,9,23,.391,33,77,11,7,10,14,25,81
Andrea Riley,LAS,G,2,15,2,0,15,0,5,.000,0,1,.000,0,4,.000,0,0,,0,1,2,0,0,1,3,0
