Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Natalie Achonwa,IND,F,30,636,30,18,636,99,203,.488,3,12,.250,96,191,.503,60,66,.909,48,156,48,18,20,29,77,261
Kayla Alexander,CHI,C,3,20,3,0,20,3,4,.750,0,0,,3,4,.750,3,4,.750,2,7,1,0,0,1,3,9
Rebecca Allen,NYL,F-G,24,412,24,2,412,65,156,.417,29,68,.426,36,88,.409,13,16,.813,12,61,17,12,18,17,51,172
Jillian Alleyne,MIN,C-F,5,14,5,0,14,2,6,.333,0,0,,2,6,.333,0,0,,2,5,1,0,1,0,0,4
Ariel Atkins,WAS,G,33,804,33,33,804,123,296,.416,51,143,.357,72,153,.471,43,53,.811,24,93,65,48,18,34,73,340
Seimone Augustus*,MIN,G-F,12,156,12,7,156,20,64,.313,2,12,.167,18,52,.346,3,4,.750,2,7,15,5,1,12,5,45
Rachel Banham,CON,G,29,353,29,0,353,37,115,.322,22,72,.306,15,43,.349,9,13,.692,1,30,26,8,2,26,34,105
Alana Beard,LAS,G-F,16,235,16,3,235,22,49,.449,1,5,.200,21,44,.477,7,9,.778,2,24,23,12,3,9,21,52
Kenisha Bell,MIN,G,3,11,3,0,11,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,1,0
Alex Bentley,ATL,G,29,634,29,4,634,99,323,.307,32,136,.235,67,187,.358,30,35,.857,10,54,86,21,9,44,56,260
Tiffany Bias,NYL,G,12,105,12,0,105,7,28,.250,3,19,.158,4,9,.444,6,7,.857,0,6,11,3,0,8,7,23
Monique Billings,ATL,F,29,553,29,2,553,56,144,.389,1,1,1.000,55,143,.385,47,60,.783,61,201,16,17,12,46,66,160
DeWanna Bonner,PHO,F-G,34,1120,34,34,1120,190,504,.377,52,191,.272,138,313,.441,153,167,.916,34,260,92,44,21,53,55,585
Brittany Boyd,NYL,G,33,649,33,17,649,71,180,.394,7,23,.304,64,157,.408,26,34,.765,27,121,151,47,4,81,68,175
Imani McGee-Stafford,DAL,C,29,346,29,6,346,51,109,.468,1,4,.250,50,105,.476,9,14,.643,44,111,18,17,18,34,58,112
Jessica Breland,ATL,F,33,767,33,33,767,104,275,.378,9,38,.237,95,237,.401,29,33,.879,42,240,55,42,35,38,65,246
Kalani Brown,LAS,C,28,377,28,0,377,54,113,.478,0,1,.000,54,112,.482,36,46,.783,34,98,17,9,22,29,47,144
Lexie Brown,MIN,G,33,605,33,0,605,84,209,.402,52,135,.385,32,74,.432,30,38,.789,7,45,47,31,1,41,42,250
Kennedy Burke,IND,G-F,31,423,31,7,423,45,117,.385,14,40,.350,31,77,.403,31,44,.705,18,45,22,18,10,21,30,135
Liz Cambage,LVA,C,32,807,32,30,807,196,389,.504,2,12,.167,194,377,.515,116,155,.748,63,261,68,19,51,72,88,510
Jordin Canada,SEA,G,30,865,30,29,865,112,289,.388,8,43,.186,104,246,.423,63,82,.768,13,71,155,68,7,79,48,295
Essence Carson,PHO,G,23,425,23,13,425,45,128,.352,14,41,.341,31,87,.356,29,37,.784,11,51,35,12,8,17,23,133
Arica Carter,PHO,G,6,24,6,0,24,1,5,.200,0,4,.000,1,1,1.000,0,0,,0,0,1,1,0,2,5,2
Maite Cazorla,ATL,G,31,477,31,1,477,29,93,.312,13,55,.236,16,38,.421,21,24,.875,2,21,49,18,1,29,22,92
Tina Charles,NYL,C,33,1028,33,33,1028,220,566,.389,11,59,.186,209,507,.412,108,133,.812,65,249,78,23,29,85,92,559
Karima Christmas-Kelly,MIN,F-G,6,72,6,0,72,5,18,.278,3,11,.273,2,7,.286,3,5,.600,1,5,6,5,1,4,8,16
Layshia Clarendon,CON,G,9,138,9,0,138,18,43,.419,2,2,1.000,16,41,.390,18,21,.857,7,22,19,3,0,8,7,56
Alysha Clark,SEA,F,31,881,31,30,881,114,237,.481,51,106,.481,63,131,.481,18,22,.818,37,145,79,33,17,48,60,297
Natasha Cloud,WAS,G,34,1093,34,34,1093,110,279,.394,45,138,.326,65,141,.461,41,60,.683,6,85,189,35,7,65,69,306
Nia Coffey,ATL,F,28,389,28,6,389,47,139,.338,22,58,.379,25,81,.309,23,42,.548,23,78,12,14,13,21,52,139
Napheesa Collier,MIN,F,34,1131,34,34,1131,167,341,.490,30,83,.361,137,258,.531,80,101,.792,60,223,87,65,32,65,99,444
Sydney Colson,LVA,G,33,379,33,0,379,37,84,.440,9,20,.450,28,64,.438,27,33,.818,2,23,59,31,4,28,40,110
Kahleah Copper,CHI,G-F,34,502,34,0,502,79,204,.387,15,49,.306,64,155,.413,54,70,.771,12,64,30,14,3,43,51,227
Sophie Cunningham,PHO,G,32,389,32,5,389,28,79,.354,14,46,.304,14,33,.424,30,34,.882,6,45,25,11,4,20,53,100
Damiris Dantas,MIN,F,26,667,26,26,667,89,206,.432,42,107,.393,47,99,.475,19,26,.731,28,116,84,19,15,45,74,239
Kaela Davis,DAL,F,33,634,33,16,634,76,231,.329,16,51,.314,60,180,.333,29,33,.879,16,73,69,18,6,73,79,197
Elena Delle Donne,WAS,F-G,31,901,31,31,901,220,427,.515,52,121,.430,168,306,.549,114,117,.974,48,255,68,19,39,30,32,606
Diamond DeShields,CHI,G,34,1027,34,34,1027,192,481,.399,50,158,.316,142,323,.440,117,140,.836,29,187,82,43,14,74,92,551
Blake Dietrick,SEA,G,17,106,17,1,106,1,10,.100,0,6,.000,1,4,.250,4,6,.667,1,10,16,3,2,10,14,6
Stefanie Dolson,CHI,C,34,850,34,34,850,121,233,.519,30,83,.361,91,150,.607,44,49,.898,41,189,75,21,34,66,125,316
Candice Dupree,IND,F,34,1043,34,34,1043,174,369,.472,0,3,.000,174,366,.475,47,56,.839,24,169,86,15,19,52,34,395
AD Durr,NYL,G,18,480,18,15,480,71,152,.467,15,51,.294,56,101,.554,18,22,.818,5,29,31,10,7,21,34,175
Temi Fagbenle,MIN,C,18,271,18,0,271,42,81,.519,1,6,.167,41,75,.547,13,18,.722,22,52,15,6,6,32,41,98
Jamierra Faulkner,CHI,G,13,72,13,0,72,6,18,.333,1,9,.111,5,9,.556,4,8,.500,2,4,11,2,0,5,8,17
Sylvia Fowles,MIN,C,34,1003,34,34,1003,197,335,.588,0,0,,197,335,.588,70,99,.707,92,302,51,32,47,68,88,464
Allisha Gray,DAL,G,34,1035,34,29,1035,117,256,.457,33,86,.384,84,170,.494,95,112,.848,45,141,78,42,14,49,87,362
Chelsea Gray,LAS,G,34,1108,34,34,1108,188,452,.416,50,131,.382,138,321,.430,66,72,.917,14,128,202,33,3,108,49,492
Reshanda Gray,NYL,F,34,519,34,10,519,71,150,.473,1,2,.500,70,148,.473,35,62,.565,62,176,18,16,7,42,113,178
Brittney Griner,PHO,C,31,1018,31,31,1018,270,479,.564,1,3,.333,269,476,.565,101,125,.808,51,222,75,22,62,76,85,642
Marie Gulich,ATL,C,31,349,31,1,349,39,108,.361,8,25,.320,31,83,.373,16,22,.727,35,85,19,5,24,32,62,102
Megan Gustafson,DAL,C,25,238,25,0,238,27,55,.491,1,9,.111,26,46,.565,18,20,.900,20,63,7,4,6,10,26,73
Dearica Hamby,LVA,F,34,842,34,9,842,141,289,.488,17,53,.321,124,236,.525,74,103,.718,76,257,65,33,12,61,71,373
Isabelle Harrison,DAL,F,31,794,31,29,794,110,241,.456,0,6,.000,110,235,.468,48,67,.716,72,181,42,35,25,48,80,268
Bria Hartley,NYL,G,24,545,24,18,545,79,210,.376,24,73,.329,55,137,.401,53,66,.803,18,77,76,18,1,50,55,235
Tianna Hawkins,WAS,F,31,477,31,1,477,113,220,.514,33,91,.363,80,129,.620,37,40,.925,47,129,23,14,4,35,77,296
Tiffany Hayes,ATL,G,29,817,29,29,817,147,374,.393,36,117,.308,111,257,.432,97,127,.764,21,87,82,29,8,70,71,427
Natisha Hiedeman,CON,G,20,205,20,0,205,24,58,.414,13,28,.464,11,30,.367,12,24,.500,7,30,38,8,2,13,25,73
Tayler Hill,DAL,G,4,49,4,2,49,4,13,.308,1,6,.167,3,7,.429,4,5,.800,2,5,3,1,0,0,4,13
Myisha Hines-Allen,WAS,F,27,211,27,0,211,25,69,.362,6,16,.375,19,53,.358,7,12,.583,25,58,24,9,11,21,32,63
Bria Holmes,CON,G,34,529,34,0,529,77,193,.399,20,63,.317,57,130,.438,39,58,.672,10,49,31,16,7,30,36,213
Anriel Howard,SEA,F,3,20,3,0,20,2,5,.400,1,2,.500,1,3,.333,0,0,,2,3,0,1,0,2,4,5
Natasha Howard,SEA,F,34,1066,34,34,1066,227,517,.439,32,104,.308,195,413,.472,128,158,.810,92,279,72,74,59,99,100,614
Chloe Jackson,CHI,G,8,32,8,0,32,2,9,.222,0,0,,2,9,.222,1,6,.167,3,6,4,5,0,6,1,5
Briann January,PHO,G,32,852,32,26,852,71,182,.390,31,82,.378,40,100,.400,36,43,.837,6,42,103,26,3,54,67,209
Marine Johannes,NYL,G,19,345,19,0,345,48,110,.436,25,66,.379,23,44,.523,15,19,.789,9,34,46,8,3,22,30,136
Glory Johnson,DAL,F,28,676,28,19,676,78,214,.364,35,103,.340,43,111,.387,14,24,.583,27,144,39,39,18,28,45,205
Shenise Johnson,IND,G,17,219,17,0,219,30,90,.333,8,33,.242,22,57,.386,15,16,.938,11,35,18,12,2,12,17,83
Alexis Jones,LAS,G,20,243,20,1,243,28,70,.400,11,33,.333,17,37,.459,12,15,.800,2,22,36,6,4,27,29,79
Brionna Jones,CON,F,27,227,27,0,227,35,75,.467,0,1,.000,35,74,.473,24,36,.667,37,59,9,9,7,19,36,94
Jonquel Jones,CON,C,34,980,34,34,980,173,386,.448,43,139,.309,130,247,.526,108,132,.818,113,330,52,43,68,66,96,497
Paris Kea,IND,G,11,60,11,0,60,11,27,.407,5,9,.556,6,18,.333,2,4,.500,1,5,6,1,2,9,4,29
Betnijah Laney,IND,G-F,34,877,34,27,877,77,213,.362,20,66,.303,57,147,.388,18,31,.581,32,143,59,48,4,49,55,192
Crystal Langhorne,SEA,F-C,34,577,34,4,577,70,171,.409,18,57,.316,52,114,.456,33,44,.750,27,106,33,10,9,43,35,191
Jantel Lavender,CHI,F,23,619,23,22,619,103,210,.490,6,27,.222,97,183,.530,19,21,.905,46,158,26,7,13,32,34,231
Camille Smith,PHO,F,29,425,29,0,425,40,92,.435,7,21,.333,33,71,.465,25,31,.806,19,69,23,11,8,25,51,112
Jewell Loyd,SEA,G,27,686,27,21,686,117,299,.391,34,101,.337,83,198,.419,64,69,.928,11,74,54,35,3,52,33,332
Sancho Lyttle,PHO,F,20,250,20,2,250,26,62,.419,1,4,.250,25,58,.431,5,8,.625,14,58,6,12,5,12,27,58
Marina Mabrey,LAS,G,31,355,31,0,355,45,131,.344,21,77,.273,24,54,.444,14,16,.875,6,38,30,19,7,24,23,125
Victoria Macaulay,CHI,F,5,22,5,0,22,2,5,.400,0,0,,2,5,.400,2,2,1.000,1,4,0,2,1,0,3,6
Stephanie Mavunga,IND,F,24,204,24,0,204,24,47,.511,0,1,.000,24,46,.522,12,17,.706,21,56,4,6,7,10,39,60
Kayla McBride,LVA,G,34,990,34,34,990,152,358,.425,62,145,.428,90,213,.423,87,96,.906,22,141,88,41,3,59,46,453
Erica McCall,IND,F,15,104,15,0,104,3,22,.136,0,0,,3,22,.136,8,8,1.000,11,27,6,1,6,3,13,14
Brooke McCarty-Williams,DAL,G,34,447,34,3,447,26,90,.289,18,50,.360,8,40,.200,11,12,.917,10,45,64,16,1,29,42,81
Angel McCoughtry,ATL,F-G,1,0,1,1,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Teaira McCowan,IND,C,34,752,34,16,752,119,230,.517,0,0,,119,230,.517,103,150,.687,108,305,8,20,44,44,110,341
Emma Meesseman,WAS,F,23,543,23,6,543,122,221,.552,19,45,.422,103,176,.585,38,42,.905,27,97,73,20,15,22,41,301
Kim Mestdagh,WAS,G,15,71,15,0,71,7,18,.389,6,15,.400,1,3,.333,2,2,1.000,1,4,6,2,0,6,5,22
Kelsey Mitchell,IND,G,34,852,34,20,852,167,432,.387,79,211,.374,88,221,.398,51,61,.836,4,56,90,15,4,57,57,464
Leilani Mitchell,PHO,G,32,971,32,27,971,134,304,.441,74,172,.430,60,132,.455,68,82,.829,16,96,128,30,10,58,78,410
Tiffany Mitchell,IND,G,33,831,33,14,831,109,286,.381,20,69,.290,89,217,.410,83,93,.892,22,95,71,19,3,55,83,321
Renee Montgomery,ATL,G,34,949,34,34,949,107,289,.370,68,210,.324,39,79,.494,42,51,.824,9,74,90,31,6,64,51,324
Kaleena Mosqueda-Lewis,SEA,F,31,435,31,4,435,65,163,.399,28,82,.341,37,81,.457,14,14,1.000,9,36,16,8,5,36,40,172
Jaime Nared,LVA,G-F,1,1,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0
Astou Ndour-Fall,CHI,C-F,21,368,21,11,368,58,118,.492,14,33,.424,44,85,.518,13,18,.722,30,88,14,10,14,14,36,143
Kia Nurse,NYL,G,34,1001,34,34,1001,142,361,.393,65,184,.353,77,177,.435,116,133,.872,19,85,78,25,4,56,60,465
Arike Ogunbowale,DAL,G,33,1059,33,28,1059,214,551,.388,57,162,.352,157,389,.404,145,178,.815,20,80,106,35,1,68,85,630
Chiney Ogwumike,LAS,F-C,32,697,32,14,697,125,253,.494,1,4,.250,124,249,.498,55,68,.809,81,184,25,33,23,42,110,306
Nneka Ogwumike,LAS,F,32,892,32,32,892,207,406,.510,23,68,.338,184,338,.544,77,93,.828,73,282,58,60,15,58,92,514
Courtney Paris,SEA,C,30,190,30,0,190,6,15,.400,0,0,,6,15,.400,3,7,.429,13,52,13,8,3,9,18,15
Candace Parker,LAS,F-C,22,571,22,22,571,89,211,.422,16,60,.267,73,151,.483,53,67,.791,24,140,76,23,17,54,39,247
Cheyenne Parker,CHI,F,34,670,34,0,670,107,233,.459,5,18,.278,102,215,.474,80,95,.842,62,197,30,25,42,45,81,299
JiSu Park,LVA,C,25,163,25,0,163,8,37,.216,0,1,.000,8,36,.222,4,9,.444,10,27,10,5,4,7,23,20
Shey Peddy,WAS,G,15,71,15,0,71,8,13,.615,4,8,.500,4,5,.800,6,6,1.000,1,9,8,4,0,3,8,26
Haley Peters,ATL,F,4,26,4,0,26,0,7,.000,0,0,,0,7,.000,2,2,1.000,1,2,1,1,1,4,3,2
Kelsey Plum,LVA,G,34,868,34,30,868,107,293,.365,45,125,.360,62,168,.369,34,39,.872,15,96,102,27,4,53,76,293
Aerial Powers,WAS,G,30,593,30,7,593,108,249,.434,42,116,.362,66,133,.496,85,98,.867,34,97,45,25,6,44,48,343
Epiphanny Prince,LVA,G,3,28,3,0,28,5,10,.500,3,7,.429,2,3,.667,0,0,,1,2,3,1,1,0,5,13
LaToya Sanders,WAS,F-C,34,804,34,34,804,87,172,.506,0,0,,87,172,.506,33,37,.892,44,186,66,30,47,30,71,207
Allie Quigley,CHI,G,34,972,34,34,972,171,347,.493,80,181,.442,91,166,.548,47,54,.870,13,101,85,27,7,46,61,469
Nayo Raincock-Ekunwe,NYL,F,28,367,28,1,367,43,79,.544,1,3,.333,42,76,.553,16,25,.640,39,77,12,8,4,22,43,103
Danielle Robinson,MIN,G,34,919,34,25,919,138,316,.437,9,41,.220,129,275,.469,58,66,.879,22,118,125,42,7,70,61,343
Sugar Rodgers,LVA,G,33,382,33,0,382,40,111,.360,30,84,.357,10,27,.370,3,5,.600,4,48,39,13,12,27,37,113
Tierra Ruffin-Pratt,LAS,G,34,856,34,33,856,72,196,.367,25,73,.342,47,123,.382,35,41,.854,20,83,57,26,20,29,91,204
Mercedes Russell,SEA,C,34,870,34,30,870,106,204,.520,0,0,,106,204,.520,42,65,.646,81,207,35,37,17,33,85,254
Katie Lou Samuelson,CHI,F,20,153,20,0,153,12,38,.316,8,29,.276,4,9,.444,16,20,.800,4,17,7,6,2,5,15,48
Jessica Shepard,MIN,F,6,112,6,0,112,11,29,.379,1,7,.143,10,22,.455,6,8,.750,9,34,21,2,1,15,9,29
Odyssey Sims,MIN,G,34,1083,34,34,1083,189,455,.415,25,93,.269,164,362,.453,89,112,.795,24,114,185,46,4,112,68,492
Alanna Smith,PHO,F,18,134,18,0,134,8,41,.195,2,18,.111,6,23,.261,1,2,.500,11,35,4,5,5,8,18,19
Azura Stevens,DAL,F-C,9,144,9,1,144,19,53,.358,1,9,.111,18,44,.409,4,5,.800,15,32,5,5,10,9,12,43
Shekinna Stricklen,CON,F,34,804,34,34,804,104,255,.408,76,199,.382,28,56,.500,22,27,.815,9,65,39,34,7,28,79,306
Carolyn Swords,LVA,C,29,257,29,4,257,32,73,.438,0,0,,32,73,.438,11,13,.846,19,63,10,7,3,17,27,75
Brittney Sykes,ATL,G,34,880,34,27,880,128,351,.365,28,108,.259,100,243,.412,64,91,.703,25,151,85,20,16,68,59,348
Stephanie Talbot,MIN,F,33,561,33,10,561,57,154,.370,31,95,.326,26,59,.441,27,31,.871,18,79,41,30,9,42,37,172
Diana Taurasi,PHO,G,6,129,6,6,129,4,39,.103,1,24,.042,3,15,.200,17,18,.944,1,19,32,2,1,13,15,26
