Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,31,777,31,31,777,109,276,.395,33,82,.402,76,194,.392,53,73,.726,29,107,60,48,6,80,86,304
Mactabene Amachree,WAS,F,3,3,3,0,3,0,1,.000,0,0,,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,2
Chantelle Anderson,SAS,C,34,669,34,19,669,83,178,.466,0,0,,83,178,.466,37,46,.804,28,90,11,8,15,55,106,203
Janeth Arcain,HOU,G,34,1079,34,34,1079,128,304,.421,3,16,.188,125,288,.434,83,94,.883,20,93,53,55,6,56,85,342
Elena Baranova,NYL,F,33,953,33,33,953,104,236,.441,33,85,.388,71,151,.470,47,55,.855,39,227,59,25,46,59,79,288
Suzy Batkovic-Brown,SEA,C,29,461,29,0,461,76,174,.437,2,7,.286,74,167,.443,45,58,.776,26,94,26,17,24,32,85,199
Jacqueline Batteast,MIN,F,8,46,8,0,46,0,6,.000,0,0,,0,6,.000,0,0,,0,5,3,0,1,3,4,0
Ashley Battle,SEA,F,2,8,2,0,8,1,2,.500,0,0,,1,2,.500,0,0,,0,2,0,0,0,1,1,2
Alana Beard,WAS,G-F,30,1015,30,30,1015,155,408,.380,32,101,.317,123,307,.401,80,105,.762,25,130,90,45,9,63,87,422
Jenni Benningfield,IND,F,10,52,10,0,52,3,8,.375,0,2,.000,3,6,.500,3,4,.750,3,6,4,1,1,4,5,9
Tully Bevilaqua,IND,G,31,873,31,31,873,63,162,.389,44,116,.379,19,46,.413,24,44,.545,12,63,80,60,0,51,69,194
Sue Bird,SEA,G,30,1020,30,30,1020,130,294,.442,45,103,.437,85,191,.445,59,69,.855,21,72,176,29,6,87,46,364
Kara Braxton,DET,C-F,33,455,33,2,455,97,210,.462,0,1,.000,97,209,.464,33,60,.550,42,100,14,18,13,52,78,227
Coretta Brown,IND,G,6,23,6,0,23,2,5,.400,2,5,.400,0,0,,0,0,,0,2,3,1,0,3,1,6
Jessica Brungo,CON,F,12,48,12,0,48,1,9,.111,0,4,.000,1,5,.200,0,0,,1,6,2,0,0,2,4,2
Rebekkah Brunson,SAC,F,34,722,34,16,722,105,246,.427,0,0,,105,246,.427,55,92,.598,75,187,16,28,15,42,61,265
Janell Burse,SEA,C,34,859,34,34,859,127,243,.523,0,0,,127,243,.523,86,123,.699,81,199,23,19,40,78,139,340
Edna Campbell,SAS,G,28,248,28,2,248,21,67,.313,5,19,.263,16,48,.333,1,1,1.000,2,14,14,7,0,15,20,48
Dominique Canty,HOU,G,33,997,33,32,997,95,238,.399,0,4,.000,95,234,.406,80,110,.727,25,108,101,29,2,67,75,270
Jamie Carey,CON,G,15,85,15,0,85,7,19,.368,4,13,.308,3,6,.500,0,0,,2,6,7,2,0,4,9,18
Amisha Carter,NYL,F,3,13,3,0,13,0,1,.000,0,0,,0,1,.000,0,0,,0,2,0,0,0,1,4,0
Swin Cash*,DET,F,21,458,21,21,458,48,126,.381,2,10,.200,46,116,.397,21,32,.656,42,88,43,12,6,47,44,119
Iziane Castro Marques,SEA,F-G,33,879,33,32,879,93,242,.384,24,72,.333,69,170,.406,59,73,.808,23,97,49,18,4,59,73,269
Tamika Catchings*,IND,F,34,1174,34,34,1174,157,410,.383,35,123,.285,122,287,.425,152,193,.788,69,264,143,90,16,91,96,501
Kaayla Chones,WAS,C,12,61,12,0,61,6,14,.429,0,0,,6,14,.429,2,3,.667,2,6,1,1,0,4,9,14
Kayte Christensen,PHO,F,11,108,11,1,108,7,15,.467,0,0,,7,15,.467,4,7,.571,9,22,7,7,5,10,25,18
Shameka Christon,NYL,G,34,809,34,9,809,111,270,.411,24,89,.270,87,181,.481,65,76,.855,25,92,41,33,19,50,100,311
