Seed,Team,Record,Previous Seed
1,Golden State Warriors,73-9,1.0
2,San Antonio Spurs,67-15,6.0
3,Cleveland Cavaliers,57-25,7.0
4,Toronto Raptors,56-26,11.0
5,Oklahoma City Thunder,55-27,14.0
6,Los Angeles Clippers,53-29,4.0
7,Atlanta Hawks,48-34,2.0
8,Boston Celtics,48-34,16.0
9,Charlotte Hornets,48-34,22.0
10,Miami Heat,48-34,21.0
11,Indiana Pacers,45-37,19.0
12,Detroit Pistons,44-38,23.0
13,Portland Trail Blazers,44-38,8.0
14,Dallas Mavericks,42-40,10.0
15,Memphis Grizzlies,42-40,5.0
16,Chicago Bulls,42-40,9.0
17,Houston Rockets,41-41,3.0
18,Washington Wizards,41-41,12.0
19,Utah Jazz,40-42,20.0
20,Orlando Magic,35-47,26.0
21,Denver Nuggets,33-49,24.0
22,Milwaukee Bucks,33-49,15.0
23,Sacramento Kings,33-49,25.0
24,New York Knicks,32-50,29.0
25,New Orleans Pelicans,30-52,13.0
26,Minnesota Timberwolves,29-53,30.0
27,Phoenix Suns,23-59,17.0
28,Brooklyn Nets,21-61,18.0
29,Los Angeles Lakers,17-65,27.0
30,Philadelphia 76ers,10-72,28.0
