Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%
1,Jeff Adrien,PF,24,GSW,23,0,8.5,1.0,2.3,0.426,0.0,0.0,,1.0,2.3,0.426,0.426,0.5,0.8,0.579,1.0,1.5,2.5,0.4,0.2,0.2,0.4,1.2,2.5,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Arron Afflalo,SG,25,DEN,69,69,33.7,4.5,9.1,0.498,1.5,3.6,0.423,3.0,5.5,0.546,0.581,2.0,2.4,0.847,0.7,3.0,3.6,2.4,0.5,0.4,1.0,2.2,12.6,82.0,231,3,2009-10,8.8,3.1,1.7,0.6,0.4,27.1,82.0,7.1,3.3,0.9,1.3,3.0,2.0,0.434,4.1,0.488,0.735
3,Maurice Ager,SG,26,MIN,4,0,7.3,1.5,2.8,0.545,0.8,1.0,0.75,0.8,1.8,0.429,0.682,0.0,0.0,,0.0,0.5,0.5,0.3,0.3,0.0,1.0,1.0,3.8,0.0,78,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Alexis Ajinça,C,22,TOT,34,2,10.0,1.7,3.9,0.444,0.4,1.0,0.353,1.4,2.9,0.475,0.489,0.4,0.5,0.722,0.5,1.8,2.3,0.3,0.3,0.6,0.5,2.1,4.2,6.0,37,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Alexis Ajinça,C,22,DAL,10,2,7.5,1.2,3.2,0.375,0.3,0.7,0.429,0.9,2.5,0.36,0.422,0.2,0.3,0.667,0.5,1.2,1.7,0.2,0.3,0.5,0.1,1.3,2.9,6.0,37,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Alexis Ajinça,C,22,TOR,24,0,11.0,2.0,4.2,0.465,0.4,1.1,0.333,1.6,3.1,0.514,0.51,0.5,0.6,0.733,0.5,2.0,2.5,0.3,0.3,0.6,0.7,2.5,4.8,6.0,37,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Solomon Alabi,C,22,TOR,12,0,4.9,0.3,1.3,0.2,0.0,0.0,,0.3,1.3,0.2,0.2,0.0,0.2,0.0,0.6,0.6,1.2,0.2,0.2,0.2,0.3,0.4,0.5,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Cole Aldrich,C,22,OKC,18,0,7.9,0.4,0.8,0.533,0.0,0.0,,0.4,0.8,0.533,0.533,0.1,0.2,0.5,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,LaMarcus Aldridge,PF,25,POR,81,81,39.6,8.7,17.5,0.5,0.0,0.3,0.174,8.7,17.2,0.505,0.501,4.3,5.5,0.791,3.4,5.3,8.8,2.1,1.0,1.2,1.9,2.7,21.8,78.0,298,4,2009-10,17.9,8.0,2.1,0.9,0.6,37.5,78.0,15.0,7.4,1.3,0.1,0.2,7.4,0.313,14.8,0.498,0.757
8,Malik Allen,PF,32,ORL,18,0,9.9,0.6,1.7,0.355,0.0,0.0,,0.6,1.7,0.355,0.355,0.1,0.1,0.5,0.7,1.1,1.8,0.2,0.1,0.2,0.2,1.7,1.3,51.0,460,8,2009-10,2.1,1.6,0.3,0.2,0.1,8.9,51.0,2.3,0.9,0.4,0.0,0.1,0.9,0.167,2.2,0.409,0.923
9,Ray Allen,SG,35,BOS,80,80,36.1,6.0,12.2,0.491,2.1,4.7,0.444,3.9,7.5,0.52,0.577,2.4,2.7,0.881,0.6,2.8,3.4,2.7,1.0,0.2,1.5,1.8,16.5,80.0,644,9,2009-10,16.3,3.2,2.6,0.8,0.3,35.2,80.0,12.2,5.8,1.6,1.8,5.0,4.0,0.363,7.2,0.556,0.913
10,Tony Allen,SG,29,MEM,72,31,20.8,3.5,6.8,0.51,0.1,0.3,0.174,3.4,6.5,0.527,0.514,1.9,2.5,0.753,1.0,1.7,2.7,1.4,1.8,0.6,1.2,2.2,8.9,54.0,336,5,2009-10,6.1,2.7,1.3,1.1,0.4,16.5,54.0,4.7,2.4,1.2,0.0,0.1,2.4,0.0,4.6,0.52,0.605
11,Al-Farouq Aminu,SF,20,LAC,81,14,17.9,2.0,5.0,0.394,0.6,1.8,0.315,1.4,3.2,0.437,0.45,1.1,1.5,0.773,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1.5,5.6,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Lou Amundson,PF,28,GSW,46,7,15.0,1.8,4.0,0.454,0.0,0.0,,1.8,4.0,0.454,0.454,0.7,1.9,0.391,1.8,2.3,4.0,0.4,0.3,0.7,0.5,1.9,4.3,79.0,182,2,2009-10,4.7,4.4,0.4,0.3,0.9,14.8,79.0,3.5,1.9,0.7,0.0,0.0,1.9,0.0,3.5,0.553,0.545
13,Chris Andersen,C,32,DEN,45,0,16.3,1.8,3.0,0.599,0.0,0.0,0.0,1.8,3.0,0.603,0.599,1.9,3.0,0.637,1.7,3.2,4.9,0.4,0.5,1.3,0.6,1.8,5.6,76.0,405,5,2009-10,5.9,6.4,0.4,0.6,1.9,22.3,76.0,3.3,1.9,0.8,0.0,0.0,1.9,0.0,3.3,0.573,0.695
14,David Andersen,PF,30,TOT,40,0,9.3,1.4,3.0,0.463,0.2,0.6,0.348,1.2,2.5,0.49,0.496,0.4,0.6,0.636,0.5,1.6,2.1,0.3,0.1,0.2,0.6,1.0,3.4,63.0,63,1,2009-10,5.8,3.3,0.7,0.2,0.2,14.1,63.0,5.4,2.3,0.6,0.4,1.2,1.9,0.346,4.2,0.458,0.687
14,David Andersen,PF,30,TOR,11,0,13.6,2.1,4.3,0.489,0.3,0.9,0.3,1.8,3.4,0.541,0.521,0.6,0.6,1.0,0.7,2.4,3.1,0.6,0.3,0.3,0.7,1.0,5.1,63.0,63,1,2009-10,5.8,3.3,0.7,0.2,0.2,14.1,63.0,5.4,2.3,0.6,0.4,1.2,1.9,0.346,4.2,0.458,0.687
14,David Andersen,PF,30,NOH,29,0,7.7,1.1,2.6,0.446,0.2,0.4,0.385,1.0,2.1,0.459,0.48,0.2,0.5,0.467,0.4,1.3,1.7,0.2,0.1,0.2,0.5,1.0,2.7,63.0,63,1,2009-10,5.8,3.3,0.7,0.2,0.2,14.1,63.0,5.4,2.3,0.6,0.4,1.2,1.9,0.346,4.2,0.458,0.687
15,James Anderson,SF,21,SAS,26,2,11.0,1.2,3.1,0.383,0.7,1.8,0.391,0.5,1.3,0.371,0.494,0.5,0.7,0.778,0.1,0.8,0.9,0.7,0.1,0.2,0.5,0.9,3.6,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Ryan Anderson,PF,22,ORL,64,14,22.3,3.5,8.2,0.43,2.1,5.3,0.393,1.4,2.9,0.5,0.558,1.5,1.8,0.812,2.0,3.5,5.5,0.8,0.5,0.6,0.8,2.1,10.6,63.0,129,2,2009-10,7.7,3.2,0.6,0.4,0.2,14.5,63.0,6.2,2.7,0.9,1.2,3.3,1.4,0.37,2.8,0.514,0.866
17,Carmelo Anthony,SF,26,TOT,77,77,35.7,8.9,19.5,0.455,1.2,3.3,0.378,7.6,16.3,0.47,0.487,6.6,7.9,0.838,1.5,5.8,7.3,2.9,0.9,0.6,2.7,2.9,25.6,69.0,514,7,2009-10,28.2,6.6,3.2,1.3,0.4,38.2,69.0,21.8,10.0,3.0,0.9,2.7,9.1,0.316,19.1,0.478,0.83
17,Carmelo Anthony,SF,26,DEN,50,50,35.5,8.7,19.3,0.452,0.8,2.5,0.333,7.9,16.8,0.47,0.474,6.9,8.3,0.823,1.5,6.1,7.6,2.8,0.9,0.6,2.8,2.7,25.2,69.0,514,7,2009-10,28.2,6.6,3.2,1.3,0.4,38.2,69.0,21.8,10.0,3.0,0.9,2.7,9.1,0.316,19.1,0.478,0.83
