Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%,Best Season
180,Kirk Hinrich,PG,26,CHI,80,80,35.5,5.9,13.3,0.448,1.8,4.2,0.415,4.2,9.1,0.463,0.514,3.0,3.6,0.835,0.4,3.0,3.4,6.3,1.3,0.3,2.4,3.4,16.6,81.0,234,3,2005-06,15.9,3.6,6.3,1.2,0.3,36.5,81.0,13.3,5.6,2.3,1.6,4.2,4.0,0.37,9.1,0.441,0.815,2005-06
181,Robert Hite,SG,23,MIA,12,0,11.3,1.6,5.0,0.317,0.4,1.9,0.217,1.2,3.1,0.378,0.358,0.7,1.0,0.667,0.3,1.0,1.3,0.7,0.3,0.2,0.5,0.7,4.3,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
182,Julius Hodge,SG,23,TOT,9,1,7.2,0.7,1.3,0.5,0.0,0.0,,0.7,1.3,0.5,0.5,0.3,0.4,0.75,0.2,0.7,0.9,1.3,0.4,0.0,0.3,0.7,1.7,14.0,14,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
182,Julius Hodge,SG,23,DEN,4,1,9.3,0.5,1.3,0.4,0.0,0.0,,0.5,1.3,0.4,0.4,0.5,0.5,1.0,0.3,0.5,0.8,2.5,0.8,0.0,0.3,0.8,1.5,14.0,14,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
182,Julius Hodge,SG,23,MIL,5,0,5.6,0.8,1.4,0.571,0.0,0.0,,0.8,1.4,0.571,0.571,0.2,0.4,0.5,0.2,0.8,1.0,0.4,0.2,0.0,0.4,0.6,1.8,14.0,14,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
183,Ryan Hollins,C,22,CHA,27,0,6.9,0.7,1.3,0.556,0.0,0.0,,0.7,1.3,0.556,0.556,0.9,1.5,0.6,0.4,0.7,1.1,0.0,0.1,0.3,0.6,1.5,2.4,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
184,Robert Horry,PF,36,SAS,68,8,16.5,1.3,3.7,0.359,0.7,2.2,0.336,0.6,1.5,0.392,0.458,0.6,0.9,0.594,1.1,2.3,3.4,1.1,0.7,0.6,0.6,1.5,3.9,63.0,380,5,2005-06,5.1,3.8,1.3,0.7,0.8,18.8,63.0,4.6,1.8,0.7,0.8,2.3,0.9,0.368,2.3,0.399,0.647,2001-02
185,Eddie House,SG,28,NJN,56,1,16.9,3.2,7.5,0.428,1.3,3.1,0.429,1.9,4.4,0.427,0.517,0.6,0.6,0.917,0.3,1.4,1.6,1.2,0.5,0.1,0.5,1.2,8.4,81.0,328,5,2005-06,9.8,1.6,1.8,0.5,0.1,17.5,81.0,9.4,4.0,0.9,1.5,3.9,2.4,0.389,5.5,0.445,0.805,2005-06
186,Dwight Howard,C,21,ORL,82,82,36.9,6.4,10.6,0.603,0.0,0.0,0.5,6.4,10.6,0.603,0.603,4.8,8.1,0.586,3.5,8.8,12.3,1.9,0.9,1.9,3.9,3.0,17.6,82.0,164,2,2005-06,15.8,12.5,1.5,0.8,1.4,36.8,82.0,10.7,5.7,2.6,0.0,0.0,5.7,0.0,10.7,0.532,0.595,2005-06
187,Josh Howard,SF,26,DAL,70,69,35.1,7.0,15.4,0.459,1.3,3.4,0.385,5.7,11.9,0.48,0.501,3.5,4.2,0.827,1.9,4.9,6.8,1.8,1.2,0.8,1.8,2.6,18.9,59.0,202,3,2005-06,15.6,6.3,1.9,1.2,0.4,32.5,59.0,12.6,5.9,1.3,0.5,1.1,5.5,0.429,11.5,0.475,0.734,2005-06
188,Juwan Howard,PF,33,HOU,80,38,26.5,3.9,8.3,0.465,0.0,0.0,,3.9,8.3,0.465,0.465,1.9,2.4,0.824,1.7,4.2,5.9,1.6,0.4,0.1,1.4,2.6,9.7,80.0,380,5,2005-06,11.8,6.7,1.4,0.6,0.1,31.7,80.0,10.7,4.9,1.7,0.0,0.1,4.9,0.0,10.7,0.461,0.806,2002-03
189,Troy Hudson,PG,30,MIN,34,6,16.3,2.2,5.7,0.379,0.8,2.4,0.35,1.4,3.4,0.4,0.451,0.8,0.9,0.813,0.2,1.2,1.4,2.1,0.4,0.1,1.2,0.7,5.9,36.0,304,4,2005-06,9.5,1.2,2.9,0.3,0.1,22.2,36.0,9.3,3.5,1.1,1.1,2.8,2.4,0.396,6.4,0.375,0.923,2002-03
190,Larry Hughes,SG,28,CLE,70,68,37.1,5.4,13.6,0.4,1.1,3.2,0.333,4.4,10.4,0.42,0.439,3.0,4.4,0.676,0.6,3.2,3.8,3.7,1.3,0.4,2.2,2.3,14.9,36.0,298,5,2005-06,15.5,4.5,3.6,1.5,0.6,35.6,36.0,13.0,5.3,2.8,0.8,2.1,4.6,0.368,10.9,0.417,0.756,2004-05
191,Kris Humphries,PF,21,TOR,60,2,11.2,1.5,3.1,0.47,0.0,0.0,,1.5,3.1,0.47,0.47,0.9,1.3,0.671,1.3,1.8,3.1,0.3,0.2,0.4,0.5,1.6,3.8,62.0,129,2,2005-06,3.0,2.5,0.5,0.4,0.3,10.0,62.0,3.3,1.2,0.5,0.0,0.1,1.2,0.0,3.2,0.389,0.523,2004-05
