Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%,Best Season
216,Amir Johnson,PF,19,DET,8,0,15.5,2.3,4.1,0.545,0.0,0.4,0.0,2.3,3.8,0.6,0.545,1.4,1.8,0.786,1.9,2.8,4.6,0.4,0.6,1.6,1.1,2.4,5.9,3.0,3,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
217,Anthony Johnson,PG,32,TOT,67,17,19.4,2.1,5.1,0.414,0.4,1.1,0.342,1.7,4.0,0.433,0.45,0.7,0.9,0.754,0.3,1.2,1.5,3.0,0.5,0.0,1.1,1.8,5.3,75.0,311,4,2005-06,9.2,2.2,4.3,0.8,0.3,26.4,75.0,8.0,3.6,1.5,0.7,2.1,2.9,0.329,6.0,0.482,0.752,2005-06
217,Anthony Johnson,PG,32,DAL,40,0,14.1,1.5,3.7,0.411,0.3,0.7,0.379,1.2,2.9,0.419,0.449,0.5,0.7,0.724,0.3,0.9,1.2,2.0,0.4,0.0,0.8,1.7,3.8,75.0,311,4,2005-06,9.2,2.2,4.3,0.8,0.3,26.4,75.0,8.0,3.6,1.5,0.7,2.1,2.9,0.329,6.0,0.482,0.752,2005-06
217,Anthony Johnson,PG,32,ATL,27,17,27.4,3.0,7.3,0.416,0.5,1.6,0.318,2.5,5.7,0.444,0.452,0.9,1.2,0.781,0.3,1.6,2.0,4.6,0.6,0.1,1.7,1.9,7.5,75.0,311,4,2005-06,9.2,2.2,4.3,0.8,0.3,26.4,75.0,8.0,3.6,1.5,0.7,2.1,2.9,0.329,6.0,0.482,0.752,2005-06
218,DerMarr Johnson,SF,26,DEN,39,7,10.7,1.3,3.9,0.325,0.5,2.3,0.216,0.8,1.7,0.47,0.386,0.4,0.5,0.762,0.3,1.2,1.5,0.4,0.4,0.3,0.7,1.0,3.5,58.0,222,3,2005-06,6.1,1.7,0.9,0.4,0.4,15.9,58.0,5.3,2.3,0.8,1.0,2.8,1.3,0.35,2.5,0.521,0.81,2001-02
219,Joe Johnson,SG,25,ATL,57,57,41.4,9.4,20.0,0.471,2.1,5.5,0.381,7.3,14.5,0.504,0.523,4.1,5.5,0.748,0.9,3.3,4.2,4.4,1.1,0.2,3.1,2.0,25.0,82.0,405,5,2005-06,20.2,4.1,6.5,1.3,0.4,40.7,82.0,17.0,7.7,3.3,1.6,4.4,6.1,0.356,12.6,0.487,0.791,2005-06
220,Linton Johnson,PF,26,NOK,54,0,13.3,1.7,3.5,0.489,0.2,0.6,0.333,1.5,3.0,0.519,0.516,0.6,0.7,0.811,1.0,2.1,3.0,0.3,0.6,0.3,0.5,1.9,4.2,36.0,79,2,2005-06,4.3,3.4,0.4,0.3,0.3,14.6,36.0,4.1,1.7,0.8,0.4,1.0,1.3,0.361,3.1,0.425,0.667,2005-06
221,Bobby Jones,SF,23,PHI,44,5,7.6,1.0,2.1,0.462,0.0,0.2,0.111,1.0,1.9,0.5,0.468,0.5,0.9,0.561,0.5,0.8,1.3,0.4,0.3,0.0,0.4,1.3,2.5,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
222,Dahntay Jones,SG,26,MEM,78,25,21.4,2.8,5.9,0.477,0.1,0.2,0.417,2.8,5.8,0.479,0.483,1.8,2.2,0.793,0.6,1.4,2.0,0.9,0.5,0.3,1.2,2.5,7.5,71.0,143,2,2005-06,4.0,1.5,0.5,0.5,0.2,13.6,71.0,3.7,1.5,0.7,0.0,0.3,1.5,0.143,3.4,0.438,0.645,2004-05
223,Damon Jones,PG,30,CLE,60,0,19.6,2.3,5.9,0.386,1.5,3.9,0.385,0.8,2.1,0.387,0.511,0.5,0.7,0.682,0.2,1.0,1.1,1.6,0.3,0.0,0.6,0.9,6.6,82.0,362,5,2005-06,6.7,1.6,2.1,0.5,0.0,25.5,82.0,6.0,2.3,0.7,1.7,4.5,0.6,0.377,1.5,0.417,0.64,2004-05
224,Dwayne Jones,PF,23,CLE,4,0,4.5,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.8,1.5,0.5,0.3,1.3,1.5,0.0,0.0,0.0,0.5,0.8,0.8,14.0,14,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
225,Eddie Jones,SG,35,TOT,64,41,24.9,2.8,6.6,0.422,1.2,3.5,0.351,1.6,3.1,0.5,0.514,0.9,1.2,0.787,0.5,2.5,3.0,1.7,1.1,0.2,0.7,1.9,7.7,75.0,364,5,2005-06,11.8,3.7,2.4,1.7,0.4,32.5,75.0,9.6,3.9,1.2,1.8,5.0,2.1,0.356,4.6,0.457,0.781,2002-03
225,Eddie Jones,SG,35,MEM,29,14,19.3,2.0,5.2,0.377,0.8,2.6,0.297,1.2,2.7,0.455,0.45,0.9,1.2,0.735,0.5,1.6,2.1,1.1,0.8,0.1,0.8,1.9,5.6,75.0,364,5,2005-06,11.8,3.7,2.4,1.7,0.4,32.5,75.0,9.6,3.9,1.2,1.8,5.0,2.1,0.356,4.6,0.457,0.781,2002-03
225,Eddie Jones,SG,35,MIA,35,27,29.5,3.5,7.7,0.446,1.6,4.2,0.378,1.9,3.5,0.528,0.55,1.0,1.2,0.829,0.5,3.2,3.7,2.2,1.3,0.2,0.7,2.0,9.5,75.0,364,5,2005-06,11.8,3.7,2.4,1.7,0.4,32.5,75.0,9.6,3.9,1.2,1.8,5.0,2.1,0.356,4.6,0.457,0.781,2002-03
226,Fred Jones,SG,27,TOT,63,12,20.9,2.2,5.7,0.385,0.6,2.0,0.305,1.6,3.7,0.429,0.439,1.5,1.8,0.833,0.4,1.5,1.8,1.7,0.8,0.3,1.1,1.9,6.5,68.0,245,3,2005-06,9.6,2.5,2.3,0.8,0.3,27.0,68.0,8.2,3.4,1.6,0.9,2.8,2.5,0.337,5.5,0.457,0.763,2004-05
226,Fred Jones,SG,27,TOR,39,9,22.3,2.5,6.4,0.386,0.8,2.6,0.317,1.6,3.8,0.432,0.45,1.9,2.3,0.83,0.4,1.7,2.1,1.4,0.8,0.3,1.3,2.1,7.6,68.0,245,3,2005-06,9.6,2.5,2.3,0.8,0.3,27.0,68.0,8.2,3.4,1.6,0.9,2.8,2.5,0.337,5.5,0.457,0.763,2004-05
226,Fred Jones,SG,27,POR,24,3,18.7,1.8,4.7,0.384,0.3,1.1,0.259,1.5,3.5,0.424,0.415,0.9,1.1,0.846,0.3,1.1,1.4,2.2,0.8,0.2,0.7,1.7,4.8,68.0,245,3,2005-06,9.6,2.5,2.3,0.8,0.3,27.0,68.0,8.2,3.4,1.6,0.9,2.8,2.5,0.337,5.5,0.457,0.763,2004-05
227,James Jones,SF,26,PHO,76,7,18.1,2.1,5.8,0.368,1.2,3.1,0.378,0.9,2.7,0.356,0.47,0.9,1.1,0.877,0.4,1.9,2.3,0.6,0.4,0.6,0.4,1.5,6.4,75.0,156,2,2005-06,9.3,3.4,0.8,0.5,0.7,23.6,75.0,7.7,3.2,0.5,1.5,3.8,1.8,0.386,3.9,0.449,0.851,2005-06
228,Jumaine Jones,SF,27,PHO,18,0,7.7,0.8,2.8,0.275,0.6,1.8,0.313,0.2,1.1,0.211,0.373,0.1,0.1,1.0,0.3,0.9,1.3,0.1,0.3,0.1,0.4,1.1,2.2,76.0,355,5,2005-06,10.5,4.9,0.8,0.9,0.3,27.5,76.0,9.7,3.9,1.0,1.5,4.4,2.4,0.343,5.3,0.456,0.727,2005-06
229,Solomon Jones,PF,22,ATL,58,8,11.5,1.1,2.2,0.508,0.0,0.0,0.0,1.1,2.2,0.512,0.508,1.0,1.3,0.787,0.8,1.5,2.3,0.2,0.2,0.7,0.4,2.1,3.3,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
230,Chris Kaman,C,24,LAC,75,66,29.0,3.9,8.7,0.451,0.0,0.0,0.0,3.9,8.7,0.452,0.451,2.2,3.0,0.741,2.1,5.7,7.8,1.1,0.5,1.5,2.0,3.3,10.1,78.0,223,3,2005-06,11.9,9.6,1.0,0.6,1.4,32.8,78.0,9.1,4.7,2.3,0.0,0.0,4.7,0.0,9.0,0.524,0.77,2005-06
231,Jason Kapono,SF,25,MIA,67,35,26.4,4.1,8.4,0.494,1.6,3.1,0.514,2.5,5.3,0.482,0.59,1.0,1.1,0.892,0.4,2.3,2.7,1.2,0.6,0.0,1.0,2.0,10.9,51.0,173,3,2005-06,4.1,1.4,0.7,0.1,0.1,13.0,51.0,3.5,1.5,0.4,0.4,1.0,1.1,0.396,2.4,0.468,0.848,2004-05
232,Viktor Khryapa,PF,24,CHI,33,0,7.0,0.8,2.1,0.386,0.0,0.2,0.0,0.8,1.9,0.422,0.386,0.6,0.8,0.731,0.6,1.1,1.7,0.6,0.3,0.0,0.5,1.6,2.2,69.0,101,1,2005-06,5.8,4.4,1.3,0.7,0.4,21.6,69.0,5.0,2.3,1.2,0.1,0.4,2.1,0.333,4.5,0.474,0.694,2005-06
233,Jason Kidd,PG,33,NJN,80,80,36.7,4.6,11.4,0.406,1.6,4.5,0.343,3.1,6.8,0.448,0.475,2.2,2.9,0.778,1.7,6.5,8.2,9.2,1.6,0.3,2.7,1.8,13.0,80.0,375,5,2005-06,13.3,7.3,8.4,1.9,0.4,37.2,80.0,11.3,4.6,2.4,1.7,4.9,2.8,0.352,6.4,0.445,0.795,2002-03
234,Tarence Kinsey,SG,22,MEM,48,12,20.1,2.9,6.3,0.457,0.3,1.0,0.283,2.6,5.4,0.488,0.479,1.6,2.0,0.796,0.6,1.4,2.0,0.9,1.1,0.0,1.0,1.2,7.7,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
235,Andrei Kirilenko,SF,25,UTA,70,70,29.3,2.8,6.0,0.471,0.2,1.1,0.213,2.6,4.9,0.528,0.49,2.5,3.4,0.728,1.3,3.4,4.7,2.9,1.1,2.1,1.9,2.5,8.3,69.0,350,5,2005-06,15.3,8.0,4.3,1.5,3.2,37.7,69.0,10.6,4.9,2.9,0.5,1.7,4.3,0.308,8.9,0.489,0.699,2003-04
236,Linas Kleiza,PF,22,DEN,79,14,18.8,2.5,6.0,0.422,1.1,2.8,0.376,1.5,3.2,0.462,0.509,1.5,1.7,0.852,1.0,2.4,3.4,0.6,0.4,0.2,1.0,2.5,7.6,61.0,61,1,2005-06,3.5,1.9,0.2,0.2,0.2,8.5,61.0,2.8,1.3,0.3,0.0,0.2,1.2,0.154,2.6,0.469,0.704,2005-06
237,Brevin Knight,PG,31,CHA,45,25,28.3,3.4,8.1,0.419,0.0,0.4,0.056,3.4,7.7,0.438,0.42,2.3,2.8,0.805,0.3,2.2,2.6,6.6,1.5,0.1,2.1,2.5,9.1,69.0,299,5,2005-06,12.6,3.2,8.8,2.3,0.1,34.1,69.0,11.2,4.5,2.4,0.0,0.2,4.4,0.231,11.0,0.402,0.803,2005-06
238,Yaroslav Korolev,SF,19,LAC,10,0,4.1,0.4,1.6,0.25,0.1,0.5,0.2,0.3,1.1,0.273,0.281,0.3,0.6,0.5,0.1,0.2,0.3,0.4,0.3,0.0,0.1,0.0,1.2,24.0,24,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
239,Kyle Korver,SF,25,PHI,74,1,30.9,5.0,11.4,0.44,1.8,4.1,0.43,3.2,7.3,0.446,0.518,2.6,2.8,0.914,0.4,3.1,3.5,1.4,0.8,0.3,1.6,2.5,14.4,82.0,238,3,2005-06,11.5,3.3,2.0,0.8,0.3,31.3,82.0,9.3,4.0,1.2,2.2,5.3,1.7,0.42,3.9,0.443,0.849,2005-06
240,Nenad Krstić,C,23,NJN,26,26,32.6,6.5,12.4,0.526,0.0,0.0,0.0,6.5,12.4,0.528,0.526,3.3,4.7,0.711,2.0,4.8,6.8,1.8,0.4,0.9,2.0,3.4,16.4,80.0,155,2,2005-06,13.5,6.4,1.1,0.4,0.8,30.9,80.0,11.0,5.6,1.7,0.0,0.1,5.6,0.25,11.0,0.509,0.698,2005-06
241,Raef LaFrentz,PF,30,POR,27,9,13.0,1.4,3.8,0.382,0.1,0.9,0.087,1.4,2.9,0.468,0.392,0.7,1.0,0.769,0.9,1.7,2.6,0.3,0.3,0.4,0.5,2.1,3.7,82.0,326,4,2005-06,7.8,5.0,1.4,0.4,0.9,24.8,82.0,6.7,2.9,0.8,1.4,3.5,1.5,0.392,3.2,0.474,0.68,2001-02
242,James Lang,C,23,WAS,11,0,5.0,0.4,0.8,0.444,0.0,0.0,,0.4,0.8,0.444,0.444,0.3,0.5,0.6,0.5,0.5,1.0,0.2,0.0,0.3,0.2,1.3,1.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
243,David Lee,PF,23,NYK,58,12,29.8,4.1,6.9,0.6,0.0,0.0,,4.1,6.9,0.6,0.6,2.4,3.0,0.815,3.4,7.0,10.4,1.8,0.8,0.4,1.6,2.7,10.7,67.0,67,1,2005-06,5.1,4.5,0.6,0.4,0.3,16.9,67.0,3.4,2.0,0.8,0.0,0.0,2.0,,3.4,0.596,0.577,2005-06
244,Rashard Lewis,SF,27,SEA,60,60,39.1,7.7,16.8,0.461,2.5,6.5,0.39,5.2,10.3,0.505,0.536,4.4,5.3,0.841,1.5,5.1,6.6,2.4,1.1,0.7,2.0,2.4,22.4,78.0,377,5,2005-06,20.1,5.0,2.3,1.3,0.6,36.9,78.0,14.8,6.9,1.8,1.8,4.7,5.1,0.384,10.0,0.507,0.818,2004-05
245,Randy Livingston,PG,31,SEA,4,0,6.5,0.0,0.8,0.0,0.0,0.0,,0.0,0.8,0.0,0.0,0.0,0.0,,0.3,0.0,0.3,1.0,0.0,0.0,0.3,0.5,0.0,5.0,41,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
246,Shaun Livingston,PG,21,LAC,54,31,29.8,3.9,8.3,0.463,0.1,0.3,0.313,3.8,8.0,0.469,0.469,1.5,2.1,0.707,1.0,2.4,3.4,5.1,1.1,0.5,2.0,2.5,9.3,61.0,91,1,2005-06,5.8,3.0,4.5,0.8,0.5,25.0,61.0,5.7,2.4,1.8,0.0,0.1,2.4,0.125,5.6,0.434,0.688,2005-06
247,Kyle Lowry,PG,20,MEM,10,0,17.5,1.4,3.8,0.368,0.3,0.8,0.375,1.1,3.0,0.367,0.408,2.5,2.8,0.893,1.2,1.9,3.1,3.2,1.4,0.1,1.2,2.0,5.6,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
248,John Lucas III,PG,24,HOU,47,0,8.1,1.3,3.3,0.397,0.3,1.3,0.254,1.0,2.1,0.485,0.446,0.3,0.4,0.789,0.2,0.6,0.8,0.7,0.4,0.0,0.3,0.8,3.3,13.0,13,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
249,Tyronn Lue,PG,29,ATL,56,17,26.6,3.9,9.4,0.416,1.0,2.9,0.348,2.9,6.5,0.446,0.469,2.6,2.9,0.883,0.3,1.5,1.9,3.6,0.4,0.0,1.5,1.8,11.4,51.0,343,5,2005-06,11.0,1.6,3.1,0.5,0.1,24.2,51.0,8.2,3.8,1.5,1.1,2.5,2.6,0.457,5.7,0.46,0.855,2004-05
250,Mark Madsen,C,31,MIN,56,0,8.4,0.4,0.8,0.535,0.0,0.0,,0.4,0.8,0.535,0.535,0.3,0.5,0.517,0.6,0.9,1.6,0.2,0.2,0.2,0.4,1.8,1.1,62.0,288,5,2005-06,1.2,2.3,0.2,0.4,0.3,10.9,62.0,1.1,0.4,0.4,0.0,0.1,0.4,0.0,1.0,0.458,0.426,2003-04
251,Corey Maggette,SF,27,LAC,75,31,30.5,4.9,10.8,0.454,0.2,0.9,0.2,4.7,9.9,0.476,0.462,6.9,8.4,0.82,1.2,4.7,5.9,2.8,0.9,0.2,2.7,3.3,16.9,32.0,298,4,2004-05,22.2,6.0,3.4,1.1,0.1,36.9,66.0,14.9,6.4,3.0,0.8,2.5,5.7,0.304,12.4,0.457,0.857,2004-05
252,Jamaal Magloire,C,28,POR,81,23,21.0,2.5,4.9,0.504,0.0,0.0,,2.5,4.9,0.504,0.504,1.6,3.0,0.541,1.9,4.2,6.1,0.4,0.3,0.8,1.6,2.8,6.5,82.0,351,4,2005-06,9.2,9.5,0.7,0.4,1.0,30.1,82.0,7.5,3.5,2.0,0.0,0.0,3.5,,7.5,0.467,0.535,2003-04
253,Renaldo Major,PF,24,GSW,1,0,27.0,2.0,10.0,0.2,0.0,0.0,,2.0,10.0,0.2,0.2,1.0,2.0,0.5,0.0,2.0,2.0,0.0,2.0,0.0,1.0,4.0,5.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
254,Stephon Marbury,PG,29,NYK,74,74,37.1,5.3,12.9,0.415,1.7,4.7,0.357,3.7,8.2,0.448,0.48,4.0,5.2,0.769,0.5,2.4,2.9,5.4,1.0,0.1,2.4,2.5,16.4,60.0,386,5,2005-06,16.3,2.9,6.4,1.1,0.1,36.6,60.0,12.9,5.8,2.6,0.6,1.7,5.3,0.317,11.2,0.472,0.755,2002-03
255,Shawn Marion,SF,28,PHO,80,80,37.6,7.0,13.4,0.524,1.0,3.2,0.317,6.0,10.2,0.587,0.561,2.5,3.1,0.81,2.2,7.7,9.8,1.7,2.0,1.5,1.4,2.7,17.5,81.0,403,5,2005-06,21.8,11.8,1.8,2.0,1.7,40.3,81.0,16.9,8.8,1.5,1.2,3.6,7.7,0.331,13.3,0.577,0.809,2005-06
256,Damir Markota,PF,21,MIL,30,0,5.7,0.6,1.7,0.365,0.2,0.5,0.375,0.4,1.2,0.361,0.423,0.2,0.4,0.636,0.4,0.7,1.0,0.2,0.1,0.0,0.5,0.7,1.7,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
257,Sean Marks,PF,31,PHO,3,0,5.7,0.7,2.0,0.333,0.0,0.3,0.0,0.7,1.7,0.4,0.333,0.7,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.3,0.0,1.3,2.0,25.0,92,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
258,Donyell Marshall,PF,33,CLE,81,0,16.8,2.6,6.1,0.424,1.2,3.3,0.351,1.4,2.7,0.514,0.52,0.7,1.0,0.663,1.1,2.9,4.0,0.6,0.5,0.5,0.8,1.6,7.0,81.0,364,5,2005-06,9.3,6.1,0.7,0.7,0.5,25.6,81.0,8.3,3.3,1.1,1.6,4.9,1.7,0.324,3.4,0.496,0.748,2001-02
259,Rawle Marshall,SG,24,IND,40,2,9.0,0.8,2.2,0.36,0.1,0.5,0.222,0.7,1.8,0.394,0.382,0.8,1.1,0.689,0.2,0.5,0.7,0.3,0.3,0.1,0.5,0.6,2.5,23.0,23,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
260,Darrick Martin,PG,35,TOR,31,0,7.1,1.1,3.0,0.351,0.4,1.2,0.351,0.6,1.8,0.351,0.42,0.5,0.7,0.714,0.1,0.3,0.4,1.4,0.1,0.0,0.4,0.7,3.0,40.0,70,1,2005-06,2.6,0.5,1.4,0.4,0.0,8.5,40.0,2.4,0.9,0.4,0.4,1.0,0.5,0.4,1.4,0.316,0.75,2005-06
261,Kenyon Martin,PF,29,DEN,2,2,31.5,4.0,8.0,0.5,0.0,0.5,0.0,4.0,7.5,0.533,0.5,1.5,6.0,0.25,3.0,7.0,10.0,0.5,0.0,0.0,2.5,5.0,9.5,56.0,341,5,2005-06,12.9,6.3,1.4,0.8,0.9,27.6,56.0,10.7,5.3,1.3,0.1,0.4,5.2,0.227,10.3,0.505,0.712,2003-04
262,Kevin Martin,SG,23,SAC,80,80,35.2,6.3,13.3,0.473,1.6,4.2,0.381,4.7,9.2,0.515,0.533,6.0,7.1,0.844,0.9,3.4,4.3,2.2,1.2,0.1,1.7,2.3,20.2,72.0,117,2,2005-06,10.8,3.6,1.3,0.8,0.1,26.6,72.0,7.6,3.6,1.1,0.9,2.5,2.7,0.369,5.1,0.534,0.847,2005-06
263,Desmond Mason,SF,29,NOK,75,75,34.3,5.4,12.0,0.452,0.0,0.0,,5.4,12.0,0.452,0.452,2.9,4.3,0.663,1.7,2.9,4.6,1.5,0.7,0.3,2.6,2.3,13.7,70.0,387,5,2005-06,10.8,4.3,0.9,0.6,0.2,30.0,70.0,9.9,3.9,1.6,0.0,0.1,3.9,0.167,9.8,0.401,0.682,2004-05
264,Roger Mason,SG,26,WAS,62,0,7.9,1.0,2.9,0.33,0.5,1.6,0.324,0.4,1.2,0.338,0.422,0.2,0.3,0.875,0.1,0.6,0.7,0.6,0.2,0.1,0.3,1.1,2.7,0.0,43,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
265,Jason Maxiell,C,23,DET,67,8,14.1,2.0,3.9,0.5,0.0,0.0,,2.0,3.9,0.5,0.5,1.1,2.0,0.526,1.3,1.5,2.8,0.2,0.4,0.9,0.8,1.6,5.0,26.0,26,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
266,Sean May,PF,22,CHA,35,8,23.9,4.7,9.4,0.5,0.1,0.1,0.667,4.6,9.3,0.498,0.503,2.5,3.2,0.768,2.1,4.6,6.7,1.9,0.5,0.7,1.6,2.9,11.9,23.0,23,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
267,Rashad McCants,SG,22,MIN,37,0,15.0,1.7,4.8,0.35,0.5,2.0,0.267,1.1,2.8,0.412,0.407,1.1,1.6,0.69,0.4,0.9,1.3,1.0,0.7,0.2,1.1,1.9,5.0,79.0,79,1,2005-06,7.9,1.8,0.8,0.6,0.3,17.2,79.0,6.8,3.1,1.1,0.8,2.3,2.2,0.372,4.5,0.49,0.736,2005-06
268,Chris McCray,SG,22,MIL,5,0,2.4,0.0,0.6,0.0,0.0,0.0,,0.0,0.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
269,Antonio McDyess,PF,32,DET,82,3,21.1,3.5,6.6,0.526,0.0,0.0,,3.5,6.6,0.526,0.526,1.2,1.7,0.691,2.0,4.0,6.0,0.9,0.7,0.8,0.9,2.9,8.1,82.0,211,3,2005-06,7.8,5.3,1.1,0.6,0.6,21.1,82.0,6.8,3.5,0.9,0.0,0.0,3.5,0.0,6.8,0.511,0.557,2004-05
270,Ivan McFarlin,PF,24,PHI,11,0,3.7,0.5,1.2,0.385,0.0,0.1,0.0,0.5,1.1,0.417,0.385,0.5,0.6,0.714,0.6,0.4,1.0,0.1,0.0,0.0,0.1,0.7,1.4,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
271,Tracy McGrady,SG,27,HOU,71,71,35.8,9.0,20.8,0.431,1.8,5.4,0.331,7.2,15.5,0.466,0.474,4.9,6.9,0.707,0.8,4.5,5.3,6.5,1.3,0.5,3.0,1.9,24.6,47.0,343,5,2005-06,24.4,6.5,4.8,1.3,0.9,37.1,47.0,21.5,8.7,2.6,1.6,5.0,7.2,0.312,16.5,0.434,0.747,2002-03
272,Jeff McInnis,PG,32,CHA,38,3,18.5,1.9,4.8,0.392,0.0,0.2,0.125,1.8,4.6,0.405,0.395,0.6,0.8,0.688,0.4,1.3,1.6,3.3,0.4,0.0,1.1,1.9,4.3,28.0,330,4,2004-05,12.8,2.1,5.1,0.7,0.0,34.9,76.0,12.0,5.0,1.5,1.2,3.5,3.8,0.345,8.6,0.439,0.813,2001-02
273,Aaron McKie,SF,34,LAL,10,0,13.1,1.1,1.7,0.647,0.0,0.0,,1.1,1.7,0.647,0.647,0.0,0.0,,0.1,1.7,1.8,1.3,0.4,0.0,0.8,1.4,2.2,14.0,285,4,2004-05,2.2,2.5,1.5,0.7,0.3,16.4,68.0,2.1,0.9,0.5,0.3,0.9,0.6,0.323,1.2,0.513,0.625,2001-02
274,Keith McLeod,PG,27,TOT,48,9,15.0,1.5,3.9,0.388,0.3,0.9,0.356,1.2,3.0,0.399,0.431,1.4,1.6,0.885,0.1,0.8,0.9,1.9,0.5,0.1,1.0,1.1,4.8,66.0,152,2,2005-06,5.6,1.2,2.3,0.6,0.1,18.7,66.0,5.2,1.8,1.2,0.4,1.2,1.5,0.293,3.9,0.372,0.797,2004-05
274,Keith McLeod,PG,27,GSW,26,2,14.6,1.6,4.0,0.39,0.3,0.9,0.391,1.2,3.2,0.39,0.433,1.8,2.0,0.887,0.1,0.7,0.8,1.7,0.7,0.1,0.9,0.8,5.3,66.0,152,2,2005-06,5.6,1.2,2.3,0.6,0.1,18.7,66.0,5.2,1.8,1.2,0.4,1.2,1.5,0.293,3.9,0.372,0.797,2004-05
274,Keith McLeod,PG,27,IND,22,7,15.4,1.5,3.8,0.386,0.3,1.0,0.318,1.1,2.8,0.41,0.428,1.0,1.1,0.88,0.0,1.0,1.0,2.0,0.3,0.1,1.0,1.4,4.2,66.0,152,2,2005-06,5.6,1.2,2.3,0.6,0.1,18.7,66.0,5.2,1.8,1.2,0.4,1.2,1.5,0.293,3.9,0.372,0.797,2004-05
275,Stanislav Medvedenko,C,27,ATL,14,0,5.8,0.9,2.1,0.414,0.1,0.1,0.5,0.8,1.9,0.407,0.431,1.2,1.4,0.85,0.3,0.7,1.0,0.1,0.0,0.1,0.4,1.1,3.0,2.0,242,4,2004-05,3.8,1.8,0.3,0.2,0.0,9.8,43.0,3.6,1.7,0.3,0.0,0.0,1.7,0.0,3.6,0.458,0.821,2003-04
276,Pops Mensah-Bonsu,PF,23,DAL,12,0,5.9,0.9,1.4,0.647,0.0,0.0,,0.9,1.4,0.647,0.647,0.6,1.5,0.389,0.8,1.0,1.8,0.0,0.1,0.0,0.8,0.7,2.4,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
