Seed,Team,Record,Previous Seed,Seed Difference
1,Phoenix Suns,64-18,2.0,1.0
2,Memphis Grizzlies,56-26,15.0,13.0
3,Golden State Warriors,53-29,14.0,11.0
4,Miami Heat,53-29,13.0,9.0
5,Dallas Mavericks,52-30,8.0,3.0
6,Boston Celtics,51-31,16.0,10.0
7,Milwaukee Bucks,51-31,7.0,0.0
8,Philadelphia 76ers,51-31,3.0,-5.0
9,Utah Jazz,49-33,1.0,-8.0
10,Denver Nuggets,48-34,5.0,-5.0
11,Toronto Raptors,48-34,24.0,13.0
12,Chicago Bulls,46-36,21.0,9.0
13,Minnesota Timberwolves,46-36,25.0,12.0
14,Brooklyn Nets,44-38,4.0,-10.0
15,Cleveland Cavaliers,44-38,26.0,11.0
16,Atlanta Hawks,43-39,11.0,-5.0
17,Charlotte Hornets,43-39,19.0,2.0
18,Los Angeles Clippers,42-40,6.0,-12.0
19,New York Knicks,37-45,12.0,-7.0
20,New Orleans Pelicans,36-46,22.0,2.0
21,Washington Wizards,35-47,17.0,-4.0
22,San Antonio Spurs,34-48,20.0,-2.0
23,Los Angeles Lakers,33-49,9.0,-14.0
24,Sacramento Kings,30-52,23.0,-1.0
25,Portland Trail Blazers,27-55,10.0,-15.0
26,Indiana Pacers,25-57,18.0,-8.0
27,Oklahoma City Thunder,24-58,27.0,0.0
28,Detroit Pistons,23-59,29.0,1.0
29,Orlando Magic,22-60,28.0,-1.0
30,Houston Rockets,20-62,30.0,0.0
