Seed,Team,Record,Previous Seed
1,Golden State Warriors,67-15,1.0
2,San Antonio Spurs,61-21,2.0
3,Houston Rockets,55-27,17.0
4,Boston Celtics,53-29,8.0
5,Cleveland Cavaliers,51-31,3.0
6,Los Angeles Clippers,51-31,6.0
7,Toronto Raptors,51-31,4.0
8,Utah Jazz,51-31,19.0
9,Washington Wizards,49-33,18.0
10,Oklahoma City Thunder,47-35,5.0
11,Atlanta Hawks,43-39,7.0
12,Memphis Grizzlies,43-39,15.0
13,Indiana Pacers,42-40,11.0
14,Milwaukee Bucks,42-40,22.0
15,Chicago Bulls,41-41,16.0
16,Portland Trail Blazers,41-41,13.0
17,Miami Heat,41-41,10.0
18,Denver Nuggets,40-42,21.0
19,Detroit Pistons,37-45,12.0
20,Charlotte Hornets,36-46,9.0
21,New Orleans Pelicans,34-48,25.0
22,Dallas Mavericks,33-49,14.0
23,Sacramento Kings,32-50,23.0
24,Minnesota Timberwolves,31-51,26.0
25,New York Knicks,31-51,24.0
26,Orlando Magic,29-53,20.0
27,Philadelphia 76ers,28-54,30.0
28,Los Angeles Lakers,26-56,29.0
29,Phoenix Suns,24-58,27.0
30,Brooklyn Nets,20-62,28.0
