Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%,Best Season
312,Xavier Tillman Sr.,25,BOS,PF,20,2,13.7,1.7,3.3,0.515,0.4,1.4,0.286,1.3,1.9,0.684,0.576,0.2,0.4,0.571,0.7,2.0,2.7,1.0,0.5,0.5,0.3,0.8,4.0,61.0,173,3,2022-23,7.0,5.0,1.6,1.0,0.5,19.3,61.0,5.0,3.1,0.7,0.1,0.2,3.0,0.267,4.8,0.632,0.551,2022-23
313,Doug McDermott,32,2TM,SF,64,0,14.1,1.9,4.4,0.433,1.5,3.6,0.41,0.5,0.9,0.527,0.599,0.2,0.3,0.579,0.2,0.8,0.9,1.1,0.3,0.0,0.4,1.0,5.5,64.0,591,9,2022-23,10.2,2.2,1.4,0.2,0.1,20.5,64.0,8.2,3.7,0.9,1.9,4.7,1.8,0.413,3.5,0.516,0.757,2020-21
313,Doug McDermott,32,SAS,SF,46,0,15.2,2.1,4.7,0.442,1.7,3.8,0.439,0.4,0.9,0.452,0.619,0.2,0.4,0.588,0.2,0.9,1.0,1.2,0.2,0.0,0.5,1.0,6.0,64.0,591,9,2022-23,10.2,2.2,1.4,0.2,0.1,20.5,64.0,8.2,3.7,0.9,1.9,4.7,1.8,0.413,3.5,0.516,0.757,2020-21
313,Doug McDermott,32,IND,SF,18,0,11.3,1.6,3.8,0.406,1.0,3.1,0.321,0.6,0.7,0.769,0.536,0.1,0.1,0.5,0.1,0.5,0.6,0.7,0.3,0.0,0.2,0.9,4.2,64.0,591,9,2022-23,10.2,2.2,1.4,0.2,0.1,20.5,64.0,8.2,3.7,0.9,1.9,4.7,1.8,0.413,3.5,0.516,0.757,2020-21
314,Nick Smith Jr.,19,CHO,SG,51,0,14.3,2.2,5.7,0.391,1.2,2.9,0.432,1.0,2.8,0.35,0.5,0.3,0.3,0.867,0.4,1.1,1.4,1.2,0.2,0.1,0.8,1.1,5.9,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
315,Justin Champagnie,22,WAS,SF,15,1,15.7,2.1,5.2,0.41,0.9,3.0,0.289,1.3,2.2,0.576,0.494,0.8,1.0,0.8,1.3,2.3,3.5,1.3,0.7,0.6,0.7,0.9,5.9,5.0,41,1,2021-22,2.3,2.0,0.3,0.2,0.1,7.8,36.0,1.9,0.9,0.2,0.3,0.8,0.6,0.357,1.1,0.538,1.0,2021-22
316,Patty Mills,35,2TM,PG,32,5,13.0,1.4,4.1,0.351,0.8,2.7,0.276,0.7,1.4,0.5,0.443,0.3,0.3,1.0,0.3,0.8,1.1,1.1,0.6,0.0,0.5,1.0,4.0,40.0,860,12,2022-23,6.2,1.1,1.4,0.4,0.1,14.2,40.0,5.2,2.2,0.8,1.2,3.4,0.9,0.366,1.9,0.493,0.833,2019-20
316,Patty Mills,35,ATL,PG,19,0,10.6,1.0,2.7,0.373,0.7,1.8,0.382,0.3,0.9,0.353,0.5,0.0,0.0,,0.3,0.8,1.1,0.7,0.5,0.1,0.4,0.9,2.7,40.0,860,12,2022-23,6.2,1.1,1.4,0.4,0.1,14.2,40.0,5.2,2.2,0.8,1.2,3.4,0.9,0.366,1.9,0.493,0.833,2019-20
316,Patty Mills,35,MIA,PG,13,5,16.4,2.1,6.2,0.338,0.8,4.1,0.208,1.2,2.1,0.593,0.406,0.8,0.8,1.0,0.3,0.8,1.2,1.5,0.8,0.0,0.6,1.2,5.8,40.0,860,12,2022-23,6.2,1.1,1.4,0.4,0.1,14.2,40.0,5.2,2.2,0.8,1.2,3.4,0.9,0.366,1.9,0.493,0.833,2019-20
317,Noah Clowney,19,BRK,PF,23,4,16.1,2.2,4.0,0.538,0.5,1.4,0.364,1.7,2.6,0.633,0.602,0.9,1.3,0.7,1.1,2.4,3.5,0.8,0.3,0.7,0.7,1.1,5.8,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
318,Dyson Daniels,20,NOP,PG,61,16,22.3,2.3,5.1,0.447,0.7,2.2,0.311,1.6,2.9,0.551,0.514,0.6,0.9,0.642,1.0,2.9,3.9,2.7,1.4,0.4,1.0,1.7,5.8,59.0,59,1,2022-23,3.8,3.2,2.3,0.7,0.2,17.7,59.0,3.5,1.5,1.0,0.5,1.5,1.0,0.314,2.1,0.492,0.65,2022-23
319,Torrey Craig,33,CHI,SF,53,14,19.8,2.0,4.7,0.43,1.1,2.9,0.392,0.9,1.8,0.49,0.55,0.5,0.7,0.75,1.3,2.8,4.1,1.1,0.6,0.4,0.6,2.1,5.7,79.0,379,6,2022-23,7.4,5.4,1.5,0.6,0.8,24.7,79.0,6.3,2.9,0.9,1.3,3.2,1.6,0.395,3.1,0.518,0.711,2022-23
320,Thomas Bryant,26,MIA,C,38,4,11.6,2.3,3.9,0.577,0.1,0.6,0.182,2.2,3.3,0.646,0.591,1.1,1.2,0.872,1.1,2.7,3.7,0.6,0.3,0.4,0.6,1.2,5.7,59.0,229,3,2022-23,9.8,5.7,0.5,0.3,0.5,18.3,59.0,6.3,3.9,0.6,0.4,1.0,3.5,0.441,5.3,0.658,0.738,2019-20
321,Larry Nance Jr.,31,NOP,C,61,0,19.9,2.3,4.0,0.573,0.4,1.1,0.415,1.8,2.9,0.631,0.629,0.8,1.0,0.77,1.5,3.5,5.0,1.9,1.0,0.3,0.8,1.6,5.7,65.0,461,7,2022-23,6.8,5.4,1.8,0.9,0.6,21.2,65.0,4.7,2.9,0.6,0.2,0.6,2.6,0.333,4.0,0.654,0.696,2019-20
322,Craig Porter Jr.,23,CLE,PG,51,6,12.7,2.3,4.5,0.509,0.2,0.7,0.353,2.0,3.8,0.536,0.535,0.8,1.1,0.732,0.4,1.7,2.1,2.3,0.4,0.3,0.9,0.8,5.6,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
323,Pat Connaughton,31,MIL,SF,76,3,22.1,2.0,4.6,0.435,1.1,3.1,0.345,0.9,1.4,0.633,0.553,0.6,0.8,0.759,0.7,2.5,3.1,2.1,0.5,0.3,0.6,1.3,5.6,61.0,478,7,2022-23,7.6,4.6,1.3,0.6,0.2,23.7,61.0,6.9,2.7,0.5,1.8,5.3,0.9,0.339,1.6,0.566,0.659,2021-22
324,Mitchell Robinson,25,NYK,C,31,21,24.8,2.4,4.1,0.575,0.0,0.0,,2.4,4.1,0.575,0.575,0.9,2.1,0.409,4.6,3.9,8.5,0.6,1.2,1.1,0.8,1.8,5.6,59.0,289,4,2022-23,7.4,9.4,0.9,0.9,1.8,27.0,59.0,4.7,3.2,0.7,0.0,0.0,3.2,,4.7,0.671,0.484,2019-20
325,Neemias Queta,24,BOS,C,28,0,11.9,2.4,3.7,0.644,0.0,0.0,,2.4,3.7,0.644,0.644,0.7,1.0,0.714,1.9,2.5,4.4,0.7,0.5,0.8,0.5,1.8,5.5,5.0,19,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
326,Dexter Dennis,24,DAL,SG,4,0,7.5,2.5,4.8,0.526,0.3,2.0,0.125,2.3,2.8,0.818,0.553,0.3,0.8,0.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
327,Alex Fudge,20,2TM,SF,6,0,6.7,1.0,2.5,0.4,0.2,0.8,0.2,0.8,1.7,0.5,0.433,0.3,0.3,1.0,0.7,0.2,0.8,0.0,0.5,0.0,0.3,0.3,2.5,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
327,Alex Fudge,20,LAL,SF,4,0,3.5,0.3,1.5,0.167,0.0,0.5,0.0,0.3,1.0,0.25,0.167,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
327,Alex Fudge,20,DAL,SF,2,0,13.0,2.5,4.5,0.556,0.5,1.5,0.333,2.0,3.0,0.667,0.611,0.0,0.0,,1.0,0.5,1.5,0.0,1.5,0.0,0.5,0.5,5.5,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
328,Gary Payton II,31,GSW,SG,44,0,15.5,2.3,4.2,0.563,0.5,1.3,0.364,1.9,2.9,0.648,0.617,0.3,0.5,0.609,1.0,1.5,2.6,1.1,0.9,0.4,0.6,1.8,5.5,22.0,164,1,2021-22,7.1,3.5,0.9,1.4,0.3,17.6,71.0,4.8,3.0,0.6,0.6,1.7,2.4,0.358,3.2,0.754,0.603,2021-22
329,Nicolas Batum,35,2TM,PF,60,38,25.5,1.9,4.3,0.453,1.2,3.1,0.395,0.7,1.2,0.606,0.596,0.3,0.4,0.714,1.2,3.0,4.1,2.1,0.8,0.6,0.7,1.8,5.3,78.0,993,14,2022-23,6.1,3.8,1.6,0.7,0.6,21.9,78.0,4.9,2.1,0.6,1.6,4.1,0.5,0.391,0.8,0.563,0.708,2016-17
329,Nicolas Batum,35,LAC,PF,3,0,18.0,1.0,2.7,0.375,0.7,2.3,0.286,0.3,0.3,1.0,0.5,0.0,0.0,,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7,78.0,993,14,2022-23,6.1,3.8,1.6,0.7,0.6,21.9,78.0,4.9,2.1,0.6,1.6,4.1,0.5,0.391,0.8,0.563,0.708,2016-17
329,Nicolas Batum,35,PHI,PF,57,38,25.9,2.0,4.4,0.456,1.2,3.1,0.399,0.7,1.2,0.6,0.599,0.3,0.4,0.714,1.2,3.0,4.2,2.2,0.8,0.6,0.7,1.8,5.5,78.0,993,14,2022-23,6.1,3.8,1.6,0.7,0.6,21.9,78.0,4.9,2.1,0.6,1.6,4.1,0.5,0.391,0.8,0.563,0.708,2016-17
330,Dean Wade,27,CLE,PF,54,32,20.5,1.8,4.3,0.414,1.5,3.7,0.391,0.3,0.6,0.567,0.584,0.4,0.5,0.769,0.7,3.4,4.0,0.8,0.7,0.5,0.4,1.7,5.4,44.0,170,3,2022-23,4.7,3.4,0.8,0.6,0.5,20.3,44.0,4.0,1.7,0.4,1.0,2.9,0.6,0.354,1.1,0.56,0.652,2020-21
331,Cam Reddish,24,LAL,SF,48,26,20.5,1.9,4.9,0.389,0.8,2.3,0.336,1.1,2.6,0.435,0.468,0.9,1.1,0.759,0.6,1.5,2.1,1.0,1.0,0.3,0.6,1.3,5.4,40.0,173,3,2022-23,9.7,2.2,1.4,1.0,0.4,24.8,40.0,7.8,3.5,1.2,1.1,3.6,2.4,0.313,4.2,0.56,0.853,2019-20
