Rk,Player,Age,Tm,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%,Best Season
348,Monte Morris,28,MIN,PG,27,0,15.1,1.9,4.4,0.417,0.9,2.2,0.424,0.9,2.3,0.41,0.521,0.4,0.6,0.706,0.2,1.5,1.7,2.3,0.7,0.3,0.2,0.5,5.1,62.0,342,5,2022-23,10.3,3.4,5.3,0.7,0.2,27.3,62.0,8.3,4.0,1.0,1.3,3.3,2.7,0.382,5.0,0.543,0.831,2021-22
349,Drew Eubanks,26,PHO,C,75,6,15.6,2.0,3.4,0.601,0.0,0.0,1.0,2.0,3.3,0.596,0.607,1.0,1.2,0.774,1.4,2.9,4.3,0.8,0.4,0.8,0.8,1.5,5.1,78.0,248,3,2022-23,6.6,5.4,1.3,0.5,1.3,20.3,78.0,4.3,2.7,0.9,0.1,0.2,2.7,0.389,4.1,0.655,0.664,2021-22
350,Jevon Carter,28,CHI,PG,72,0,13.9,1.9,5.1,0.378,1.1,3.3,0.329,0.8,1.8,0.466,0.484,0.1,0.1,0.571,0.2,0.7,0.8,1.3,0.5,0.2,0.5,1.0,5.0,81.0,304,5,2022-23,8.0,2.5,2.4,0.8,0.4,22.3,81.0,7.0,3.0,1.0,1.8,4.2,1.2,0.421,2.8,0.425,0.816,2022-23
351,Isaiah Livers,25,DET,PF,23,6,20.4,1.7,5.0,0.345,1.0,3.3,0.286,0.8,1.7,0.462,0.44,0.5,0.8,0.667,0.7,1.4,2.1,1.1,0.6,0.2,0.7,1.9,5.0,52.0,71,1,2022-23,6.7,2.8,0.8,0.5,0.5,23.1,52.0,5.5,2.3,0.6,1.4,3.9,0.9,0.365,1.6,0.541,0.821,2022-23
352,KJ Martin,23,2TM,SF,60,2,12.4,1.6,3.0,0.536,0.1,0.5,0.286,1.5,2.6,0.582,0.558,0.4,0.7,0.537,0.7,1.5,2.2,0.9,0.4,0.2,0.5,1.7,3.7,82.0,82,1,2022-23,12.7,5.5,1.5,0.5,0.4,28.0,82.0,8.8,5.0,1.1,0.8,2.6,4.2,0.315,6.1,0.679,0.68,2022-23
352,KJ Martin,23,LAC,SF,2,0,15.5,2.0,5.0,0.4,0.5,2.5,0.2,1.5,2.5,0.6,0.45,0.5,1.0,0.5,0.5,1.0,1.5,0.5,1.0,0.5,1.0,1.5,5.0,82.0,82,1,2022-23,12.7,5.5,1.5,0.5,0.4,28.0,82.0,8.8,5.0,1.1,0.8,2.6,4.2,0.315,6.1,0.679,0.68,2022-23
352,KJ Martin,23,PHI,SF,58,2,12.3,1.6,2.9,0.544,0.1,0.4,0.304,1.5,2.6,0.581,0.564,0.4,0.7,0.538,0.7,1.5,2.2,0.9,0.3,0.2,0.5,1.7,3.7,82.0,82,1,2022-23,12.7,5.5,1.5,0.5,0.4,28.0,82.0,8.8,5.0,1.1,0.8,2.6,4.2,0.315,6.1,0.679,0.68,2022-23
353,Jalen Wilson,23,BRK,PF,43,3,15.4,1.8,4.2,0.425,0.6,1.7,0.324,1.2,2.4,0.495,0.492,0.9,1.1,0.826,1.1,2.0,3.0,1.0,0.3,0.1,0.4,1.1,5.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
354,Goga Bitadze,24,ORL,C,62,33,15.4,2.0,3.4,0.603,0.0,0.2,0.143,2.0,3.1,0.636,0.608,0.9,1.4,0.655,1.8,2.9,4.6,1.3,0.5,1.2,0.7,1.7,5.0,38.0,187,4,2022-23,4.4,3.6,1.0,0.4,0.7,12.0,38.0,3.3,1.8,0.6,0.2,0.7,1.7,0.231,2.6,0.636,0.548,2021-22
355,D.J. Wilson,27,PHI,PF,2,0,7.5,2.0,3.0,0.667,1.0,1.0,1.0,1.0,2.0,0.5,0.833,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,1.0,0.0,0.5,5.0,0.0,146,2,2020-21,5.2,3.2,0.7,0.3,0.5,12.4,35.0,4.8,1.9,0.6,0.9,2.5,1.1,0.345,2.3,0.469,0.68,2018-19
356,Devonte' Graham,28,SAS,PG,23,0,13.6,1.7,4.7,0.352,1.1,3.6,0.301,0.6,1.1,0.52,0.468,0.6,0.7,0.813,0.2,1.3,1.6,2.1,0.4,0.1,0.7,0.6,5.0,73.0,313,5,2022-23,7.4,1.7,2.7,0.6,0.2,18.3,73.0,5.9,2.2,0.7,1.6,4.6,0.6,0.352,1.3,0.452,0.748,2019-20
357,Kobi Simmons,26,TOR,PG,4,0,16.8,2.3,5.3,0.429,0.5,2.0,0.25,1.8,3.3,0.538,0.476,0.0,0.0,,0.3,1.5,1.8,3.0,1.5,0.5,0.3,1.3,5.0,5.0,38,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
358,Thaddeus Young,35,2TM,PF,33,6,13.3,2.0,3.3,0.602,0.0,0.2,0.143,1.9,3.1,0.634,0.606,0.2,0.5,0.4,1.4,1.7,3.1,1.7,0.7,0.2,0.5,1.5,4.2,54.0,1139,16,2022-23,4.4,3.1,1.4,1.0,0.1,14.7,54.0,3.7,2.0,0.8,0.1,0.6,1.9,0.176,3.0,0.622,0.692,2013-14
358,Thaddeus Young,35,TOR,PF,23,6,15.2,2.3,3.8,0.621,0.0,0.3,0.167,2.3,3.5,0.654,0.626,0.2,0.5,0.417,1.3,2.0,3.3,2.2,0.8,0.1,0.5,1.7,5.0,54.0,1139,16,2022-23,4.4,3.1,1.4,1.0,0.1,14.7,54.0,3.7,2.0,0.8,0.1,0.6,1.9,0.176,3.0,0.622,0.692,2013-14
358,Thaddeus Young,35,PHO,PF,10,0,8.9,1.1,2.1,0.524,0.0,0.1,0.0,1.1,2.0,0.55,0.524,0.1,0.3,0.333,1.7,1.1,2.8,0.7,0.5,0.2,0.4,1.1,2.3,54.0,1139,16,2022-23,4.4,3.1,1.4,1.0,0.1,14.7,54.0,3.7,2.0,0.8,0.1,0.6,1.9,0.176,3.0,0.622,0.692,2013-14
359,Garrison Mathews,27,ATL,SG,66,5,15.0,1.6,3.4,0.456,1.3,2.9,0.44,0.3,0.5,0.545,0.644,0.5,0.6,0.81,0.3,1.1,1.4,0.6,0.3,0.1,0.3,1.7,4.9,54.0,201,3,2022-23,4.8,1.4,0.5,0.4,0.1,12.7,54.0,3.7,1.4,0.4,1.2,3.3,0.2,0.35,0.4,0.476,0.906,2021-22
360,Jared Rhoden,24,DET,SG,17,0,14.4,1.9,3.9,0.5,0.7,1.8,0.387,1.2,2.1,0.6,0.591,0.3,0.5,0.625,0.2,1.8,1.9,0.8,0.2,0.8,0.4,1.6,4.9,14.0,14,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
361,Jock Landale,28,HOU,C,56,3,13.6,1.9,3.7,0.515,0.2,0.7,0.25,1.7,3.0,0.578,0.539,0.9,1.2,0.8,1.6,1.5,3.1,1.2,0.4,0.6,0.6,1.3,4.9,69.0,123,2,2022-23,6.6,4.1,1.0,0.2,0.4,14.2,69.0,4.9,2.6,0.9,0.3,1.2,2.3,0.25,3.7,0.621,0.752,2022-23
362,Kobe Bufkin,20,ATL,SG,17,0,11.5,2.0,5.4,0.37,0.5,2.4,0.225,1.5,3.1,0.481,0.418,0.2,0.5,0.5,0.4,1.6,1.9,1.6,0.4,0.3,0.6,1.2,4.8,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
363,DeJon Jarreau,26,MEM,SG,9,0,16.7,1.9,5.6,0.34,0.4,1.4,0.308,1.4,4.1,0.351,0.38,0.6,1.2,0.455,0.9,4.0,4.9,2.9,0.7,0.2,1.0,1.6,4.8,0.0,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
364,Eugene Omoruyi,26,WAS,SF,43,0,9.1,1.9,3.9,0.485,0.3,1.1,0.283,1.6,2.8,0.562,0.524,0.7,1.1,0.653,0.8,1.2,2.0,0.8,0.6,0.1,0.5,1.4,4.8,40.0,44,1,2022-23,7.0,2.8,0.7,0.7,0.1,16.1,40.0,5.7,2.5,0.9,0.6,2.2,1.9,0.281,3.5,0.547,0.68,2022-23
365,Dylan Windler,27,3TM,SF,17,0,6.4,0.9,1.8,0.5,0.8,1.6,0.481,0.1,0.2,0.667,0.717,0.0,0.0,,0.2,0.8,0.9,0.6,0.1,0.0,0.1,0.4,2.5,3.0,84,1,2021-22,2.2,1.8,0.7,0.3,0.1,9.2,50.0,2.0,0.7,0.3,0.4,1.4,0.3,0.3,0.6,0.571,0.833,2021-22
365,Dylan Windler,27,NYK,SF,3,0,2.3,0.3,0.7,0.5,0.3,0.7,0.5,0.0,0.0,,0.75,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.0,3.0,84,1,2021-22,2.2,1.8,0.7,0.3,0.1,9.2,50.0,2.0,0.7,0.3,0.4,1.4,0.3,0.3,0.6,0.571,0.833,2021-22
365,Dylan Windler,27,LAL,SF,8,0,3.5,0.5,1.1,0.444,0.5,1.0,0.5,0.0,0.1,0.0,0.667,0.0,0.0,,0.0,0.4,0.4,0.8,0.0,0.0,0.0,0.3,1.5,3.0,84,1,2021-22,2.2,1.8,0.7,0.3,0.1,9.2,50.0,2.0,0.7,0.3,0.4,1.4,0.3,0.3,0.6,0.571,0.833,2021-22
365,Dylan Windler,27,ATL,SF,6,0,12.2,1.7,3.2,0.526,1.3,2.8,0.471,0.3,0.3,1.0,0.737,0.0,0.0,,0.5,1.5,2.0,0.5,0.3,0.0,0.3,0.5,4.7,3.0,84,1,2021-22,2.2,1.8,0.7,0.3,0.1,9.2,50.0,2.0,0.7,0.3,0.4,1.4,0.3,0.3,0.6,0.571,0.833,2021-22
366,Jacob Gilyard,25,2TM,PG,41,14,17.0,1.5,3.7,0.4,1.2,3.1,0.405,0.2,0.6,0.375,0.57,0.0,0.0,1.0,0.2,0.9,1.1,3.3,0.8,0.1,0.7,1.0,4.2,1.0,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
366,Jacob Gilyard,25,MEM,PG,37,14,17.7,1.6,3.9,0.417,1.4,3.2,0.425,0.2,0.6,0.375,0.594,0.1,0.1,1.0,0.2,0.9,1.2,3.5,0.7,0.1,0.8,0.9,4.7,1.0,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
366,Jacob Gilyard,25,BRK,PG,4,0,11.3,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.3,0.5,0.8,1.5,1.5,0.0,0.3,1.0,0.0,1.0,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
367,Kenrich Williams,29,OKC,PF,69,1,14.9,1.9,4.1,0.468,0.8,2.0,0.397,1.1,2.0,0.54,0.568,0.1,0.2,0.5,0.9,2.1,3.0,1.3,0.6,0.1,0.5,1.5,4.7,53.0,253,5,2022-23,8.0,4.9,2.0,0.8,0.3,22.8,53.0,6.5,3.4,0.6,0.9,2.5,2.4,0.373,4.0,0.608,0.436,2022-23
368,Anthony Black,20,ORL,PG,69,33,16.9,1.7,3.6,0.466,0.5,1.4,0.394,1.1,2.2,0.51,0.54,0.7,1.2,0.613,0.5,1.5,2.0,1.3,0.5,0.3,0.8,1.6,4.6,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
369,Josh Okogie,25,PHO,SG,60,11,16.0,1.4,3.4,0.417,0.5,1.6,0.309,1.0,1.9,0.509,0.488,1.3,1.7,0.745,1.2,1.3,2.6,1.1,0.8,0.4,0.6,1.1,4.6,72.0,316,5,2022-23,7.3,3.5,1.5,0.8,0.5,18.8,72.0,5.8,2.3,0.9,0.9,2.7,1.3,0.335,3.0,0.442,0.724,2019-20
370,Omer Yurtseven,25,UTA,C,48,12,11.4,2.1,3.8,0.538,0.1,0.5,0.208,2.0,3.3,0.588,0.552,0.4,0.6,0.679,1.5,2.8,4.3,0.6,0.2,0.4,0.8,1.1,4.6,9.0,65,1,2021-22,5.3,5.3,0.9,0.3,0.4,12.6,56.0,4.4,2.3,0.7,0.0,0.2,2.3,0.091,4.2,0.547,0.623,2021-22
371,Julian Strawther,21,DEN,SF,50,0,10.9,1.6,4.4,0.369,0.8,2.8,0.297,0.8,1.7,0.488,0.462,0.4,0.6,0.71,0.1,1.1,1.2,0.9,0.3,0.1,0.5,1.1,4.5,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
372,Taj Gibson,38,2TM,PF,20,1,10.2,0.8,1.9,0.405,0.1,0.5,0.2,0.7,1.4,0.481,0.432,0.1,0.1,1.0,0.6,1.3,1.9,0.6,0.2,0.4,0.3,1.6,1.7,49.0,945,14,2022-23,3.4,1.9,0.7,0.3,0.2,9.8,49.0,2.6,1.3,0.5,0.2,0.5,1.2,0.333,2.1,0.564,0.714,2013-14
372,Taj Gibson,38,NYK,PF,16,1,10.3,0.4,1.4,0.304,0.0,0.4,0.0,0.4,1.1,0.412,0.304,0.1,0.1,1.0,0.6,1.1,1.8,0.6,0.1,0.4,0.3,1.8,1.0,49.0,945,14,2022-23,3.4,1.9,0.7,0.3,0.2,9.8,49.0,2.6,1.3,0.5,0.2,0.5,1.2,0.333,2.1,0.564,0.714,2013-14
372,Taj Gibson,38,DET,PF,4,0,9.8,2.0,3.5,0.571,0.5,1.0,0.5,1.5,2.5,0.6,0.643,0.0,0.0,,0.5,1.8,2.3,0.5,0.3,0.3,0.0,0.8,4.5,49.0,945,14,2022-23,3.4,1.9,0.7,0.3,0.2,9.8,49.0,2.6,1.3,0.5,0.2,0.5,1.2,0.333,2.1,0.564,0.714,2013-14
373,Kevon Looney,27,GSW,C,74,36,16.1,1.9,3.1,0.597,0.0,0.0,0.0,1.9,3.1,0.599,0.597,0.8,1.1,0.675,1.9,3.7,5.7,1.8,0.4,0.4,0.7,2.1,4.5,82.0,449,6,2022-23,7.0,9.3,2.5,0.6,0.6,23.9,82.0,4.7,3.0,0.5,0.0,0.0,3.0,0.0,4.7,0.632,0.606,2022-23
374,A.J. Green,24,MIL,SG,56,0,11.0,1.5,3.5,0.423,1.2,3.0,0.408,0.3,0.5,0.519,0.599,0.3,0.3,0.895,0.2,1.0,1.1,0.5,0.2,0.1,0.2,0.9,4.5,35.0,35,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
375,Robert Covington,33,2TM,PF,29,6,16.8,1.5,3.4,0.439,0.7,1.9,0.339,0.8,1.4,0.571,0.536,0.8,0.9,0.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4,48.0,585,8,2022-23,6.0,3.5,1.2,0.8,0.7,16.2,48.0,4.8,2.1,0.7,1.1,2.8,1.0,0.397,1.9,0.516,0.75,2014-15
375,Robert Covington,33,LAC,PF,3,3,23.0,1.0,3.0,0.333,0.7,2.7,0.25,0.3,0.3,1.0,0.444,0.3,0.7,0.5,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0,48.0,585,8,2022-23,6.0,3.5,1.2,0.8,0.7,16.2,48.0,4.8,2.1,0.7,1.1,2.8,1.0,0.397,1.9,0.516,0.75,2014-15
375,Robert Covington,33,PHI,SF,26,3,16.1,1.5,3.4,0.449,0.7,1.8,0.354,0.9,1.6,0.561,0.545,0.8,0.9,0.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5,48.0,585,8,2022-23,6.0,3.5,1.2,0.8,0.7,16.2,48.0,4.8,2.1,0.7,1.1,2.8,1.0,0.397,1.9,0.516,0.75,2014-15
376,Keita Bates-Diop,28,2TM,SF,53,8,12.5,1.4,3.1,0.434,0.4,1.3,0.304,1.0,1.8,0.526,0.497,0.6,0.8,0.762,0.6,1.5,2.1,0.7,0.5,0.4,0.3,0.7,3.7,67.0,230,3,2022-23,9.7,3.7,1.5,0.7,0.3,21.7,67.0,6.9,3.5,0.8,0.8,2.1,2.7,0.394,4.8,0.557,0.793,2022-23
376,Keita Bates-Diop,28,PHO,SF,39,8,15.3,1.6,3.8,0.427,0.5,1.6,0.313,1.1,2.2,0.512,0.493,0.7,0.9,0.722,0.8,1.8,2.6,0.9,0.6,0.5,0.3,0.8,4.5,67.0,230,3,2022-23,9.7,3.7,1.5,0.7,0.3,21.7,67.0,6.9,3.5,0.8,0.8,2.1,2.7,0.394,4.8,0.557,0.793,2022-23
376,Keita Bates-Diop,28,BRK,SF,14,0,4.9,0.6,1.1,0.5,0.1,0.4,0.2,0.5,0.8,0.636,0.531,0.4,0.4,1.0,0.1,0.6,0.6,0.3,0.2,0.1,0.1,0.1,1.6,67.0,230,3,2022-23,9.7,3.7,1.5,0.7,0.3,21.7,67.0,6.9,3.5,0.8,0.8,2.1,2.7,0.394,4.8,0.557,0.793,2022-23
377,Taze Moore,25,POR,SG,4,0,10.0,2.0,4.8,0.421,0.3,1.8,0.143,1.8,3.0,0.583,0.447,0.3,0.5,0.5,1.0,1.0,2.0,1.3,0.5,0.0,0.8,1.0,4.5,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
378,Maxi Kleber,32,DAL,C,43,7,20.3,1.5,3.4,0.432,0.7,2.1,0.348,0.7,1.3,0.574,0.541,0.8,1.1,0.702,0.7,2.6,3.3,1.6,0.4,0.7,0.7,1.8,4.4,37.0,363,6,2022-23,5.9,3.6,1.4,0.3,0.8,25.1,37.0,4.6,2.1,0.7,1.1,3.0,1.0,0.348,1.5,0.667,0.711,2019-20
379,Lester Quinones,23,GSW,SG,37,0,10.6,1.5,3.8,0.397,0.9,2.4,0.364,0.6,1.4,0.453,0.511,0.5,0.8,0.69,0.6,1.4,1.9,1.0,0.2,0.1,0.5,1.2,4.4,4.0,4,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
380,Ben Sheppard,22,IND,SG,57,1,14.3,1.6,4.0,0.393,0.9,2.7,0.314,0.7,1.3,0.562,0.5,0.4,0.5,0.885,0.3,1.3,1.6,0.9,0.6,0.0,0.3,1.5,4.4,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
381,MarJon Beauchamp,23,MIL,SF,48,1,12.7,1.7,3.5,0.488,0.6,1.6,0.4,1.1,1.9,0.56,0.578,0.4,0.6,0.679,0.5,1.6,2.1,0.6,0.3,0.1,0.6,1.1,4.4,52.0,52,1,2022-23,5.1,2.2,0.7,0.4,0.1,13.5,52.0,4.7,1.8,0.9,0.9,2.7,0.9,0.331,1.9,0.485,0.73,2022-23
382,Joe Ingles,36,ORL,SF,68,0,17.2,1.5,3.3,0.436,1.0,2.4,0.435,0.4,1.0,0.439,0.59,0.4,0.5,0.824,0.3,1.8,2.1,3.0,0.6,0.1,1.0,1.3,4.4,46.0,636,9,2022-23,6.9,2.8,3.3,0.7,0.1,22.7,46.0,5.4,2.3,1.2,1.8,4.4,0.5,0.409,1.0,0.556,0.857,2020-21
383,Mo Bamba,25,PHI,C,57,17,13.0,1.7,3.5,0.49,0.4,1.1,0.391,1.3,2.4,0.537,0.553,0.6,0.9,0.68,1.4,2.8,4.2,0.7,0.4,1.1,0.7,1.8,4.4,49.0,275,5,2022-23,6.6,4.6,0.9,0.3,0.9,15.7,49.0,4.9,2.4,0.6,1.0,2.5,1.4,0.387,2.4,0.59,0.661,2021-22
384,Dominick Barlow,20,SAS,PF,33,1,12.7,1.7,3.4,0.496,0.1,0.3,0.333,1.6,3.2,0.51,0.509,0.9,1.3,0.69,1.4,2.1,3.4,1.1,0.4,0.4,0.3,1.4,4.4,28.0,28,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
385,Blake Wesley,20,SAS,SG,61,3,14.4,1.7,3.5,0.474,0.2,0.9,0.218,1.5,2.6,0.563,0.502,0.9,1.3,0.667,0.3,1.2,1.5,2.7,0.5,0.1,0.9,1.5,4.4,37.0,37,1,2022-23,5.0,2.2,2.7,0.7,0.1,18.1,37.0,5.8,1.9,1.8,0.5,1.4,1.3,0.385,4.4,0.301,0.591,2022-23
386,Jontay Porter,24,TOR,PF,26,5,13.8,1.5,4.0,0.385,0.8,2.3,0.333,0.8,1.7,0.455,0.481,0.6,0.7,0.833,1.0,2.2,3.2,2.3,0.8,0.8,0.8,1.3,4.4,0.0,11,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
387,Patrick Baldwin Jr.,21,WAS,SF,38,7,13.0,1.6,4.1,0.381,0.8,2.6,0.32,0.7,1.5,0.483,0.481,0.5,0.7,0.679,0.4,2.8,3.2,0.8,0.5,0.4,0.5,1.5,4.4,31.0,31,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
388,Jaxson Hayes,23,LAL,C,70,5,12.5,1.8,2.5,0.72,0.0,0.1,0.0,1.8,2.4,0.754,0.72,0.7,1.2,0.622,1.0,2.0,3.0,0.5,0.5,0.4,0.6,1.8,4.3,47.0,241,4,2022-23,5.0,2.8,0.7,0.4,0.4,13.0,47.0,3.3,1.8,0.7,0.1,0.6,1.8,0.103,2.7,0.654,0.699,2021-22
389,John Konchar,27,MEM,SF,55,23,21.3,1.6,3.8,0.423,0.7,2.2,0.317,0.9,1.6,0.568,0.514,0.4,0.5,0.84,1.3,3.4,4.7,2.0,0.9,0.9,0.8,1.4,4.3,72.0,206,3,2022-23,5.1,4.3,1.4,1.1,0.3,20.8,72.0,4.4,1.9,0.5,0.8,2.5,1.1,0.339,2.0,0.545,0.778,2022-23
390,Dru Smith,26,MIA,SG,9,0,14.6,1.7,3.7,0.455,0.8,1.9,0.412,0.9,1.8,0.5,0.561,0.2,0.2,1.0,0.7,0.9,1.6,1.6,1.0,0.3,0.6,1.3,4.3,15.0,15,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
391,Caleb Houstan,21,ORL,SF,59,13,13.8,1.4,3.5,0.388,1.2,3.3,0.373,0.1,0.2,0.615,0.563,0.4,0.4,0.808,0.5,0.9,1.4,0.5,0.3,0.1,0.3,1.0,4.3,51.0,51,1,2022-23,3.8,1.9,0.6,0.2,0.1,15.9,51.0,3.6,1.3,0.4,0.9,2.7,0.4,0.338,0.9,0.435,0.833,2022-23
392,Jeff Dowtin,26,PHI,PG,12,0,11.8,1.7,3.0,0.556,0.8,1.6,0.474,0.9,1.4,0.647,0.681,0.3,0.3,0.75,0.3,1.4,1.7,2.3,0.6,0.1,0.4,0.1,4.3,25.0,34,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
393,Théo Maledon,22,2TM,PG,17,1,12.5,1.2,4.1,0.286,0.3,1.8,0.167,0.9,2.4,0.375,0.321,0.8,0.9,0.933,0.2,1.2,1.4,1.6,0.4,0.0,1.1,1.2,3.5,44.0,160,3,2022-23,6.7,2.8,3.5,0.8,0.3,19.4,44.0,5.8,2.3,1.3,0.6,2.2,1.7,0.295,3.6,0.465,0.851,2020-21
393,Théo Maledon,22,CHO,PG,13,1,15.4,1.5,5.1,0.288,0.4,2.3,0.167,1.1,2.8,0.389,0.326,0.8,0.9,0.917,0.3,1.5,1.8,2.2,0.5,0.0,1.2,1.4,4.2,44.0,160,3,2022-23,6.7,2.8,3.5,0.8,0.3,19.4,44.0,5.8,2.3,1.3,0.6,2.2,1.7,0.295,3.6,0.465,0.851,2020-21
393,Théo Maledon,22,PHO,PG,4,0,3.3,0.3,1.0,0.25,0.0,0.0,,0.3,1.0,0.25,0.25,0.8,0.8,1.0,0.0,0.3,0.3,0.0,0.0,0.0,0.8,0.8,1.3,44.0,160,3,2022-23,6.7,2.8,3.5,0.8,0.3,19.4,44.0,5.8,2.3,1.3,0.6,2.2,1.7,0.295,3.6,0.465,0.851,2020-21
394,Troy Brown Jr.,24,2TM,SF,59,15,14.0,1.4,3.8,0.372,0.8,2.4,0.333,0.6,1.4,0.435,0.476,0.5,0.6,0.865,0.4,2.0,2.4,1.0,0.4,0.1,0.5,0.7,4.2,76.0,297,4,2022-23,7.1,4.1,1.3,0.8,0.2,24.5,76.0,6.1,2.6,0.6,1.4,3.7,1.2,0.381,2.4,0.505,0.872,2019-20
394,Troy Brown Jr.,24,MIN,SF,37,3,11.1,1.4,3.2,0.441,0.8,2.3,0.369,0.6,0.9,0.618,0.572,0.5,0.6,0.864,0.4,1.6,1.9,0.9,0.2,0.1,0.5,0.7,4.2,76.0,297,4,2022-23,7.1,4.1,1.3,0.8,0.2,24.5,76.0,6.1,2.6,0.6,1.4,3.7,1.2,0.381,2.4,0.505,0.872,2019-20
394,Troy Brown Jr.,24,DET,SF,22,12,19.0,1.5,4.9,0.296,0.7,2.6,0.281,0.7,2.3,0.314,0.37,0.6,0.7,0.867,0.5,2.8,3.3,1.1,0.7,0.0,0.5,0.7,4.2,76.0,297,4,2022-23,7.1,4.1,1.3,0.8,0.2,24.5,76.0,6.1,2.6,0.6,1.4,3.7,1.2,0.381,2.4,0.505,0.872,2019-20
395,Max Christie,20,LAL,SG,67,7,14.1,1.5,3.6,0.427,0.6,1.8,0.356,0.9,1.8,0.496,0.515,0.5,0.7,0.783,0.2,1.9,2.1,0.9,0.3,0.3,0.5,0.9,4.2,41.0,41,1,2022-23,3.1,1.8,0.5,0.2,0.2,12.5,41.0,2.6,1.1,0.3,0.6,1.5,0.4,0.419,1.1,0.409,0.875,2022-23
396,Armoni Brooks,25,BRK,PG,10,0,10.4,1.5,4.6,0.326,1.1,3.2,0.344,0.4,1.4,0.286,0.446,0.1,0.2,0.5,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2,0.0,74,1,2021-22,5.3,1.9,1.1,0.5,0.2,15.6,54.0,5.4,1.8,0.5,1.4,4.6,0.4,0.297,0.7,0.6,0.857,2021-22
397,Danuel House Jr.,30,PHI,SF,34,4,15.0,1.4,3.1,0.448,0.4,1.5,0.3,0.9,1.6,0.582,0.519,1.0,1.4,0.761,0.5,1.2,1.7,0.8,0.4,0.1,0.6,1.3,4.2,56.0,260,5,2022-23,4.8,1.7,0.8,0.3,0.2,14.4,56.0,3.5,1.7,0.5,0.7,2.0,1.0,0.336,1.6,0.644,0.75,2019-20
