Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%,Best Season
13,Rafer Alston,PG,32,HOU,48,48,33.1,4.0,10.9,0.37,1.7,4.8,0.348,2.4,6.1,0.387,0.446,1.8,2.3,0.789,0.5,2.5,3.0,5.4,1.2,0.1,1.8,1.5,11.5,74.0,478,7,2007-08,13.1,3.5,5.3,1.3,0.2,34.1,74.0,12.5,4.9,2.2,1.9,5.5,3.0,0.351,7.0,0.427,0.715,2004-05
13,Rafer Alston,PG,32,ORL,29,28,29.5,4.2,10.3,0.413,1.1,3.5,0.317,3.1,6.8,0.462,0.466,2.4,3.4,0.707,0.3,2.6,2.9,5.1,1.8,0.1,1.8,2.2,12.0,74.0,478,7,2007-08,13.1,3.5,5.3,1.3,0.2,34.1,74.0,12.5,4.9,2.2,1.9,5.5,3.0,0.351,7.0,0.427,0.715,2004-05
14,Lou Amundson,PF,26,PHO,76,0,13.7,1.8,3.3,0.536,0.0,0.0,0.0,1.8,3.3,0.538,0.536,0.7,1.6,0.442,1.7,1.9,3.6,0.4,0.4,0.9,0.7,2.0,4.2,16.0,27,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
15,Chris Andersen,C,30,DEN,71,1,20.6,2.3,4.1,0.548,0.0,0.1,0.2,2.2,4.0,0.56,0.551,1.8,2.5,0.718,2.3,3.9,6.2,0.4,0.6,2.5,1.0,2.5,6.4,5.0,258,3,2004-05,7.7,6.1,1.1,0.2,1.5,21.3,67.0,5.3,2.9,1.0,0.0,0.0,2.9,0.0,5.3,0.538,0.689,2004-05
16,Ryan Anderson,PF,20,NJN,66,30,19.9,2.4,6.2,0.393,1.0,2.9,0.365,1.4,3.3,0.417,0.478,1.5,1.8,0.845,1.6,3.1,4.7,0.8,0.7,0.3,1.0,2.4,7.4,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
17,Carmelo Anthony,SF,24,DEN,66,66,34.5,8.1,18.3,0.443,1.0,2.6,0.371,7.2,15.7,0.455,0.469,5.6,7.1,0.793,1.6,5.2,6.8,3.4,1.1,0.4,3.0,3.0,22.8,77.0,379,5,2007-08,25.7,7.4,3.4,1.3,0.5,36.4,77.0,19.2,9.5,3.3,0.8,2.1,8.7,0.354,17.1,0.509,0.786,2006-07
18,Joel Anthony,C,26,MIA,65,28,16.1,0.9,1.8,0.483,0.0,0.0,,0.9,1.8,0.483,0.483,0.5,0.7,0.652,1.4,1.7,3.0,0.4,0.3,1.4,0.6,2.1,2.2,24.0,24,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
19,Gilbert Arenas,PG,27,WAS,2,2,31.5,3.0,11.5,0.261,1.0,3.5,0.286,2.0,8.0,0.25,0.304,6.0,8.0,0.75,0.5,4.0,4.5,10.0,0.0,0.5,0.5,2.0,13.0,13.0,431,6,2006-07,28.4,4.6,6.0,1.9,0.2,39.8,74.0,20.9,8.7,3.2,2.8,7.9,6.0,0.351,13.0,0.459,0.844,2005-06
20,Trevor Ariza,SF,23,LAL,82,20,24.4,3.3,7.3,0.46,0.7,2.3,0.319,2.6,4.9,0.526,0.511,1.5,2.1,0.71,1.4,2.9,4.3,1.8,1.7,0.3,1.1,2.0,8.9,35.0,229,3,2007-08,5.5,3.1,1.3,0.9,0.3,15.6,35.0,3.9,2.0,0.7,0.1,0.5,1.8,0.278,3.4,0.542,0.653,2006-07
21,Hilton Armstrong,C,24,NOH,70,29,15.6,2.0,3.5,0.561,0.0,0.0,0.0,2.0,3.5,0.566,0.561,0.9,1.4,0.633,1.2,1.6,2.8,0.4,0.4,0.6,1.1,2.6,4.8,65.0,121,2,2007-08,2.7,2.5,0.4,0.2,0.5,11.3,65.0,2.3,1.0,0.9,0.0,0.0,1.0,,2.3,0.453,0.629,2006-07
22,Darrell Arthur,PF,20,MEM,76,64,19.3,2.5,5.7,0.438,0.0,0.0,0.0,2.5,5.7,0.44,0.438,0.5,0.8,0.667,1.4,3.1,4.6,0.6,0.7,0.7,0.6,2.7,5.6,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
23,Chucky Atkins,PG,34,TOT,33,0,12.5,1.0,3.4,0.301,0.5,1.7,0.263,0.6,1.7,0.339,0.367,0.5,0.5,0.938,0.2,0.6,0.7,1.8,0.3,0.1,0.7,0.8,3.0,24.0,460,6,2006-07,13.2,1.9,4.6,0.7,0.1,27.5,75.0,9.5,4.1,1.7,1.5,4.1,2.6,0.379,5.5,0.474,0.81,2004-05
23,Chucky Atkins,PG,34,DEN,14,0,8.2,0.6,1.9,0.333,0.4,1.2,0.294,0.3,0.7,0.4,0.426,0.3,0.3,1.0,0.0,0.4,0.4,2.0,0.1,0.1,0.7,0.4,1.9,24.0,460,6,2006-07,13.2,1.9,4.6,0.7,0.1,27.5,75.0,9.5,4.1,1.7,1.5,4.1,2.6,0.379,5.5,0.474,0.81,2004-05
23,Chucky Atkins,PG,34,OKC,19,0,15.6,1.3,4.5,0.291,0.5,2.1,0.25,0.8,2.4,0.326,0.349,0.6,0.6,0.917,0.3,0.7,0.9,1.6,0.4,0.1,0.7,1.2,3.7,24.0,460,6,2006-07,13.2,1.9,4.6,0.7,0.1,27.5,75.0,9.5,4.1,1.7,1.5,4.1,2.6,0.379,5.5,0.474,0.81,2004-05
24,D.J. Augustin,PG,21,CHA,72,12,26.5,3.7,8.6,0.43,1.5,3.4,0.439,2.2,5.2,0.424,0.517,2.9,3.2,0.893,0.2,1.6,1.8,3.5,0.6,0.0,1.7,1.9,11.8,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
25,Kelenna Azubuike,SF,25,GSW,74,51,32.1,5.3,11.4,0.464,1.3,2.8,0.448,4.0,8.6,0.469,0.52,2.5,3.1,0.808,1.5,3.5,5.0,1.6,0.8,0.7,1.3,2.5,14.4,81.0,122,2,2007-08,8.5,4.0,0.9,0.6,0.4,21.4,81.0,7.2,3.2,0.7,0.9,2.4,2.3,0.364,4.8,0.485,0.717,2007-08
26,Renaldo Balkman,PF,24,DEN,53,10,14.7,2.1,3.7,0.558,0.0,0.1,0.286,2.0,3.6,0.568,0.563,0.8,1.2,0.646,1.6,2.2,3.8,0.6,0.9,0.4,0.7,1.8,5.0,65.0,133,2,2007-08,3.4,3.3,0.6,0.7,0.5,14.6,65.0,2.9,1.4,0.6,0.0,0.2,1.4,0.083,2.7,0.517,0.432,2006-07
27,Marcus Banks,PG,27,TOT,22,0,9.4,1.0,2.6,0.368,0.1,0.9,0.158,0.8,1.7,0.474,0.395,0.5,0.8,0.611,0.0,0.8,0.8,1.3,0.5,0.1,0.6,1.2,2.5,36.0,301,5,2007-08,6.6,1.3,1.7,0.4,0.4,15.8,36.0,5.3,2.4,1.0,1.1,2.8,1.3,0.392,2.5,0.517,0.771,2005-06
27,Marcus Banks,PG,27,MIA,16,0,10.4,0.9,2.4,0.385,0.1,0.9,0.143,0.8,1.6,0.52,0.41,0.6,0.9,0.667,0.0,0.9,0.9,1.4,0.6,0.1,0.7,1.3,2.6,36.0,301,5,2007-08,6.6,1.3,1.7,0.4,0.4,15.8,36.0,5.3,2.4,1.0,1.1,2.8,1.3,0.392,2.5,0.517,0.771,2005-06
27,Marcus Banks,PG,27,TOR,6,0,6.7,1.0,3.0,0.333,0.2,0.8,0.2,0.8,2.2,0.385,0.361,0.2,0.5,0.333,0.2,0.3,0.5,1.0,0.2,0.0,0.5,0.8,2.3,36.0,301,5,2007-08,6.6,1.3,1.7,0.4,0.4,15.8,36.0,5.3,2.4,1.0,1.1,2.8,1.3,0.392,2.5,0.517,0.771,2005-06
28,Leandro Barbosa,SG,26,PHO,70,11,24.4,5.2,10.8,0.482,1.3,3.4,0.375,3.9,7.4,0.532,0.542,2.4,2.8,0.881,0.5,2.1,2.6,2.3,1.2,0.1,1.3,1.6,14.2,82.0,352,5,2007-08,15.6,2.8,2.6,0.9,0.2,29.5,82.0,12.5,5.8,1.4,2.0,5.1,3.8,0.389,7.3,0.514,0.822,2006-07
29,J.J. Barea,SG,24,DAL,79,15,20.3,3.1,7.1,0.442,0.7,1.9,0.357,2.4,5.1,0.474,0.491,0.9,1.2,0.753,0.5,1.8,2.2,3.4,0.5,0.1,1.3,1.5,7.8,44.0,77,1,2007-08,4.3,1.1,1.3,0.3,0.0,10.5,44.0,3.9,1.6,0.8,0.5,1.2,1.1,0.389,2.6,0.431,0.8,2007-08
30,Andrea Bargnani,PF,23,TOR,78,59,31.4,5.5,12.3,0.45,1.5,3.7,0.409,4.0,8.6,0.468,0.512,2.8,3.4,0.831,0.9,4.4,5.3,1.2,0.4,1.2,1.7,3.1,15.4,78.0,143,2,2007-08,10.2,3.7,1.1,0.3,0.5,23.9,78.0,9.3,3.6,1.1,1.2,3.3,2.4,0.345,5.9,0.409,0.84,2006-07
31,Matt Barnes,PF,28,PHO,77,40,27.0,3.7,8.8,0.423,1.5,4.4,0.343,2.2,4.3,0.505,0.51,1.3,1.8,0.743,1.0,4.4,5.5,2.8,0.7,0.3,1.7,2.7,10.2,73.0,286,5,2007-08,6.7,4.4,1.9,0.7,0.5,19.4,73.0,6.1,2.6,1.2,0.7,2.5,1.8,0.293,3.6,0.513,0.747,2006-07
32,Brent Barry,SG,37,HOU,56,1,15.3,1.3,3.1,0.407,0.9,2.3,0.374,0.4,0.7,0.512,0.549,0.3,0.4,0.95,0.3,1.4,1.7,1.4,0.4,0.1,0.9,0.8,3.7,31.0,476,6,2006-07,8.5,2.1,1.8,0.7,0.2,21.7,75.0,5.7,2.7,0.8,1.7,3.8,1.0,0.446,1.8,0.536,0.88,2001-02
33,Brandon Bass,C,23,DAL,81,0,19.4,3.1,6.3,0.496,0.0,0.1,0.0,3.1,6.2,0.502,0.496,2.2,2.6,0.867,1.6,2.9,4.5,0.5,0.3,0.7,1.1,1.7,8.5,79.0,129,1,2007-08,8.3,4.4,0.7,0.3,0.6,19.7,79.0,6.2,3.1,1.0,0.0,0.1,3.1,0.0,6.2,0.503,0.822,2007-08
34,Maceo Baston,PF,33,IND,27,0,8.0,0.9,1.7,0.543,0.0,0.0,0.0,0.9,1.7,0.556,0.543,0.6,1.0,0.63,0.8,1.1,1.9,0.3,0.2,0.4,0.4,1.4,2.5,15.0,78,1,2006-07,2.9,1.6,0.3,0.3,0.4,8.6,47.0,1.6,1.0,0.7,0.1,0.1,1.0,0.429,1.5,0.667,0.787,2006-07
35,Tony Battie,PF,32,ORL,77,3,15.6,2.1,4.2,0.489,0.0,0.1,0.222,2.0,4.1,0.497,0.492,0.7,1.1,0.659,1.2,2.4,3.6,0.4,0.3,0.3,0.6,1.5,4.8,0.0,443,6,2006-07,6.1,5.2,0.5,0.4,0.5,23.9,66.0,5.5,2.7,0.9,0.0,0.0,2.7,0.0,5.4,0.49,0.675,2005-06
36,Shane Battier,SG,30,HOU,60,59,33.9,2.4,5.9,0.41,1.5,4.0,0.384,0.9,2.0,0.462,0.538,0.9,1.1,0.821,0.9,3.9,4.8,2.3,0.8,0.9,0.8,1.9,7.3,80.0,558,7,2007-08,9.3,5.1,1.9,1.0,1.1,36.3,80.0,7.7,3.3,1.0,1.7,4.6,1.6,0.377,3.1,0.504,0.743,2001-02
37,Nicolas Batum,SF,20,POR,79,76,18.4,2.0,4.6,0.446,0.8,2.1,0.369,1.3,2.4,0.513,0.532,0.5,0.7,0.808,1.1,1.7,2.8,0.9,0.6,0.5,0.6,1.8,5.4,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
38,Jerryd Bayless,PG,20,POR,53,0,12.4,1.3,3.6,0.365,0.1,0.5,0.259,1.2,3.1,0.383,0.384,1.6,1.9,0.806,0.2,0.9,1.1,1.5,0.3,0.0,1.1,1.5,4.3,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
39,Michael Beasley,PF,20,MIA,81,19,24.8,5.6,11.8,0.472,0.4,1.0,0.407,5.2,10.8,0.478,0.49,2.3,3.0,0.772,1.4,4.1,5.4,1.0,0.5,0.5,1.5,2.3,13.9,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
40,Marco Belinelli,SG,22,GSW,42,23,21.0,3.3,7.5,0.442,1.2,3.1,0.397,2.1,4.4,0.473,0.524,1.0,1.2,0.769,0.2,1.5,1.7,2.1,0.9,0.0,1.4,1.7,8.9,33.0,33,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None
41,Charlie Bell,SG,29,MIL,70,23,25.5,3.1,7.5,0.414,1.2,3.4,0.363,1.9,4.1,0.458,0.497,0.9,1.1,0.825,0.5,1.5,1.9,2.2,0.7,0.1,1.1,2.0,8.4,68.0,216,3,2007-08,7.6,2.5,3.1,0.8,0.0,23.9,68.0,7.1,2.7,1.1,1.1,3.2,1.6,0.341,4.0,0.413,0.805,2006-07
42,Raja Bell,SG,32,TOT,67,66,34.6,4.5,10.2,0.437,1.7,4.0,0.421,2.8,6.2,0.448,0.52,1.3,1.5,0.853,0.6,3.0,3.6,2.1,0.7,0.1,1.3,2.5,11.9,75.0,526,7,2007-08,11.9,3.7,2.2,0.7,0.4,35.3,75.0,10.0,4.2,0.9,2.3,5.9,1.9,0.401,4.2,0.449,0.868,2006-07
42,Raja Bell,SG,32,PHO,22,22,32.4,3.5,8.0,0.429,2.0,4.3,0.468,1.5,3.8,0.386,0.554,0.7,1.0,0.762,0.4,2.5,2.9,1.3,0.6,0.1,0.8,2.6,9.6,75.0,526,7,2007-08,11.9,3.7,2.2,0.7,0.4,35.3,75.0,10.0,4.2,0.9,2.3,5.9,1.9,0.401,4.2,0.449,0.868,2006-07
42,Raja Bell,SG,32,CHA,45,44,35.6,5.0,11.3,0.44,1.6,3.9,0.395,3.4,7.3,0.464,0.509,1.6,1.8,0.877,0.7,3.2,4.0,2.5,0.8,0.1,1.5,2.4,13.0,75.0,526,7,2007-08,11.9,3.7,2.2,0.7,0.4,35.3,75.0,10.0,4.2,0.9,2.3,5.9,1.9,0.401,4.2,0.449,0.868,2006-07
43,Mike Bibby,PG,30,ATL,79,79,34.7,5.5,12.7,0.435,2.1,5.4,0.39,3.4,7.3,0.468,0.518,1.7,2.2,0.789,0.5,3.0,3.5,5.0,1.2,0.1,1.6,1.8,14.9,48.0,509,7,2007-08,13.9,3.3,6.0,1.1,0.1,32.8,48.0,12.6,5.2,2.5,1.9,5.2,3.2,0.375,7.4,0.437,0.78,2005-06
44,Andris Biedriņš,C,22,GSW,62,58,30.0,5.0,8.6,0.578,0.0,0.0,0.0,5.0,8.6,0.579,0.578,1.9,3.5,0.551,3.6,7.6,11.2,2.0,1.0,1.5,1.8,3.8,11.9,76.0,256,3,2007-08,10.5,9.8,1.0,0.7,1.2,27.3,76.0,7.1,4.5,1.1,0.0,0.0,4.5,,7.1,0.626,0.62,2007-08
45,Chauncey Billups,PG,32,TOT,79,79,35.3,5.2,12.4,0.418,2.1,5.0,0.408,3.1,7.4,0.425,0.501,5.3,5.8,0.913,0.4,2.6,3.0,6.4,1.2,0.2,2.2,2.0,17.7,78.0,543,7,2007-08,17.0,2.7,6.8,1.3,0.2,32.3,78.0,11.2,5.0,2.1,1.8,4.4,3.3,0.401,6.9,0.479,0.918,2005-06
45,Chauncey Billups,PG,32,DET,2,2,35.0,3.5,10.5,0.333,1.0,3.5,0.286,2.5,7.0,0.357,0.381,4.5,5.0,0.9,0.5,4.5,5.0,7.5,1.5,0.5,2.0,1.5,12.5,78.0,543,7,2007-08,17.0,2.7,6.8,1.3,0.2,32.3,78.0,11.2,5.0,2.1,1.8,4.4,3.3,0.401,6.9,0.479,0.918,2005-06
45,Chauncey Billups,PG,32,DEN,77,77,35.3,5.2,12.5,0.42,2.1,5.1,0.41,3.2,7.4,0.427,0.504,5.3,5.8,0.913,0.4,2.6,3.0,6.4,1.2,0.2,2.2,2.1,17.9,78.0,543,7,2007-08,17.0,2.7,6.8,1.3,0.2,32.3,78.0,11.2,5.0,2.1,1.8,4.4,3.3,0.401,6.9,0.479,0.918,2005-06
46,Steve Blake,PG,28,POR,69,69,31.7,4.0,9.4,0.428,2.0,4.8,0.427,2.0,4.6,0.429,0.536,0.9,1.1,0.84,0.4,2.1,2.5,5.0,1.0,0.1,1.6,1.8,11.0,81.0,350,5,2007-08,8.5,2.4,5.1,0.7,0.0,29.9,81.0,7.9,3.2,1.4,1.5,3.7,1.7,0.406,4.2,0.409,0.766,2007-08
47,Andray Blatche,C,22,WAS,71,36,24.0,4.2,8.9,0.471,0.1,0.3,0.238,4.1,8.6,0.479,0.475,1.6,2.3,0.704,1.8,3.5,5.3,1.7,0.7,1.0,1.6,3.0,10.0,82.0,167,2,2007-08,7.5,5.2,1.1,0.6,1.4,20.4,82.0,6.5,3.1,1.4,0.0,0.2,3.1,0.231,6.4,0.48,0.695,2007-08
48,Mark Blount,C,33,MIA,20,0,10.4,1.5,3.9,0.385,0.6,1.4,0.407,1.0,2.6,0.373,0.455,0.4,0.7,0.615,0.5,1.6,2.1,0.2,0.1,0.4,0.7,0.9,4.0,69.0,521,7,2007-08,8.4,3.8,0.6,0.5,0.5,22.3,69.0,7.5,3.4,1.0,0.2,0.6,3.2,0.386,6.8,0.469,0.638,2006-07
49,Keith Bogans,SG,28,TOT,65,15,19.6,1.8,5.0,0.367,1.1,3.4,0.339,0.7,1.6,0.425,0.481,0.8,0.9,0.912,0.5,2.6,3.1,1.0,0.7,0.1,0.6,1.6,5.6,82.0,360,5,2007-08,8.7,3.2,1.3,0.7,0.1,26.8,82.0,7.2,2.9,0.6,1.8,5.0,1.1,0.362,2.2,0.52,0.736,2004-05
49,Keith Bogans,SG,28,ORL,36,15,21.9,1.8,4.9,0.36,1.2,3.5,0.333,0.6,1.4,0.429,0.48,0.6,0.7,0.875,0.4,2.7,3.1,0.9,0.6,0.1,0.5,1.7,5.3,82.0,360,5,2007-08,8.7,3.2,1.3,0.7,0.1,26.8,82.0,7.2,2.9,0.6,1.8,5.0,1.1,0.362,2.2,0.52,0.736,2004-05
49,Keith Bogans,SG,28,MIL,29,0,16.7,1.9,5.1,0.376,1.1,3.2,0.348,0.8,2.0,0.421,0.483,1.1,1.1,0.939,0.6,2.6,3.1,1.1,0.7,0.1,0.8,1.5,6.0,82.0,360,5,2007-08,8.7,3.2,1.3,0.7,0.1,26.8,82.0,7.2,2.9,0.6,1.8,5.0,1.1,0.362,2.2,0.52,0.736,2004-05
50,Andrew Bogut,C,24,MIL,36,33,31.2,5.1,8.8,0.577,0.0,0.0,,5.1,8.8,0.577,0.577,1.6,2.7,0.571,3.3,7.0,10.3,2.0,0.6,1.0,2.4,3.6,11.7,78.0,226,3,2007-08,14.3,9.8,2.6,0.8,1.7,34.9,78.0,11.7,6.0,2.2,0.0,0.1,6.0,0.0,11.6,0.515,0.587,2007-08
51,Matt Bonner,PF,28,SAS,81,67,23.8,3.3,6.6,0.496,1.5,3.3,0.44,1.8,3.3,0.552,0.606,0.2,0.3,0.739,1.2,3.6,4.8,1.0,0.6,0.3,0.5,2.3,8.2,68.0,284,4,2007-08,4.8,2.8,0.5,0.2,0.3,12.5,68.0,4.3,1.8,0.6,0.7,2.0,1.1,0.336,2.3,0.487,0.864,2005-06
52,Josh Boone,C,24,NJN,62,7,16.0,1.8,3.5,0.528,0.0,0.0,,1.8,3.5,0.528,0.528,0.5,1.4,0.376,1.7,2.5,4.2,0.5,0.4,0.8,0.5,1.7,4.2,70.0,131,2,2007-08,8.2,7.3,0.8,0.5,0.9,25.3,70.0,6.2,3.4,1.0,0.0,0.0,3.4,,6.2,0.548,0.456,2007-08
53,Calvin Booth,C,32,TOT,8,0,7.0,0.6,1.3,0.5,0.0,0.0,,0.6,1.3,0.5,0.5,0.8,1.0,0.75,0.6,0.8,1.4,0.0,0.1,0.3,0.1,1.3,2.0,31.0,292,4,2006-07,1.6,1.8,0.4,0.1,0.7,8.6,44.0,1.5,0.7,0.2,0.0,0.0,0.7,0.5,1.5,0.469,0.6,2003-04
