Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%
1,Quincy Acy,PF,22,TOR,29,0,11.8,1.4,2.6,0.56,0.0,0.1,0.5,1.4,2.5,0.562,0.567,1.1,1.3,0.816,1.0,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Jeff Adrien,PF,26,CHA,52,5,13.7,1.4,3.2,0.429,0.0,0.0,0.0,1.4,3.2,0.434,0.429,1.3,1.9,0.65,1.3,2.5,3.8,0.7,0.3,0.5,0.6,1.5,4.0,8.0,31,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Arron Afflalo,SF,27,ORL,64,64,36.0,6.2,14.1,0.439,1.1,3.8,0.3,5.1,10.4,0.489,0.478,3.0,3.5,0.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5,62.0,362,5,2011-12,15.2,3.2,2.4,0.6,0.2,33.6,62.0,11.3,5.3,1.4,1.4,3.6,3.9,0.398,7.7,0.504,0.798
4,Josh Akognon,PG,26,DAL,3,0,3.0,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Cole Aldrich,C,24,TOT,45,0,8.6,1.0,1.8,0.55,0.0,0.0,,1.0,1.8,0.55,0.55,0.3,0.4,0.6,0.7,2.0,2.7,0.2,0.1,0.5,0.5,1.3,2.2,26.0,44,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Cole Aldrich,C,24,HOU,30,0,7.1,0.8,1.4,0.535,0.0,0.0,,0.8,1.4,0.535,0.535,0.1,0.3,0.444,0.4,1.5,1.9,0.2,0.1,0.3,0.5,1.4,1.7,26.0,44,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Cole Aldrich,C,24,SAC,15,0,11.7,1.4,2.5,0.568,0.0,0.0,,1.4,2.5,0.568,0.568,0.5,0.7,0.727,1.2,3.0,4.2,0.2,0.1,0.9,0.6,1.3,3.3,26.0,44,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,LaMarcus Aldridge,PF,27,POR,74,74,37.7,8.6,17.8,0.484,0.0,0.2,0.143,8.6,17.6,0.488,0.485,3.8,4.7,0.81,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5,21.1,55.0,434,6,2011-12,21.7,8.0,2.4,0.9,0.8,36.3,55.0,17.1,8.8,2.0,0.0,0.2,8.7,0.182,16.9,0.516,0.814
7,Lavoy Allen,C,23,PHI,79,37,21.1,2.6,5.7,0.454,0.0,0.0,0.0,2.6,5.7,0.455,0.454,0.5,0.8,0.717,2.0,3.0,5.0,0.9,0.3,0.7,0.7,2.3,5.8,41.0,41,1,2011-12,4.1,4.2,0.8,0.3,0.4,15.2,41.0,4.1,1.9,0.5,0.0,0.0,1.9,,4.1,0.473,0.786
8,Ray Allen,SG,37,MIA,79,0,25.8,3.7,8.2,0.449,1.8,4.2,0.419,1.9,4.0,0.48,0.555,1.8,2.0,0.886,0.5,2.2,2.7,1.7,0.8,0.2,1.3,1.6,10.9,46.0,770,11,2011-12,14.2,3.1,2.4,1.1,0.2,34.0,46.0,10.7,4.9,1.5,2.3,5.1,2.6,0.453,5.6,0.463,0.915
9,Tony Allen,SG,31,MEM,79,79,26.7,3.6,8.1,0.445,0.0,0.3,0.125,3.6,7.8,0.458,0.447,1.7,2.4,0.717,1.5,3.1,4.6,1.2,1.5,0.6,1.2,2.7,8.9,58.0,466,7,2011-12,9.8,4.0,1.4,1.8,0.6,26.3,58.0,7.7,3.6,1.6,0.1,0.4,3.5,0.308,7.3,0.479,0.8
