Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%
10,Al-Farouq Aminu,SF,22,NOH,76,71,27.2,3.0,6.2,0.475,0.1,0.3,0.211,2.9,6.0,0.486,0.479,1.3,1.8,0.737,1.8,5.9,7.7,1.4,1.2,0.7,1.5,2.0,7.3,66.0,147,2,2011-12,6.0,4.7,1.0,0.9,0.5,22.4,66.0,5.5,2.3,1.4,0.2,0.7,2.1,0.277,4.8,0.431,0.754
11,Lou Amundson,PF,30,TOT,39,0,9.5,0.8,2.1,0.395,0.0,0.0,,0.8,2.1,0.395,0.395,0.3,0.9,0.333,1.2,1.5,2.7,0.3,0.4,0.3,0.5,1.4,1.9,60.0,288,4,2011-12,3.6,3.7,0.2,0.5,0.7,12.6,60.0,3.5,1.5,0.8,0.0,0.0,1.5,,3.5,0.43,0.427
11,Lou Amundson,PF,30,MIN,20,0,8.1,0.7,1.9,0.368,0.0,0.0,,0.7,1.9,0.368,0.368,0.2,1.0,0.2,1.2,1.2,2.4,0.2,0.4,0.3,0.6,1.3,1.6,60.0,288,4,2011-12,3.6,3.7,0.2,0.5,0.7,12.6,60.0,3.5,1.5,0.8,0.0,0.0,1.5,,3.5,0.43,0.427
11,Lou Amundson,PF,30,CHI,1,0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,288,4,2011-12,3.6,3.7,0.2,0.5,0.7,12.6,60.0,3.5,1.5,0.8,0.0,0.0,1.5,,3.5,0.43,0.427
11,Lou Amundson,PF,30,NOH,18,0,11.6,1.0,2.3,0.429,0.0,0.0,,1.0,2.3,0.429,0.429,0.4,0.9,0.5,1.3,1.9,3.2,0.4,0.5,0.3,0.4,1.5,2.4,60.0,288,4,2011-12,3.6,3.7,0.2,0.5,0.7,12.6,60.0,3.5,1.5,0.8,0.0,0.0,1.5,,3.5,0.43,0.427
12,Chris Andersen,C,34,MIA,42,0,14.9,1.7,2.9,0.577,0.0,0.1,0.667,1.6,2.9,0.575,0.585,1.5,2.2,0.677,1.4,2.7,4.1,0.4,0.4,1.0,0.6,2.1,4.9,32.0,482,6,2010-11,5.6,4.9,0.4,0.5,1.3,16.3,45.0,3.0,1.8,0.6,0.0,0.0,1.8,0.0,3.0,0.603,0.637
13,Alan Anderson,SF,30,TOR,65,2,23.0,3.6,9.5,0.383,1.5,4.4,0.333,2.2,5.1,0.426,0.46,1.9,2.3,0.857,0.5,1.8,2.3,1.6,0.7,0.1,1.2,2.0,10.7,17.0,70,1,2005-06,5.8,1.9,0.9,0.3,0.1,15.7,36.0,5.0,2.1,0.9,0.7,1.6,1.4,0.414,3.4,0.415,0.805
14,James Anderson,SG-SF,23,TOT,39,2,10.3,1.3,3.2,0.413,0.5,1.5,0.35,0.8,1.7,0.47,0.496,0.6,0.7,0.857,0.5,1.4,1.8,1.1,0.4,0.1,0.6,0.6,3.8,51.0,77,1,2011-12,3.7,1.5,0.8,0.2,0.0,11.8,51.0,3.4,1.3,0.6,0.4,1.3,0.9,0.279,2.1,0.443,0.75
14,James Anderson,SF,23,SAS,10,0,9.4,1.1,2.5,0.44,0.5,1.1,0.455,0.6,1.4,0.429,0.54,0.7,0.9,0.778,0.3,1.1,1.4,0.9,0.3,0.2,0.7,0.7,3.4,51.0,77,1,2011-12,3.7,1.5,0.8,0.2,0.0,11.8,51.0,3.4,1.3,0.6,0.4,1.3,0.9,0.279,2.1,0.443,0.75
14,James Anderson,SG,23,HOU,29,2,10.6,1.4,3.5,0.406,0.6,1.7,0.327,0.9,1.8,0.481,0.485,0.6,0.7,0.895,0.5,1.5,2.0,1.1,0.4,0.1,0.6,0.6,4.0,51.0,77,1,2011-12,3.7,1.5,0.8,0.2,0.0,11.8,51.0,3.4,1.3,0.6,0.4,1.3,0.9,0.279,2.1,0.443,0.75
15,Ryan Anderson,PF,24,NOH,81,22,30.9,5.8,13.8,0.423,2.6,6.9,0.382,3.2,6.9,0.464,0.519,1.9,2.2,0.844,2.4,4.0,6.4,1.2,0.5,0.4,1.2,2.2,16.2,61.0,254,4,2011-12,16.1,7.7,0.9,0.8,0.4,32.2,61.0,12.4,5.4,0.9,2.7,6.9,2.7,0.393,5.5,0.496,0.877
16,Carmelo Anthony,PF,28,NYK,67,67,37.0,10.0,22.2,0.449,2.3,6.2,0.379,7.6,16.0,0.476,0.502,6.3,7.6,0.83,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7,55.0,646,9,2011-12,22.6,6.3,3.6,1.1,0.4,34.1,55.0,18.6,8.0,2.6,1.2,3.7,6.8,0.335,14.9,0.454,0.804
17,Joel Anthony,C,30,MIA,62,3,9.1,0.6,1.1,0.515,0.0,0.0,,0.6,1.1,0.515,0.515,0.3,0.5,0.607,0.7,1.1,1.9,0.2,0.2,0.7,0.4,0.8,1.4,64.0,308,4,2011-12,3.4,3.9,0.1,0.6,1.3,21.1,64.0,2.4,1.3,0.7,0.0,0.0,1.3,,2.4,0.559,0.69
18,Trevor Ariza,SF,27,WAS,56,15,26.3,3.4,8.1,0.417,1.4,3.7,0.364,2.0,4.3,0.463,0.501,1.4,1.7,0.821,0.8,4.0,4.8,2.0,1.3,0.4,1.5,1.3,9.5,41.0,499,7,2011-12,10.8,5.2,3.3,1.7,0.6,32.9,41.0,9.8,4.1,1.9,0.7,2.1,3.4,0.333,7.7,0.44,0.775
19,Darrell Arthur,PF,24,MEM,59,3,16.4,2.7,6.1,0.451,0.1,0.3,0.278,2.7,5.8,0.46,0.458,0.6,0.8,0.717,1.2,1.7,2.9,0.6,0.4,0.6,0.7,2.1,6.1,0.0,188,2,2010-11,9.1,4.3,0.7,0.7,0.8,20.1,80.0,7.8,3.9,1.1,0.0,0.1,3.9,0.0,7.7,0.502,0.813
20,Ömer Aşık,C,26,HOU,82,82,30.0,4.0,7.5,0.541,0.0,0.0,0.0,4.0,7.5,0.542,0.541,2.0,3.6,0.562,3.4,8.3,11.7,0.9,0.6,1.1,2.1,2.7,10.1,66.0,148,2,2011-12,3.1,5.3,0.5,0.5,1.0,14.7,66.0,2.4,1.2,1.0,0.0,0.0,1.2,,2.4,0.506,0.456
21,D.J. Augustin,PG,25,IND,76,5,16.1,1.4,3.9,0.35,0.9,2.5,0.353,0.5,1.4,0.346,0.464,1.1,1.3,0.838,0.3,0.9,1.2,2.2,0.4,0.0,0.9,0.8,4.7,48.0,282,4,2011-12,11.1,2.3,6.4,0.8,0.0,29.3,48.0,10.1,3.8,2.3,1.3,3.7,2.5,0.341,6.4,0.396,0.875
22,Gustavo Ayón,C,27,TOT,55,3,13.3,1.7,3.0,0.551,0.0,0.0,,1.7,3.0,0.551,0.551,0.4,0.9,0.4,1.1,2.5,3.6,1.3,0.4,0.3,0.9,1.9,3.7,54.0,54,1,2011-12,5.9,4.9,1.4,1.0,0.9,20.1,54.0,4.8,2.6,0.9,0.0,0.0,2.6,0.0,4.8,0.538,0.619
22,Gustavo Ayón,C,27,ORL,43,3,13.3,1.6,2.9,0.536,0.0,0.0,,1.6,2.9,0.536,0.536,0.4,0.9,0.5,0.9,2.3,3.3,1.4,0.3,0.3,0.9,1.9,3.6,54.0,54,1,2011-12,5.9,4.9,1.4,1.0,0.9,20.1,54.0,4.8,2.6,0.9,0.0,0.0,2.6,0.0,4.8,0.538,0.619
22,Gustavo Ayón,C,27,MIL,12,0,13.6,2.1,3.5,0.595,0.0,0.0,,2.1,3.5,0.595,0.595,0.1,1.0,0.083,1.7,3.3,4.9,1.0,0.8,0.3,0.8,2.0,4.3,54.0,54,1,2011-12,5.9,4.9,1.4,1.0,0.9,20.1,54.0,4.8,2.6,0.9,0.0,0.0,2.6,0.0,4.8,0.538,0.619
23,Jeff Ayres,PF,25,IND,37,0,10.0,1.6,3.4,0.484,0.1,0.1,0.5,1.6,3.3,0.484,0.492,0.6,0.6,0.913,0.8,2.0,2.8,0.4,0.2,0.3,0.6,1.2,3.9,20.0,59,1,2009-10,2.7,2.5,0.0,0.2,0.4,10.4,39.0,1.7,1.1,0.3,0.0,0.0,1.1,,1.7,0.662,0.9
24,Luke Babbitt,PF,23,POR,62,0,11.8,1.4,3.8,0.368,1.0,2.9,0.348,0.4,0.9,0.429,0.5,0.2,0.2,0.769,0.2,2.0,2.2,0.5,0.2,0.1,0.4,1.3,3.9,40.0,64,1,2011-12,5.1,2.4,0.4,0.3,0.1,13.4,40.0,4.3,1.8,0.7,1.1,2.5,0.7,0.43,1.8,0.384,0.85
25,Leandro Barbosa,PG,30,BOS,41,2,12.5,2.0,4.7,0.43,0.4,1.1,0.383,1.6,3.6,0.445,0.477,0.8,1.0,0.756,0.2,0.9,1.1,1.4,0.4,0.1,0.5,1.2,5.2,64.0,588,9,2011-12,11.1,2.0,1.5,0.9,0.1,21.6,64.0,10.0,4.2,1.5,1.0,2.7,3.2,0.382,7.3,0.441,0.815
26,J.J. Barea,PG,28,MIN,74,2,23.1,4.3,10.2,0.417,1.3,3.8,0.346,3.0,6.5,0.458,0.481,1.4,1.8,0.784,0.5,2.3,2.8,4.0,0.4,0.0,2.0,1.8,11.3,41.0,356,5,2011-12,11.3,2.8,5.7,0.5,0.0,25.2,41.0,10.2,4.1,2.5,1.3,3.5,2.8,0.371,6.7,0.415,0.776
27,Andrea Bargnani,PF,27,TOR,35,25,28.7,4.9,12.2,0.399,1.1,3.5,0.309,3.8,8.7,0.436,0.444,1.9,2.2,0.844,0.7,2.9,3.7,1.1,0.6,0.7,1.5,1.8,12.7,31.0,398,5,2010-11,21.4,5.2,1.8,0.5,0.7,35.7,66.0,17.8,8.0,2.3,1.2,3.4,6.8,0.345,14.4,0.472,0.82
28,Harrison Barnes,SF,20,GSW,81,81,25.4,3.4,7.8,0.439,0.6,1.8,0.359,2.8,6.0,0.464,0.481,1.8,2.3,0.758,0.7,3.5,4.1,1.2,0.6,0.2,1.2,1.7,9.2,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Matt Barnes,SF,32,LAC,80,4,25.7,3.9,8.4,0.462,1.4,4.1,0.342,2.5,4.4,0.574,0.544,1.1,1.5,0.744,1.4,3.2,4.6,1.5,1.0,0.8,1.1,2.9,10.3,63.0,560,9,2011-12,7.8,5.5,2.0,0.6,0.8,22.9,63.0,6.1,2.8,1.2,0.7,2.2,2.0,0.333,4.0,0.518,0.742
30,Earl Barron,C,31,TOT,12,2,13.3,1.5,4.3,0.353,0.0,0.0,,1.5,4.3,0.353,0.353,0.3,0.6,0.429,1.8,3.3,5.1,0.4,0.4,0.5,0.9,2.0,3.3,2.0,112,1,2007-08,7.1,4.3,0.6,0.4,0.2,19.3,46.0,7.1,2.9,1.0,0.0,0.3,2.8,0.077,6.8,0.417,0.701
30,Earl Barron,C,31,WAS,11,1,11.1,1.2,3.4,0.351,0.0,0.0,,1.2,3.4,0.351,0.351,0.2,0.5,0.4,1.5,2.5,3.9,0.3,0.5,0.5,0.9,2.1,2.5,2.0,112,1,2007-08,7.1,4.3,0.6,0.4,0.2,19.3,46.0,7.1,2.9,1.0,0.0,0.3,2.8,0.077,6.8,0.417,0.701
30,Earl Barron,C,31,NYK,1,1,37.0,5.0,14.0,0.357,0.0,0.0,,5.0,14.0,0.357,0.357,1.0,2.0,0.5,6.0,12.0,18.0,2.0,0.0,1.0,1.0,1.0,11.0,2.0,112,1,2007-08,7.1,4.3,0.6,0.4,0.2,19.3,46.0,7.1,2.9,1.0,0.0,0.3,2.8,0.077,6.8,0.417,0.701
31,Will Barton,SG,22,POR,73,5,12.2,1.6,4.2,0.382,0.1,0.9,0.138,1.5,3.3,0.447,0.396,0.7,0.9,0.769,0.5,1.5,2.0,0.8,0.5,0.1,0.8,0.8,4.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Brandon Bass,PF,27,BOS,81,69,27.6,3.5,7.3,0.486,0.0,0.0,0.0,3.5,7.2,0.487,0.486,1.6,1.9,0.86,1.6,3.7,5.2,1.0,0.5,0.8,1.0,2.3,8.7,59.0,395,5,2011-12,12.5,6.2,0.9,0.6,0.9,31.7,59.0,10.7,5.1,1.1,0.0,0.0,5.1,,10.7,0.479,0.81
33,Shane Battier,SF,34,MIA,72,20,24.8,2.1,5.0,0.42,1.9,4.4,0.43,0.2,0.6,0.348,0.608,0.4,0.5,0.842,0.5,1.8,2.3,1.0,0.6,0.8,0.5,2.1,6.6,65.0,832,11,2011-12,4.8,2.4,1.3,1.0,0.5,23.1,65.0,4.5,1.7,0.6,1.0,2.8,0.8,0.339,1.7,0.468,0.622
34,Nicolas Batum,SF,24,POR,73,73,38.5,4.8,11.4,0.423,2.3,6.1,0.372,2.6,5.3,0.481,0.522,2.4,2.9,0.848,1.3,4.3,5.6,4.9,1.2,1.1,2.6,1.9,14.3,59.0,255,4,2011-12,13.9,4.6,1.4,1.0,1.0,30.4,59.0,10.9,4.9,1.5,1.8,4.6,3.1,0.391,6.2,0.496,0.836
35,Jerryd Bayless,PG,24,MEM,80,4,22.1,3.3,7.8,0.419,0.9,2.5,0.353,2.4,5.3,0.45,0.476,1.3,1.5,0.836,0.3,1.9,2.2,3.3,0.7,0.2,1.5,2.1,8.7,31.0,229,3,2010-11,9.2,2.3,3.7,0.5,0.1,21.1,71.0,7.3,3.1,1.8,0.7,2.1,2.4,0.336,5.2,0.456,0.806
36,Aron Baynes,C,26,SAS,16,0,8.8,1.1,2.3,0.5,0.0,0.1,0.0,1.1,2.2,0.514,0.5,0.4,0.8,0.583,0.8,1.3,2.0,0.3,0.1,0.4,0.7,1.4,2.7,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Kent Bazemore,SG,23,GSW,61,0,4.4,0.7,1.9,0.371,0.2,0.6,0.294,0.5,1.3,0.402,0.414,0.4,0.7,0.614,0.1,0.3,0.4,0.4,0.3,0.1,0.3,0.4,2.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Bradley Beal,SG,19,WAS,56,46,31.2,5.0,12.3,0.41,1.6,4.2,0.386,3.4,8.1,0.424,0.477,2.2,2.8,0.786,0.8,3.0,3.8,2.4,0.9,0.5,1.6,2.0,13.9,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Michael Beasley,SF,24,PHO,75,20,20.7,4.1,10.2,0.405,0.6,1.9,0.313,3.5,8.3,0.426,0.434,1.3,1.7,0.746,0.7,3.1,3.8,1.5,0.4,0.5,1.9,1.4,10.1,47.0,279,4,2011-12,11.5,4.4,1.0,0.4,0.4,23.1,47.0,10.6,4.7,1.7,0.8,2.1,3.9,0.376,8.4,0.462,0.642
40,Rodrigue Beaubois,PG,24,DAL,45,0,12.2,1.4,3.9,0.369,0.5,1.6,0.292,1.0,2.3,0.423,0.429,0.7,0.8,0.789,0.2,1.1,1.3,1.9,0.4,0.1,0.7,1.2,4.0,53.0,137,2,2011-12,8.9,2.8,2.9,1.1,0.5,21.7,53.0,8.4,3.5,1.3,0.7,2.5,2.8,0.288,5.9,0.479,0.841
41,Marco Belinelli,SG,26,CHI,73,27,25.8,3.3,8.4,0.395,1.1,3.0,0.357,2.2,5.3,0.416,0.46,1.9,2.3,0.839,0.2,1.7,1.9,2.0,0.6,0.1,1.1,1.9,9.6,66.0,287,4,2011-12,11.8,2.6,1.5,0.7,0.1,29.8,66.0,10.4,4.3,1.0,1.6,4.3,2.7,0.377,6.1,0.445,0.783
42,Patrick Beverley,PG,24,HOU,41,0,17.4,1.9,4.6,0.418,0.9,2.3,0.375,1.0,2.3,0.462,0.513,0.8,1.0,0.829,1.1,1.6,2.7,2.9,0.9,0.5,1.1,2.0,5.6,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Andris Biedriņš,C,26,GSW,53,9,9.3,0.2,0.4,0.476,0.0,0.0,,0.2,0.4,0.476,0.476,0.1,0.2,0.308,0.6,2.2,2.9,0.3,0.3,0.8,0.3,1.9,0.5,47.0,457,6,2011-12,1.7,3.7,0.3,0.5,1.0,15.7,47.0,1.4,0.8,0.3,0.0,0.0,0.8,,1.4,0.609,0.111
44,Chauncey Billups,SG,36,LAC,22,22,19.0,2.4,6.0,0.402,1.5,4.1,0.367,0.9,1.9,0.476,0.527,2.0,2.2,0.938,0.1,1.4,1.5,2.2,0.5,0.0,1.2,1.1,8.4,20.0,787,10,2010-11,16.8,2.6,5.4,1.0,0.2,32.1,72.0,11.0,4.7,2.5,2.0,5.0,2.7,0.402,6.0,0.448,0.916
45,Bismack Biyombo,C,20,CHA,80,65,27.3,2.0,4.3,0.451,0.0,0.0,,2.0,4.3,0.451,0.451,0.9,1.8,0.521,2.4,4.9,7.3,0.4,0.4,1.8,1.0,2.4,4.8,63.0,63,1,2011-12,5.2,5.8,0.4,0.3,1.8,23.1,63.0,4.4,2.0,1.1,0.0,0.0,2.0,,4.4,0.464,0.483
46,DeJuan Blair,PF,23,SAS,61,16,14.0,2.3,4.4,0.524,0.0,0.0,0.0,2.3,4.4,0.526,0.524,0.7,1.1,0.629,1.1,2.7,3.8,0.7,0.6,0.2,0.8,1.8,5.4,64.0,227,3,2011-12,9.5,5.5,1.2,0.9,0.2,21.3,64.0,7.9,4.2,1.4,0.0,0.0,4.2,0.0,7.9,0.535,0.613
47,Steve Blake,PG,32,LAL,45,13,26.1,2.5,6.0,0.422,1.6,3.8,0.421,0.9,2.2,0.424,0.556,0.6,0.8,0.771,0.5,2.5,2.9,3.8,0.8,0.1,1.4,1.8,7.3,53.0,631,9,2011-12,5.2,1.6,3.3,0.7,0.0,23.3,53.0,5.1,1.9,1.4,1.0,3.0,0.9,0.335,2.1,0.436,0.778
48,Andray Blatche,C,26,BRK,82,8,19.0,4.2,8.2,0.512,0.0,0.3,0.136,4.2,8.0,0.524,0.514,1.8,2.6,0.685,2.0,3.1,5.1,1.0,1.0,0.7,1.5,2.0,10.3,26.0,409,5,2010-11,16.8,8.2,2.3,1.5,0.8,33.9,64.0,15.0,6.7,2.7,0.1,0.3,6.6,0.222,14.7,0.449,0.777
49,Eric Bledsoe,PG,23,LAC,76,12,20.4,3.3,7.5,0.445,0.4,1.0,0.397,2.9,6.4,0.453,0.473,1.4,1.8,0.791,1.0,1.9,3.0,3.1,1.4,0.7,1.8,1.5,8.5,40.0,121,2,2011-12,3.3,1.6,1.7,0.8,0.4,11.6,40.0,3.2,1.2,1.2,0.2,0.8,1.1,0.2,2.4,0.448,0.636
50,Keith Bogans,SG,32,BRK,74,23,19.0,1.5,3.8,0.38,1.1,3.3,0.343,0.3,0.5,0.615,0.528,0.1,0.2,0.647,0.2,1.4,1.6,1.0,0.4,0.1,0.7,1.5,4.2,5.0,591,8,2010-11,4.4,1.8,1.2,0.5,0.1,17.8,82.0,3.7,1.5,0.5,1.1,2.9,0.4,0.38,0.9,0.486,0.656
51,Andrew Bogut,C,28,GSW,32,32,24.6,2.6,5.8,0.451,0.0,0.0,1.0,2.6,5.7,0.448,0.454,0.6,1.2,0.5,2.1,5.5,7.7,2.1,0.6,1.7,1.1,2.7,5.8,12.0,408,6,2010-11,12.8,11.1,2.0,0.7,2.6,35.3,65.0,11.4,5.6,1.9,0.0,0.1,5.6,0.0,11.4,0.497,0.442
52,Matt Bonner,PF,32,SAS,68,4,13.4,1.6,3.4,0.487,0.8,1.8,0.442,0.9,1.6,0.536,0.602,0.2,0.2,0.733,0.4,1.5,1.9,0.5,0.3,0.3,0.2,1.3,4.2,65.0,561,8,2011-12,6.6,3.3,0.9,0.2,0.3,20.4,65.0,5.4,2.4,0.2,1.6,3.8,0.8,0.42,1.5,0.49,0.762
53,Trevor Booker,PF,25,WAS,48,14,18.5,2.3,4.6,0.491,0.0,0.1,0.0,2.3,4.5,0.502,0.491,0.8,1.5,0.556,2.0,2.9,5.0,0.8,0.7,0.3,0.6,2.0,5.3,50.0,115,2,2011-12,8.4,6.5,0.8,1.0,0.9,25.2,50.0,6.8,3.6,1.2,0.0,0.0,3.6,0.5,6.8,0.531,0.602
54,Carlos Boozer,PF,31,CHI,79,79,32.2,6.9,14.4,0.477,0.0,0.0,0.0,6.9,14.4,0.478,0.477,2.4,3.3,0.731,2.2,7.5,9.8,2.3,0.8,0.4,2.2,3.0,16.2,66.0,635,9,2011-12,15.0,8.5,1.9,1.0,0.4,29.5,66.0,12.8,6.8,1.7,0.0,0.0,6.8,0.0,12.7,0.533,0.693
55,Chris Bosh,C,28,MIA,74,74,33.2,6.6,12.3,0.535,0.3,1.0,0.284,6.3,11.3,0.557,0.546,3.3,4.1,0.798,1.8,5.0,6.8,1.7,0.9,1.4,1.7,2.3,16.6,57.0,643,9,2011-12,18.0,7.9,1.8,0.9,0.8,35.2,57.0,14.2,6.9,2.1,0.2,0.6,6.7,0.286,13.5,0.496,0.821
56,Avery Bradley,PG,22,BOS,50,50,28.7,3.8,9.6,0.402,0.8,2.5,0.317,3.0,7.0,0.432,0.444,0.7,1.0,0.755,0.6,1.6,2.2,2.1,1.3,0.4,1.4,2.6,9.2,64.0,95,1,2011-12,7.6,1.8,1.4,0.7,0.2,21.4,64.0,6.3,3.1,1.2,0.3,0.8,2.8,0.407,5.4,0.511,0.795
57,Elton Brand,C,33,DAL,72,18,21.2,3.1,6.6,0.473,0.0,0.0,0.0,3.1,6.6,0.474,0.473,0.9,1.3,0.71,1.8,4.2,6.0,1.0,0.7,1.3,0.8,2.7,7.2,60.0,705,9,2011-12,11.0,7.2,1.6,1.0,1.6,28.9,60.0,9.7,4.8,1.1,0.0,0.0,4.8,0.0,9.7,0.495,0.733
58,Corey Brewer,SF,26,DEN,82,2,24.4,4.6,10.8,0.425,1.1,3.7,0.296,3.5,7.0,0.493,0.476,1.8,2.6,0.69,0.7,2.2,2.9,1.5,1.4,0.3,1.2,1.9,12.1,59.0,304,4,2011-12,8.9,2.5,1.5,1.2,0.3,21.8,59.0,7.8,3.4,0.9,0.6,2.2,2.8,0.26,5.7,0.5,0.692
