Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%
1,Precious Achiuwa,C,22,TOR,73,28,23.6,3.6,8.3,0.439,0.8,2.1,0.359,2.9,6.1,0.468,0.486,1.1,1.8,0.595,2.0,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1,61.0,61,1,2020-21,5.0,3.4,0.5,0.3,0.5,12.1,61.0,3.7,2.0,0.7,0.0,0.0,2.0,0.0,3.7,0.546,0.509
2,Steven Adams,C,28,MEM,76,75,26.3,2.8,5.1,0.547,0.0,0.0,0.0,2.8,5.0,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10.0,3.4,0.9,0.8,1.5,2.0,6.9,58.0,588,8,2020-21,7.6,8.9,1.9,0.9,0.7,27.7,58.0,5.3,3.3,1.3,0.0,0.1,3.3,0.0,5.3,0.62,0.444
3,Bam Adebayo,C,24,MIA,56,56,32.6,7.3,13.0,0.557,0.0,0.1,0.0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,64.0,287,4,2020-21,18.7,9.0,5.4,1.2,1.0,33.5,64.0,12.5,7.1,2.6,0.0,0.1,7.1,0.25,12.4,0.573,0.799
4,Santi Aldama,PF,21,MEM,32,0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,1.5,2.6,0.56,0.424,0.6,1.0,0.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,LaMarcus Aldridge,C,36,BRK,47,12,22.3,5.4,9.7,0.55,0.3,1.0,0.304,5.1,8.8,0.578,0.566,1.9,2.2,0.873,1.6,3.9,5.5,0.9,0.3,1.0,0.9,1.7,12.9,26.0,1029,14,2019-20,18.9,7.4,2.4,0.7,1.6,33.1,53.0,15.0,7.4,1.4,1.2,3.0,6.2,0.389,12.0,0.519,0.827
6,Nickeil Alexander-Walker,SG,23,TOT,65,21,22.6,3.9,10.5,0.372,1.6,5.2,0.311,2.3,5.3,0.433,0.449,1.2,1.7,0.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6,46.0,93,2,2020-21,11.0,3.1,2.2,1.0,0.5,21.9,46.0,10.0,4.2,1.5,1.7,4.8,2.5,0.347,5.2,0.485,0.727
6,Nickeil Alexander-Walker,SG,23,NOP,50,19,26.3,4.7,12.6,0.375,1.9,6.1,0.311,2.8,6.5,0.434,0.45,1.4,1.9,0.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8,46.0,93,2,2020-21,11.0,3.1,2.2,1.0,0.5,21.9,46.0,10.0,4.2,1.5,1.7,4.8,2.5,0.347,5.2,0.485,0.727
6,Nickeil Alexander-Walker,SG,23,UTA,15,2,9.9,1.1,3.2,0.333,0.7,2.2,0.303,0.4,1.0,0.4,0.438,0.7,0.8,0.917,0.1,1.5,1.5,1.1,0.3,0.3,0.5,1.0,3.5,46.0,93,2,2020-21,11.0,3.1,2.2,1.0,0.5,21.9,46.0,10.0,4.2,1.5,1.7,4.8,2.5,0.347,5.2,0.485,0.727
7,Grayson Allen,SG,26,MIL,66,61,27.3,3.9,8.6,0.448,2.4,5.9,0.409,1.5,2.7,0.533,0.588,1.0,1.1,0.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1,50.0,126,3,2020-21,10.6,3.2,2.2,0.9,0.2,25.2,50.0,8.3,3.5,1.0,2.1,5.5,1.3,0.391,2.8,0.471,0.868
8,Jarrett Allen,C,23,CLE,56,56,32.3,6.6,9.7,0.677,0.0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1,63.0,285,4,2020-21,12.8,10.0,1.7,0.5,1.4,29.6,63.0,7.7,4.7,1.6,0.1,0.3,4.6,0.316,7.3,0.631,0.703
