Rk,Team,Overall
1,Washington Mystics,16-18
2,Connecticut Sun,18-16
3,Indiana Fever,21-13
4,Detroit Shock,24-10
5,Houston Comets,13-21
6,Los Angeles Sparks,10-24
7,Minnesota Lynx,10-24
8,San Antonio Stars,20-14
9,New York Liberty,16-18
10,Chicago Sky,14-20
11,Phoenix Mercury,23-11
12,Sacramento Monarchs,19-15
13,Seattle Storm,17-17
