Rk,Team,Overall
1,Connecticut Sun,26-8
2,Charlotte Sting,6-28
3,Houston Comets,19-15
4,Los Angeles Sparks,17-17
5,Indiana Fever,21-13
6,New York Liberty,18-16
7,Sacramento Monarchs,25-9
8,Minnesota Lynx,14-20
9,Seattle Storm,20-14
10,Phoenix Mercury,16-18
11,Washington Mystics,16-18
12,Detroit Shock,16-18
13,San Antonio Stars,7-27
