Rk,Team,Overall
1,Detroit Shock,23-11
2,Connecticut Sun,26-8
3,Chicago Sky,5-29
4,Indiana Fever,21-13
5,Los Angeles Sparks,25-9
6,Minnesota Lynx,10-24
7,New York Liberty,11-23
8,Washington Mystics,18-16
9,Phoenix Mercury,18-16
10,Sacramento Monarchs,21-13
11,Charlotte Sting,11-23
12,Houston Comets,18-16
13,Seattle Storm,18-16
14,San Antonio Stars,13-21
