Rk,Team,Overall
1,Washington Mystics,9-13
2,Atlanta Dream,7-15
3,Dallas Wings,8-14
4,New York Liberty,2-20
5,Las Vegas Aces,18-4
6,Seattle Storm,18-4
7,Minnesota Lynx,14-8
8,Indiana Fever,6-16
9,Los Angeles Sparks,15-7
10,Connecticut Sun,10-12
11,Chicago Sky,12-10
12,Phoenix Mercury,13-9
