Rk,Team,Overall
1,Washington Mystics,22-12
2,Atlanta Dream,19-15
3,Minnesota Lynx,13-21
4,Indiana Fever,21-13
5,New York Liberty,22-12
6,Connecticut Sun,17-17
7,San Antonio Stars,14-20
8,Phoenix Mercury,15-19
9,Seattle Storm,28-6
10,Los Angeles Sparks,13-21
11,Tulsa Shock,6-28
12,Chicago Sky,14-20
