Rk,Team,Overall
1,Dallas Wings,22-18
2,Atlanta Dream,19-21
3,Chicago Sky,18-22
4,Connecticut Sun,27-13
5,Indiana Fever,13-27
6,Minnesota Lynx,19-21
7,Las Vegas Aces,34-6
8,Phoenix Mercury,9-31
9,Washington Mystics,19-21
10,New York Liberty,32-8
11,Los Angeles Sparks,17-23
12,Seattle Storm,11-29
