Rk,Team,Overall
1,Connecticut Sun,10-24
2,Indiana Fever,16-18
3,Los Angeles Sparks,24-10
4,Phoenix Mercury,19-15
5,San Antonio Stars,12-22
6,Atlanta Dream,17-17
7,Washington Mystics,17-17
8,New York Liberty,11-23
9,Minnesota Lynx,26-8
10,Chicago Sky,24-10
11,Seattle Storm,17-17
12,Tulsa Shock,11-23
