Rk,Team,Overall
1,Connecticut Sun,18-16
2,Indiana Fever,15-19
3,Detroit Shock,17-17
4,Charlotte Sting,16-18
5,New York Liberty,18-16
6,Washington Mystics,17-17
7,Phoenix Mercury,17-17
8,Houston Comets,13-21
9,Sacramento Monarchs,18-16
10,Minnesota Lynx,18-16
11,Los Angeles Sparks,25-9
12,Seattle Storm,20-14
13,San Antonio Stars,9-25
