Rk,Team,Overall
1,Indiana Fever,6-28
2,Chicago Sky,13-21
3,Connecticut Sun,21-13
4,Los Angeles Sparks,19-15
5,Atlanta Dream,23-11
6,Las Vegas Aces,14-19
7,Minnesota Lynx,18-16
8,Washington Mystics,21-12
9,Phoenix Mercury,20-14
10,New York Liberty,7-27
11,Seattle Storm,26-8
12,Dallas Wings,15-19
