Rk,Team,Overall
1,New York Liberty,10-24
2,Atlanta Dream,8-26
3,Seattle Storm,18-16
4,Dallas Wings,10-24
5,Indiana Fever,13-21
6,Connecticut Sun,23-11
7,Los Angeles Sparks,22-12
8,Minnesota Lynx,18-16
9,Las Vegas Aces,21-13
10,Phoenix Mercury,15-19
11,Washington Mystics,26-8
12,Chicago Sky,20-14
