Rk,Team,Overall
1,Indiana Fever,17-17
2,Dallas Wings,11-23
3,Phoenix Mercury,16-18
4,San Antonio Stars,7-27
5,Seattle Storm,16-18
6,Chicago Sky,18-16
7,Connecticut Sun,14-20
8,Washington Mystics,13-21
9,Minnesota Lynx,28-6
10,Atlanta Dream,17-17
11,New York Liberty,21-13
12,Los Angeles Sparks,26-8
