Rk,Team,Overall
1,San Antonio Stars,16-18
2,Chicago Sky,15-19
3,Connecticut Sun,13-21
4,Atlanta Dream,19-15
5,New York Liberty,15-19
6,Indiana Fever,16-18
7,Phoenix Mercury,29-5
8,Seattle Storm,12-22
9,Minnesota Lynx,25-9
10,Tulsa Shock,12-22
11,Los Angeles Sparks,16-18
12,Washington Mystics,16-18
