Rk,Team,Overall
1,Connecticut Sun,21-13
2,New York Liberty,19-15
3,Atlanta Dream,20-14
4,Indiana Fever,21-13
5,Minnesota Lynx,27-7
6,Phoenix Mercury,19-15
7,Seattle Storm,21-13
8,Chicago Sky,14-20
9,San Antonio Stars,18-16
10,Tulsa Shock,3-31
11,Los Angeles Sparks,15-19
12,Washington Mystics,6-28
