Rk,Team,Overall
1,Connecticut Sun,25-9
2,Atlanta Dream,19-15
3,Indiana Fever,22-12
4,Tulsa Shock,9-25
5,Seattle Storm,16-18
6,Phoenix Mercury,7-27
7,San Antonio Stars,21-13
8,Minnesota Lynx,27-7
9,Chicago Sky,14-20
10,Washington Mystics,5-29
11,New York Liberty,15-19
12,Los Angeles Sparks,24-10
