Rk,Team,Overall
1,Chicago Sky,16-16
2,Indiana Fever,6-26
3,Connecticut Sun,26-6
4,Atlanta Dream,8-24
5,Dallas Wings,14-18
6,Los Angeles Sparks,12-20
7,Las Vegas Aces,24-8
8,Phoenix Mercury,19-13
9,Minnesota Lynx,22-10
10,Washington Mystics,12-20
11,New York Liberty,12-20
12,Seattle Storm,21-11
