Rk,Team,Overall
1,Connecticut Sun,25-11
2,Minnesota Lynx,14-22
3,Dallas Wings,18-18
4,Los Angeles Sparks,13-23
5,Las Vegas Aces,26-10
6,Seattle Storm,22-14
7,New York Liberty,16-20
8,Atlanta Dream,14-22
9,Chicago Sky,26-10
10,Phoenix Mercury,15-21
11,Washington Mystics,22-14
12,Indiana Fever,5-31
