Rk,Team,Overall
1,Houston Comets,17-17
2,Sacramento Monarchs,18-16
3,Chicago Sky,12-22
4,Indiana Fever,17-17
5,Phoenix Mercury,16-18
6,Los Angeles Sparks,20-14
7,Seattle Storm,22-12
8,Detroit Shock,22-12
9,New York Liberty,19-15
10,Minnesota Lynx,16-18
11,Washington Mystics,10-24
12,Connecticut Sun,21-13
13,San Antonio Stars,24-10
14,Atlanta Dream,4-30
