Rk,Team,Overall
1,Connecticut Sun,15-19
2,Chicago Sky,21-13
3,Indiana Fever,20-14
4,New York Liberty,23-11
5,San Antonio Stars,8-26
6,Seattle Storm,10-24
7,Tulsa Shock,18-16
8,Phoenix Mercury,20-14
9,Atlanta Dream,15-19
10,Washington Mystics,18-16
11,Los Angeles Sparks,14-20
12,Minnesota Lynx,22-12
