Rk,Team,Overall
1,Seattle Storm,15-19
2,Chicago Sky,12-22
3,New York Liberty,22-12
4,Dallas Wings,16-18
5,Los Angeles Sparks,26-8
6,Connecticut Sun,21-13
7,Minnesota Lynx,27-7
8,Washington Mystics,18-16
9,Phoenix Mercury,18-16
10,Atlanta Dream,12-22
11,San Antonio Stars,8-26
12,Indiana Fever,9-25
