Player,Age,G,MP_PERGAME,FG_PERGAME,FGA_PERGAME,FG%_PERGAME,3P_PERGAME,3PA_PERGAME,3P%_PERGAME,2P_PERGAME,2PA_PERGAME,2P%_PERGAME,FT_PERGAME,FT%_PERGAME,ORB_PERGAME,DRB_PERGAME,TRB_PERGAME,AST_PERGAME,BLK_PERGAME,TOV_PERGAME,PTS_PERGAME,G_prev,Seasons Played,Season,PER_ADVANCED,AST%_ADVANCED,USG%_ADVANCED,OWS_ADVANCED,WS_ADVANCED,WS/48_ADVANCED,BPM_ADVANCED,VORP_ADVANCED,G_diff,GS_diff,MP_diff,FG_diff,FGA_diff,3P_diff,3PA_diff,2P_diff,2PA_diff,FT_diff,FTA_diff,DRB_diff,TRB_diff,AST_diff,BLK_diff,TOV_diff,PTS_diff,PTS_diff_BS,PER_diff,AST%_diff,USG%_diff,OWS_diff,STL%_diff,BLK%_diff,3PAr_diff,ORB%_diff,OBPM_diff,DBPM_diff,DWS_diff,WS_diff,WS/48_diff,BPM_diff,VORP_diff,Seed,Previous Seed,Seed Difference,PCT,MIP Rank,MIP Share
Baron Davis,27,63,35.3,7.2,16.3,0.439,1.3,4.4,0.304,5.8,11.9,0.489,4.4,0.745,0.8,3.6,4.4,8.1,0.5,3.1,20.1,54.0,5,2006-07,21.0,36.9,26.5,4.1,6.4,0.139,3.6,3.2,9.0,14.0,-1.2000000000000028,1.0,0.40000000000000036,-0.5999999999999999,-1.5999999999999996,1.5,2.0,0.8000000000000003,0.5,0.10000000000000009,0.0,-0.8000000000000007,0.2,0.20000000000000018,2.200000000000003,-2.799999999999997,2.6999999999999993,-5.700000000000003,0.6000000000000014,1.6999999999999997,0.6000000000000001,0.5,-0.10399999999999998,0.0,0.30000000000000027,0.7,0.2999999999999998,2.0,0.033000000000000015,1.0,0.9000000000000004,12.0,22.0,10.0,0.5121951219512195,0,0.0
Luol Deng,21,82,37.5,7.7,14.9,0.517,0.0,0.1,0.143,7.7,14.8,0.519,3.4,0.777,1.8,5.3,7.1,2.5,0.6,1.9,18.8,78.0,2,2006-07,18.7,11.8,22.2,5.7,11.3,0.176,3.0,3.9,4.0,26.0,4.100000000000001,2.0,2.700000000000001,-0.3,-0.9,2.3,3.6000000000000014,0.6999999999999997,0.9000000000000004,0.2999999999999998,0.5,0.6000000000000001,0.0,0.5999999999999999,4.5,4.5,2.8999999999999986,2.1000000000000014,1.8000000000000007,3.0,0.20000000000000018,-0.30000000000000004,-0.076,-0.09999999999999964,0.8999999999999999,0.4,1.7999999999999998,4.800000000000001,0.055999999999999994,1.4,1.5,8.0,14.0,6.0,0.5975609756097561,7,0.068
Tim Duncan,30,80,34.1,7.7,14.1,0.546,0.0,0.1,0.111,7.7,14.0,0.55,4.5,0.637,2.7,7.9,10.6,3.4,2.4,2.8,20.0,80.0,5,2006-07,26.1,18.8,27.9,6.3,13.0,0.23,7.0,6.2,0.0,0.0,-0.6999999999999957,0.5,-0.7000000000000011,0.0,0.0,0.5,-0.8000000000000007,0.2999999999999998,0.39999999999999947,-0.1999999999999993,-0.40000000000000036,0.19999999999999973,0.3999999999999999,0.2999999999999998,1.3999999999999986,20.0,3.0,2.3000000000000007,0.1999999999999993,2.4,-0.09999999999999987,0.8999999999999995,0.004,-0.29999999999999893,1.5,0.6000000000000001,-0.10000000000000053,2.1999999999999993,0.04300000000000001,2.0,1.2999999999999998,3.0,2.0,-1.0,0.7073170731707317,0,0.0
Monta Ellis,21,77,34.3,6.2,13.1,0.475,0.5,1.9,0.273,5.7,11.3,0.509,3.5,0.763,0.8,2.4,3.2,4.1,0.3,2.9,16.5,49.0,1,2006-07,15.0,18.8,22.4,2.0,4.0,0.072,-1.1,0.6,28.0,50.0,16.199999999999996,3.5,6.6,-0.09999999999999998,0.19999999999999996,3.6,6.500000000000001,2.6,3.3999999999999995,0.7,1.1,2.4999999999999996,0.09999999999999998,1.7,9.7,9.7,3.9000000000000004,3.9000000000000004,2.1999999999999993,2.3,0.5,-0.30000000000000004,-0.11600000000000002,-0.20000000000000018,0.9999999999999999,-0.4,1.0999999999999999,3.5,0.044,0.5999999999999999,0.5,12.0,22.0,10.0,0.5121951219512195,1,0.546
Manu Ginóbili,29,75,27.5,5.3,11.4,0.464,1.7,4.3,0.396,3.6,7.1,0.505,4.3,0.86,0.8,3.6,4.4,3.5,0.4,2.1,16.5,65.0,4,2006-07,24.1,22.6,27.1,6.3,10.6,0.246,7.8,5.1,10.0,-20.0,-0.3999999999999986,0.5,1.0999999999999996,0.3999999999999999,1.0,0.10000000000000009,0.09999999999999964,0.0,-0.5,0.7000000000000002,0.9000000000000004,-0.10000000000000009,0.0,0.20000000000000018,1.4000000000000004,0.5,1.7000000000000028,0.40000000000000213,2.1000000000000014,1.2000000000000002,-0.20000000000000018,0.0,0.05399999999999999,0.8000000000000003,1.5,-0.5,0.5999999999999996,1.799999999999999,0.011999999999999983,1.0,1.0,3.0,2.0,-1.0,0.7073170731707317,0,0.0
Ben Gordon,23,82,33.0,7.4,16.3,0.455,1.9,4.6,0.413,5.5,11.7,0.471,4.6,0.864,0.4,2.7,3.1,3.6,0.2,3.0,21.4,80.0,2,2006-07,18.2,20.1,29.3,4.7,8.6,0.152,2.4,3.0,2.0,4.0,2.0,1.3000000000000007,1.9000000000000004,-0.20000000000000018,-0.20000000000000018,1.5,2.0999999999999996,1.9999999999999996,2.0000000000000004,0.5,0.3999999999999999,0.6000000000000001,0.1,0.7000000000000002,4.5,4.5,3.6999999999999993,2.8000000000000007,3.0,2.9000000000000004,-0.40000000000000013,0.3,-0.05199999999999999,-0.5,1.8,0.19999999999999998,1.2999999999999998,4.199999999999999,0.066,1.9,1.4,8.0,14.0,6.0,0.5975609756097561,21T,0.002
Dwight Howard,21,82,36.9,6.4,10.6,0.603,0.0,0.0,0.5,6.4,10.6,0.603,4.8,0.586,3.5,8.8,12.3,1.9,1.9,3.9,17.6,82.0,2,2006-07,21.1,9.5,22.7,3.9,9.7,0.154,2.8,3.7,0.0,1.0,0.10000000000000142,0.7000000000000002,-0.09999999999999964,0.0,0.0,0.7000000000000002,-0.09999999999999964,0.5,0.7999999999999998,-0.1999999999999993,-0.1999999999999993,0.3999999999999999,0.5,1.2999999999999998,1.8000000000000007,1.8000000000000007,1.8000000000000007,2.3,1.3999999999999986,-0.30000000000000027,0.0,1.2000000000000002,0.0,-0.29999999999999893,0.5999999999999999,1.2000000000000002,1.3999999999999995,1.0999999999999996,0.016999999999999987,1.7999999999999998,1.4000000000000004,16.0,20.0,4.0,0.4878048780487805,21T,0.002
Josh Howard,26,70,35.1,7.0,15.4,0.459,1.3,3.4,0.385,5.7,11.9,0.48,3.5,0.827,1.9,4.9,6.8,1.8,0.8,1.8,18.9,59.0,3,2006-07,20.0,9.2,25.2,5.0,8.8,0.173,3.1,3.2,11.0,11.0,2.6000000000000014,1.0999999999999996,2.8000000000000007,0.8,2.3,0.20000000000000018,0.40000000000000036,0.20000000000000018,-0.2999999999999998,0.7000000000000002,0.5,-0.09999999999999987,0.4,0.5,3.299999999999999,3.299999999999999,0.6999999999999993,-1.200000000000001,2.3000000000000007,0.5999999999999996,-0.09999999999999987,0.7,0.137,-1.4000000000000004,0.5,0.4,1.5,2.1000000000000005,0.004999999999999977,0.8999999999999999,1.2000000000000002,1.0,3.0,2.0,0.8170731707317073,12T,0.014
Andre Iguodala,23,76,40.3,5.8,13.0,0.447,0.6,2.0,0.31,5.2,11.0,0.472,5.9,0.82,1.0,4.7,5.7,5.7,0.4,3.4,18.2,82.0,2,2006-07,18.1,23.8,22.6,4.1,7.7,0.12,2.4,3.4,-6.0,-6.0,2.6999999999999957,1.5999999999999996,4.6,-0.09999999999999998,0.10000000000000009,1.7000000000000002,4.5,2.7,3.0,0.2999999999999998,-0.20000000000000018,2.6,0.10000000000000003,1.5,5.899999999999999,5.899999999999999,3.3000000000000007,10.9,7.900000000000002,-0.8000000000000007,0.30000000000000027,0.30000000000000004,-0.07400000000000001,-1.4000000000000004,1.1,0.7000000000000001,1.0,0.20000000000000018,0.00399999999999999,1.7999999999999998,1.4,20.0,19.0,-1.0,0.4268292682926829,9,0.022
Jarrett Jack,23,79,33.6,4.1,8.9,0.454,0.8,2.3,0.35,3.3,6.6,0.49,3.1,0.871,0.2,2.4,2.6,5.3,0.1,2.4,12.0,79.0,1,2006-07,14.5,26.2,18.0,3.8,4.8,0.087,-0.7,0.9,0.0,75.0,13.400000000000002,1.6999999999999997,3.5,0.5,1.2999999999999998,1.1999999999999997,2.0999999999999996,1.5,1.5,0.5999999999999999,0.6000000000000001,2.5,0.1,1.0999999999999999,5.3,5.3,2.1999999999999993,3.0,0.1999999999999993,2.6999999999999997,0.40000000000000013,0.19999999999999998,0.07700000000000001,-0.5,1.9,0.4999999999999999,0.9,3.5999999999999996,0.05199999999999999,2.4000000000000004,1.3,25.0,30.0,5.0,0.3902439024390244,0,0.0
Al Jefferson,22,69,33.6,6.6,12.8,0.514,0.0,0.0,0.0,6.6,12.8,0.514,2.9,0.681,3.4,7.5,11.0,1.3,1.5,2.0,16.0,59.0,2,2006-07,19.8,7.2,22.4,3.3,6.6,0.137,0.7,1.6,10.0,53.0,15.600000000000001,3.3999999999999995,6.4,0.0,-0.1,3.3999999999999995,6.4,1.4,2.0,4.1,5.9,0.8,0.7,0.8999999999999999,8.1,8.1,3.6000000000000014,2.2,0.7999999999999972,2.4,-0.3999999999999999,0.20000000000000018,-0.009999999999999998,0.5999999999999996,2.7,0.10000000000000003,1.7999999999999998,4.3,0.032000000000000015,2.8,1.6,29.0,24.0,-5.0,0.2926829268292683,6,0.096
Kyle Korver,25,74,30.9,5.0,11.4,0.44,1.8,4.1,0.43,3.2,7.3,0.446,2.6,0.914,0.4,3.1,3.5,1.4,0.3,1.6,14.4,82.0,3,2006-07,14.2,8.0,21.3,2.9,4.6,0.097,-0.1,1.1,-8.0,-42.0,-0.40000000000000213,1.0,2.0999999999999996,-0.40000000000000013,-1.2000000000000002,1.5000000000000002,3.4,1.4000000000000001,1.2999999999999998,0.10000000000000009,0.20000000000000018,-0.6000000000000001,0.0,0.40000000000000013,2.9000000000000004,2.9000000000000004,1.8999999999999986,-2.1999999999999993,5.100000000000001,-0.30000000000000027,0.0,-0.10000000000000009,-0.21299999999999997,0.40000000000000013,0.39999999999999997,0.20000000000000007,0.3999999999999999,0.0,0.01100000000000001,0.5,0.20000000000000007,20.0,19.0,-1.0,0.4268292682926829,0,0.0
Rashard Lewis,27,60,39.1,7.7,16.8,0.461,2.5,6.5,0.39,5.2,10.3,0.505,4.4,0.841,1.5,5.1,6.6,2.4,0.7,2.0,22.4,78.0,5,2006-07,20.7,10.8,24.4,6.3,7.6,0.155,4.1,3.6,-18.0,-17.0,2.200000000000003,0.7999999999999998,2.0,0.7,1.7999999999999998,0.10000000000000053,0.3000000000000007,-0.09999999999999964,-0.20000000000000018,1.4999999999999996,1.5999999999999996,0.10000000000000009,0.09999999999999998,0.19999999999999996,2.299999999999997,1.8999999999999986,0.6999999999999993,0.10000000000000142,1.2999999999999972,-1.8999999999999995,-0.3999999999999999,0.0,0.064,0.0,0.5999999999999996,0.9000000000000001,1.2,-0.7000000000000011,0.016999999999999987,1.3999999999999995,0.20000000000000018,26.0,21.0,-5.0,0.3780487804878049,0,0.0
Kevin Martin,23,80,35.2,6.3,13.3,0.473,1.6,4.2,0.381,4.7,9.2,0.515,6.0,0.844,0.9,3.4,4.3,2.2,0.1,1.7,20.2,72.0,2,2006-07,20.1,10.9,23.2,8.3,10.2,0.173,2.8,3.4,8.0,39.0,8.600000000000001,2.6999999999999997,5.700000000000001,0.7000000000000001,1.7000000000000002,2.0,4.1,3.4,3.9999999999999996,0.6000000000000001,0.6999999999999997,0.9000000000000001,0.0,0.5999999999999999,9.399999999999999,9.399999999999999,5.300000000000001,2.5999999999999996,5.800000000000001,4.700000000000001,0.30000000000000004,0.0,-0.016000000000000014,-0.8000000000000003,2.8000000000000003,-0.5,0.0,4.699999999999999,0.035999999999999976,2.4,2.2,23.0,12.0,-11.0,0.4024390243902439,2,0.541
Mike Miller,26,70,39.1,6.6,14.4,0.46,2.9,7.1,0.406,3.8,7.3,0.514,2.3,0.793,0.7,4.7,5.4,4.3,0.3,2.6,18.5,74.0,5,2006-07,16.4,18.7,21.1,4.6,4.8,0.085,1.4,2.3,-4.0,60.0,8.5,1.7999999999999998,4.1,1.0,2.5,0.8999999999999999,1.5999999999999996,0.0,0.10000000000000009,-0.09999999999999964,0.0,1.5999999999999996,-0.10000000000000003,0.7000000000000002,4.800000000000001,2.9000000000000004,-0.8000000000000007,2.1999999999999993,-0.1999999999999993,0.6999999999999997,-0.30000000000000004,-0.5,0.046999999999999986,0.0,0.7000000000000002,-2.3,-3.2,-2.6000000000000005,-0.072,-1.6,-0.6000000000000001,30.0,7.0,-23.0,0.2682926829268293,0,0.0
Zach Randolph,25,68,35.7,8.8,18.9,0.467,0.2,0.7,0.292,8.6,18.2,0.473,5.8,0.819,2.9,7.2,10.1,2.2,0.2,3.2,23.6,74.0,5,2006-07,22.8,12.8,33.1,3.8,5.7,0.112,1.6,2.2,-6.0,-4.0,1.3000000000000043,1.6000000000000005,2.299999999999997,0.0,0.0,1.5999999999999996,2.299999999999999,2.5,2.5,1.7999999999999998,2.0999999999999996,0.30000000000000027,0.0,1.0,5.600000000000001,3.5,5.900000000000002,1.4000000000000004,4.300000000000001,3.4,0.0,0.09999999999999998,-0.008,1.0,2.9,0.8,0.9999999999999999,4.4,0.088,3.6,2.2,25.0,30.0,5.0,0.3902439024390244,0,0.0
Michael Redd,27,53,38.4,9.0,19.3,0.465,2.2,5.8,0.382,6.8,13.6,0.501,6.5,0.829,0.8,2.9,3.7,2.3,0.2,2.3,26.7,80.0,5,2006-07,22.3,11.0,29.5,5.8,6.1,0.145,3.0,2.5,-27.0,-27.0,-0.7000000000000028,0.5,0.3000000000000007,0.20000000000000018,0.5999999999999996,0.2999999999999998,-0.20000000000000107,0.20000000000000018,0.7000000000000002,-0.3999999999999999,-0.5999999999999996,-0.6000000000000001,0.1,0.19999999999999973,1.3000000000000007,1.3000000000000007,1.1000000000000014,-2.8000000000000007,1.1999999999999993,-3.000000000000001,0.0,0.19999999999999998,0.02699999999999997,-0.5,0.2999999999999998,-1.1,-1.7,-4.700000000000001,-0.02100000000000002,-0.7999999999999998,-2.0999999999999996,28.0,17.0,-11.0,0.34146341463414637,0,0.0
Josh Smith,21,72,36.8,6.1,13.8,0.439,0.5,2.1,0.25,5.5,11.7,0.473,3.7,0.693,2.3,6.3,8.6,3.3,2.9,3.2,16.4,80.0,2,2006-07,18.3,16.3,24.1,0.4,4.4,0.079,2.0,2.7,-8.0,-1.0,4.799999999999997,2.0,4.100000000000001,0.09999999999999998,0.7000000000000002,1.7999999999999998,3.3999999999999986,1.1,1.7000000000000002,1.8999999999999995,2.0,0.8999999999999999,0.2999999999999998,1.2000000000000002,5.099999999999998,5.099999999999998,2.8000000000000007,4.100000000000001,5.200000000000003,-1.1,0.7,-0.10000000000000053,0.01100000000000001,-0.5999999999999996,0.9,0.8999999999999999,1.9,0.8000000000000003,0.011999999999999997,1.7,1.3000000000000003,27.0,27.0,0.0,0.36585365853658536,21T,0.002
Gerald Wallace,24,72,36.7,6.6,13.2,0.502,0.5,1.7,0.325,6.1,11.6,0.528,4.3,0.691,2.0,5.2,7.2,2.6,1.0,2.2,18.1,55.0,5,2006-07,19.8,12.5,22.5,4.2,7.7,0.141,3.7,3.7,17.0,19.0,2.200000000000003,0.7999999999999998,2.5,0.2,0.7999999999999999,0.5999999999999996,1.799999999999999,0.8999999999999999,0.6000000000000005,-0.09999999999999964,-0.2999999999999998,0.9000000000000001,-1.1,0.40000000000000013,2.900000000000002,2.900000000000002,-1.5,3.6999999999999993,3.1999999999999993,1.2000000000000002,-0.9000000000000004,-2.7,0.040999999999999995,-0.8999999999999995,0.20000000000000018,-1.4,0.10000000000000009,1.2999999999999998,-0.02200000000000002,-1.2000000000000002,0.5,21.0,28.0,7.0,0.4024390243902439,21T,0.002
Luke Walton,26,60,33.0,4.4,9.3,0.474,0.8,2.1,0.387,3.6,7.2,0.499,1.8,0.745,1.5,3.6,5.0,4.3,0.4,2.0,11.4,69.0,3,2006-07,14.7,20.2,16.8,2.6,3.8,0.092,0.4,1.2,-9.0,54.0,13.7,2.4000000000000004,4.500000000000001,0.5,1.3,1.9000000000000001,3.2,1.0,1.2999999999999998,1.3000000000000003,1.4,2.0,0.2,0.8999999999999999,6.4,6.4,3.0999999999999996,2.3000000000000007,1.8000000000000007,2.0,0.0,-0.09999999999999998,0.05499999999999999,-2.5999999999999996,2.0,-0.5,-0.10000000000000009,1.7999999999999998,0.021000000000000005,1.5,0.8999999999999999,13.0,10.0,-3.0,0.5121951219512195,21T,0.002
Hakim Warrick,24,82,26.2,4.5,8.7,0.524,0.0,0.1,0.0,4.5,8.6,0.53,3.6,0.771,1.6,3.5,5.1,0.9,0.4,2.0,12.7,68.0,1,2006-07,15.9,6.0,21.9,3.2,3.7,0.082,-2.0,0.0,14.0,41.0,15.6,3.0,5.299999999999999,0.0,0.1,3.0,5.199999999999999,2.5,3.0,2.0,2.9999999999999996,0.5,0.10000000000000003,1.2,8.6,8.6,4.9,-1.5,-0.6000000000000014,3.5,-0.10000000000000009,-1.1999999999999997,0.011,-0.09999999999999964,4.6000000000000005,-1.5999999999999999,-0.6000000000000001,2.9000000000000004,0.029000000000000005,3.0,0.5,30.0,7.0,-23.0,0.2682926829268293,0,0.0
Chris Wilcox,24,82,31.5,5.3,10.0,0.529,0.0,0.1,0.0,5.3,9.9,0.533,2.9,0.684,2.2,5.5,7.7,1.0,0.5,1.5,13.5,77.0,4,2006-07,16.6,5.3,19.3,4.1,6.0,0.112,-1.1,0.6,5.0,57.0,11.600000000000001,2.0,4.2,0.0,0.1,2.0,4.1000000000000005,1.4,2.3,1.7000000000000002,2.4000000000000004,0.30000000000000004,0.09999999999999998,0.6,5.4,4.9,-0.6999999999999993,-0.40000000000000036,1.8000000000000007,0.8999999999999995,0.2999999999999998,-0.5999999999999999,0.003,-1.1000000000000014,-0.5,-0.5,0.7,1.5999999999999996,-0.02600000000000001,-1.0,-0.09999999999999998,26.0,21.0,-5.0,0.3780487804878049,21T,0.002
