Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Previous Season,PS_PER,PS_TRB%,PS_AST%,PS_BPM,PS_VORP,PS_USG%,PS_WS,PS_WS/48,Best Season,BS_PER,BS_TRB%,BS_AST%,BS_BPM,BS_VORP,BS_USG%,BS_WS,BS_WS/48
33,Earl Barron,C,29,POR,2,37,3.8,0.295,0.0,0.182,12.7,34.6,23.1,12.2,0.0,0.0,20.2,18.8,,-0.1,0.0,-0.1,-0.093,,-8.0,-2.3,-10.4,-0.1,2007-08,9.4,13.3,5.8,-7.2,-1.2,22.0,-0.4,-0.019,2007-08,9.4,13.3,5.8,-7.2,-1.2,22.0,-0.4,-0.019
34,Brandon Bass,PF,25,ORL,76,1980,15.9,0.571,0.003,0.361,8.1,16.7,12.5,5.0,0.7,2.0,11.5,19.8,,3.2,3.1,6.3,0.153,,-0.3,0.5,0.2,1.1,2009-10,16.5,11.3,5.1,-0.6,0.2,20.9,2.0,0.147,2008-09,16.4,13.4,4.3,-1.5,0.2,20.0,4.1,0.124
35,Tony Battie,C,34,PHI,38,377,9.5,0.489,0.031,0.146,5.2,25.1,15.1,4.8,0.7,3.0,10.5,13.9,,0.0,0.6,0.6,0.075,,-4.1,0.8,-3.3,-0.1,2008-09,11.9,13.0,4.2,-1.6,0.1,15.6,2.8,0.113,2005-06,12.2,12.7,3.7,-1.8,0.1,14.9,3.8,0.083
36,Shane Battier,SF,32,TOT,82,2375,12.3,0.567,0.525,0.183,4.4,13.7,9.0,11.1,1.5,2.4,12.6,11.7,,2.9,2.2,5.1,0.103,,0.6,0.9,1.4,2.0,2009-10,11.1,8.2,10.9,1.5,1.9,11.4,4.3,0.095,2001-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Shane Battier,SF,32,HOU,59,1818,12.9,0.577,0.551,0.186,3.6,13.9,8.8,12.1,1.5,2.7,12.5,12.3,,2.3,1.7,4.0,0.105,,0.8,1.1,1.9,1.8,2009-10,11.1,8.2,10.9,1.5,1.9,11.4,4.3,0.095,2001-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Shane Battier,SF,32,MEM,23,557,10.6,0.53,0.416,0.168,6.8,13.0,9.9,7.9,1.5,1.5,12.9,10.1,,0.5,0.6,1.1,0.097,,-0.3,0.2,-0.1,0.3,2009-10,11.1,8.2,10.9,1.5,1.9,11.4,4.3,0.095,2001-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Nicolas Batum,SF,22,POR,80,2522,14.8,0.563,0.424,0.203,5.1,12.8,8.8,8.1,1.5,1.6,8.6,17.8,,4.4,2.3,6.6,0.126,,1.1,0.0,1.1,2.0,2009-10,17.3,9.5,8.0,3.9,1.4,16.4,3.5,0.181,2009-10,17.3,9.5,8.0,3.9,1.4,16.4,3.5,0.181
38,Jerryd Bayless,PG,22,TOT,71,1496,14.1,0.536,0.282,0.398,2.0,11.3,6.6,27.6,1.3,0.3,17.3,22.1,,1.4,0.3,1.6,0.053,,0.1,-1.9,-1.8,0.1,2009-10,14.3,5.7,22.1,-1.7,0.1,24.9,2.7,0.098,2009-10,14.3,5.7,22.1,-1.7,0.1,24.9,2.7,0.098
38,Jerryd Bayless,PG,22,NOH,11,149,7.2,0.443,0.286,0.347,1.6,10.7,6.1,29.9,0.7,0.6,23.1,23.5,,-0.3,0.1,-0.2,-0.05,,-4.8,-2.5,-7.3,-0.2,2009-10,14.3,5.7,22.1,-1.7,0.1,24.9,2.7,0.098,2009-10,14.3,5.7,22.1,-1.7,0.1,24.9,2.7,0.098
38,Jerryd Bayless,PG,22,TOR,60,1347,14.9,0.545,0.282,0.404,2.1,11.4,6.6,27.4,1.4,0.2,16.6,22.0,,1.7,0.1,1.8,0.064,,0.6,-1.8,-1.2,0.3,2009-10,14.3,5.7,22.1,-1.7,0.1,24.9,2.7,0.098,2009-10,14.3,5.7,22.1,-1.7,0.1,24.9,2.7,0.098
