Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Previous Season,PS_PER,PS_TRB%,PS_AST%,PS_BPM,PS_VORP,PS_USG%,PS_WS,PS_WS/48,Best Season,BS_PER,BS_TRB%,BS_AST%,BS_BPM,BS_VORP,BS_USG%,BS_WS,BS_WS/48
64,Aaron Brooks,PG,26,TOT,59,1284,13.1,0.489,0.402,0.239,1.8,5.2,3.5,28.9,1.3,0.2,13.2,25.9,,0.7,0.4,1.1,0.04,,-0.3,-2.7,-3.0,-0.3,2009-10,16.0,4.2,25.6,0.7,1.9,25.7,5.5,0.091,2009-10,16.0,4.2,25.6,0.7,1.9,25.7,5.5,0.091
64,Aaron Brooks,PG,26,HOU,34,811,11.7,0.465,0.437,0.214,1.5,5.6,3.6,25.2,1.3,0.2,11.5,26.1,,0.1,0.3,0.4,0.023,,-1.3,-2.8,-4.1,-0.4,2009-10,16.0,4.2,25.6,0.7,1.9,25.7,5.5,0.091,2009-10,16.0,4.2,25.6,0.7,1.9,25.7,5.5,0.091
64,Aaron Brooks,PG,26,PHO,25,473,15.6,0.533,0.335,0.285,2.2,4.4,3.3,35.3,1.4,0.2,16.4,25.7,,0.6,0.1,0.7,0.07,,1.3,-2.4,-1.1,0.1,2009-10,16.0,4.2,25.6,0.7,1.9,25.7,5.5,0.091,2009-10,16.0,4.2,25.6,0.7,1.9,25.7,5.5,0.091
65,Derrick Brown,SF,23,TOT,49,576,12.9,0.588,0.076,0.458,8.5,12.2,10.3,9.5,1.8,1.4,18.2,15.5,,0.5,0.5,1.0,0.083,,-1.4,-0.1,-1.6,0.1,2009-10,12.6,8.8,6.0,-0.6,0.2,17.2,1.3,0.114,2009-10,12.6,8.8,6.0,-0.6,0.2,17.2,1.3,0.114
65,Derrick Brown,SF,23,CHA,41,488,12.4,0.565,0.053,0.416,7.9,13.0,10.4,9.9,1.8,1.3,17.3,15.6,,0.3,0.4,0.8,0.074,,-1.7,0.0,-1.6,0.0,2009-10,12.6,8.8,6.0,-0.6,0.2,17.2,1.3,0.114,2009-10,12.6,8.8,6.0,-0.6,0.2,17.2,1.3,0.114
65,Derrick Brown,SF,23,NYK,8,88,16.0,0.717,0.222,0.722,11.6,7.9,9.7,6.9,2.3,1.7,22.8,15.5,,0.2,0.1,0.2,0.13,,-0.2,-1.1,-1.2,0.0,2009-10,12.6,8.8,6.0,-0.6,0.2,17.2,1.3,0.114,2009-10,12.6,8.8,6.0,-0.6,0.2,17.2,1.3,0.114
66,Kwame Brown,C,28,CHA,66,1714,12.8,0.55,0.0,0.616,10.3,21.6,15.9,4.1,0.8,1.8,12.6,14.9,,1.8,1.7,3.5,0.097,,-1.9,-0.9,-2.8,-0.3,2009-10,7.9,16.2,5.1,-5.6,-0.6,14.7,-0.1,-0.009,2003-04,15.7,13.8,8.8,-0.6,0.8,17.3,4.9,0.105
67,Shannon Brown,SG,25,LAL,82,1568,13.6,0.518,0.33,0.157,2.6,8.5,5.7,10.0,2.3,0.8,9.8,22.2,,1.1,1.9,3.1,0.093,,-0.9,0.2,-0.8,0.5,2009-10,12.4,6.0,9.9,-0.4,0.7,18.8,3.4,0.096,2009-10,12.4,6.0,9.9,-0.4,0.7,18.8,3.4,0.096
68,Kobe Bryant,SG,32,LAL,82,2779,23.9,0.548,0.217,0.356,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,,6.8,3.5,10.3,0.178,,5.4,-0.2,5.2,5.0,2009-10,21.9,7.7,23.8,4.1,4.4,32.3,9.4,0.16,2005-06,28.0,7.6,24.1,7.6,8.0,38.7,15.3,0.224
69,Chase Budinger,SF,22,HOU,78,1738,14.2,0.534,0.418,0.21,3.4,15.0,9.2,11.5,1.2,0.7,8.5,19.9,,2.2,1.2,3.4,0.095,,0.6,-0.8,-0.2,0.8,2009-10,14.1,8.5,9.7,0.5,0.9,19.4,3.1,0.1,2009-10,14.1,8.5,9.7,0.5,0.9,19.4,3.1,0.1
70,Caron Butler,SF,30,DAL,29,867,14.2,0.523,0.172,0.233,3.1,12.5,8.0,9.1,1.7,0.7,10.5,25.1,,0.2,1.0,1.2,0.067,,-0.8,0.0,-0.9,0.2,2009-10,13.7,9.5,9.2,-1.3,0.5,22.1,3.5,0.061,2008-09,18.8,9.4,19.7,0.9,1.9,25.9,4.5,0.083
71,Rasual Butler,SG,31,TOT,47,770,6.2,0.446,0.574,0.114,1.5,10.1,5.9,5.3,0.5,1.5,8.8,15.8,,-0.5,0.3,-0.1,-0.009,,-2.3,-1.5,-3.8,-0.4,2009-10,10.7,5.1,6.8,-1.9,0.1,17.0,2.7,0.048,2009-10,10.7,5.1,6.8,-1.9,0.1,17.0,2.7,0.048
71,Rasual Butler,SG,31,LAC,41,744,5.9,0.433,0.571,0.119,1.6,10.3,6.0,5.5,0.6,1.6,8.5,15.6,,-0.5,0.3,-0.2,-0.013,,-2.5,-1.5,-4.0,-0.4,2009-10,10.7,5.1,6.8,-1.9,0.1,17.0,2.7,0.048,2009-10,10.7,5.1,6.8,-1.9,0.1,17.0,2.7,0.048
71,Rasual Butler,SG,31,CHI,6,26,14.5,0.727,0.636,0.0,0.0,4.4,2.3,0.0,0.0,0.0,15.4,23.0,,0.0,0.0,0.1,0.107,,2.5,-2.4,0.1,0.0,2009-10,10.7,5.1,6.8,-1.9,0.1,17.0,2.7,0.048,2009-10,10.7,5.1,6.8,-1.9,0.1,17.0,2.7,0.048
72,Andrew Bynum,C,23,LAL,54,1500,21.1,0.606,0.0,0.506,13.3,24.7,19.2,7.7,0.7,5.4,12.8,17.6,,3.8,2.8,6.6,0.21,,1.8,1.4,3.2,2.0,2009-10,20.2,15.3,5.8,1.5,1.8,20.8,7.8,0.188,2009-10,20.2,15.3,5.8,1.5,1.8,20.8,7.8,0.188
73,Will Bynum,PG,28,DET,61,1125,15.2,0.524,0.123,0.3,1.6,6.7,4.0,28.6,2.5,0.3,15.3,22.5,,1.1,0.4,1.5,0.066,,-0.8,-1.0,-1.9,0.0,2009-10,13.8,5.2,28.2,-2.2,-0.1,20.1,1.9,0.054,2009-10,13.8,5.2,28.2,-2.2,-0.1,20.1,1.9,0.054
74,José Calderón,PG,29,TOR,68,2102,16.3,0.522,0.262,0.173,1.7,9.9,5.7,43.0,2.0,0.3,18.8,16.8,,3.2,0.4,3.7,0.084,,1.9,-1.2,0.8,1.5,2009-10,16.5,4.6,33.8,0.6,1.2,17.9,4.2,0.111,2008-09,18.8,4.9,41.0,2.8,2.8,16.9,7.5,0.154
75,Marcus Camby,C,36,POR,59,1540,14.8,0.426,0.003,0.238,13.8,35.2,24.1,11.7,1.4,5.0,16.0,11.7,,0.8,3.0,3.7,0.116,,-0.7,2.2,1.5,1.4,2009-10,17.9,22.2,12.3,3.3,3.1,12.8,6.8,0.142,2005-06,19.9,21.0,10.2,3.5,2.6,19.5,5.5,0.141
76,Derrick Caracter,C,22,LAL,41,215,10.0,0.532,0.0,0.348,10.3,12.2,11.3,5.1,1.0,3.5,20.0,20.2,,0.0,0.3,0.3,0.057,,-6.6,-0.5,-7.1,-0.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Brian Cardinal,SF,33,DAL,56,618,9.7,0.672,0.87,0.18,2.0,8.9,5.6,9.1,2.0,0.9,13.6,9.5,,1.0,0.7,1.7,0.132,,-1.2,2.4,1.2,0.5,2008-09,8.1,9.1,12.3,-2.4,-0.1,11.5,0.9,0.045,2003-04,19.4,10.9,10.7,3.2,2.2,18.9,7.2,0.212
78,Rodney Carney,SF,26,TOT,27,336,10.8,0.521,0.345,0.245,4.3,12.1,8.1,4.8,1.8,1.1,11.6,18.1,,0.1,0.2,0.3,0.038,,-1.5,-1.2,-2.8,-0.1,2009-10,12.7,9.4,6.7,-1.3,0.2,17.6,1.5,0.082,2008-09,12.1,6.1,3.6,-0.8,0.3,18.6,1.5,0.059
78,Rodney Carney,SF,26,GSW,25,331,10.7,0.526,0.346,0.252,4.0,12.3,8.0,4.9,1.7,1.2,11.9,18.0,,0.1,0.2,0.3,0.038,,-1.5,-1.3,-2.8,-0.1,2009-10,12.7,9.4,6.7,-1.3,0.2,17.6,1.5,0.082,2008-09,12.1,6.1,3.6,-0.8,0.3,18.6,1.5,0.059
78,Rodney Carney,SF,26,MEM,2,5,20.4,0.333,0.333,0.0,23.7,0.0,12.0,0.0,10.4,0.0,0.0,27.1,,0.0,0.0,0.0,0.071,,-0.6,1.9,1.2,0.0,2009-10,12.7,9.4,6.7,-1.3,0.2,17.6,1.5,0.082,2008-09,12.1,6.1,3.6,-0.8,0.3,18.6,1.5,0.059
79,DeMarre Carroll,PF,24,TOT,12,50,8.7,0.388,0.0,0.167,4.7,14.5,9.6,10.7,1.0,1.6,0.0,11.6,,0.0,0.0,0.1,0.066,,-2.9,-0.5,-3.5,0.0,2009-10,8.5,11.0,5.9,-4.2,-0.4,14.8,0.5,0.031,2009-10,8.5,11.0,5.9,-4.2,-0.4,14.8,0.5,0.031
79,DeMarre Carroll,PF,24,MEM,7,39,12.4,0.506,0.0,0.222,6.1,18.6,12.3,7.3,1.3,2.1,0.0,11.4,,0.1,0.0,0.1,0.145,,-1.5,0.1,-1.4,0.0,2009-10,8.5,11.0,5.9,-4.2,-0.4,14.8,0.5,0.031,2009-10,8.5,11.0,5.9,-4.2,-0.4,14.8,0.5,0.031
79,DeMarre Carroll,PF,24,HOU,5,11,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,12.0,,0.0,0.0,0.0,-0.214,,-8.0,-2.8,-10.8,0.0,2009-10,8.5,11.0,5.9,-4.2,-0.4,14.8,0.5,0.031,2009-10,8.5,11.0,5.9,-4.2,-0.4,14.8,0.5,0.031
80,Matt Carroll,SG,30,CHA,54,582,12.2,0.53,0.231,0.261,2.5,11.7,7.1,6.9,1.6,0.8,9.4,19.8,,0.3,0.5,0.8,0.062,,-1.9,-0.8,-2.7,-0.1,2008-09,5.5,6.8,7.2,-4.8,-0.4,16.4,-0.1,-0.008,2006-07,14.6,6.5,8.2,0.3,1.1,19.9,4.6,0.117
81,Anthony Carter,PG,35,TOT,33,463,9.2,0.502,0.377,0.075,1.7,10.9,6.3,21.3,2.9,1.0,26.3,14.3,,-0.2,0.4,0.2,0.023,,-3.3,0.9,-2.4,-0.1,2009-10,10.3,6.0,26.6,-0.8,0.3,12.6,0.9,0.051,2007-08,12.8,5.5,27.4,-0.1,1.0,13.8,3.8,0.092
81,Anthony Carter,PG,35,DEN,14,153,5.4,0.421,0.4,0.067,0.0,8.8,4.5,23.2,3.0,0.5,31.2,13.1,,-0.2,0.2,-0.1,-0.018,,-5.0,1.3,-3.7,-0.1,2009-10,10.3,6.0,26.6,-0.8,0.3,12.6,0.9,0.051,2007-08,12.8,5.5,27.4,-0.1,1.0,13.8,3.8,0.092
81,Anthony Carter,PG,35,NYK,19,310,11.1,0.534,0.368,0.079,2.6,11.9,7.2,20.4,2.9,1.2,24.1,14.8,,0.0,0.3,0.3,0.044,,-2.5,0.6,-1.8,0.0,2009-10,10.3,6.0,26.6,-0.8,0.3,12.6,0.9,0.051,2007-08,12.8,5.5,27.4,-0.1,1.0,13.8,3.8,0.092
82,Vince Carter,SG,34,TOT,73,2051,14.8,0.528,0.36,0.194,3.1,12.4,7.8,12.1,1.7,0.7,8.5,23.5,,2.0,1.9,3.8,0.089,,0.1,0.2,0.3,1.2,2009-10,17.1,7.3,17.8,2.0,2.3,25.2,7.4,0.154,2006-07,21.8,9.3,25.1,3.9,4.6,30.8,10.5,0.161
82,Vince Carter,SG,34,ORL,22,664,16.2,0.557,0.293,0.282,2.0,13.5,7.9,17.3,1.6,0.4,10.7,23.4,,1.1,1.0,2.1,0.151,,0.4,1.4,1.8,0.6,2009-10,17.1,7.3,17.8,2.0,2.3,25.2,7.4,0.154,2006-07,21.8,9.3,25.1,3.9,4.6,30.8,10.5,0.161
82,Vince Carter,SG,34,PHO,51,1387,14.2,0.516,0.389,0.157,3.6,11.8,7.7,9.6,1.7,0.9,7.5,23.5,,0.9,0.8,1.7,0.06,,0.0,-0.4,-0.4,0.6,2009-10,17.1,7.3,17.8,2.0,2.3,25.2,7.4,0.154,2006-07,21.8,9.3,25.1,3.9,4.6,30.8,10.5,0.161
83,Omri Casspi,SF,22,SAC,71,1702,11.7,0.517,0.452,0.185,4.8,16.0,10.3,6.6,1.6,0.6,10.3,16.7,,1.1,1.3,2.5,0.069,,-0.1,-0.4,-0.6,0.6,2009-10,13.0,10.4,7.7,-1.1,0.4,19.4,2.5,0.063,2009-10,13.0,10.4,7.7,-1.1,0.4,19.4,2.5,0.063
84,Mario Chalmers,PG,24,MIA,70,1579,10.3,0.538,0.595,0.16,1.0,9.5,5.5,16.8,2.5,0.3,18.0,15.0,,0.7,2.3,2.9,0.089,,-2.3,1.5,-0.8,0.5,2009-10,10.7,4.4,21.0,-1.3,0.3,16.3,2.7,0.072,2008-09,13.3,5.2,23.5,-0.4,1.0,16.3,5.2,0.095
85,Tyson Chandler,C,28,DAL,74,2059,18.4,0.697,0.0,0.725,12.2,26.6,19.7,2.4,0.9,3.0,14.1,14.2,,5.8,3.5,9.4,0.218,,0.6,1.0,1.5,1.8,2009-10,12.5,16.6,2.2,-2.0,0.0,14.0,2.9,0.12,2007-08,17.5,19.5,4.4,0.4,1.7,14.5,10.0,0.172
86,Wilson Chandler,SF,23,TOT,72,2401,14.6,0.537,0.336,0.169,3.6,15.9,9.7,8.1,1.0,2.9,9.2,20.9,,2.1,1.9,3.9,0.079,,0.2,-0.4,-0.2,1.1,2009-10,13.7,8.5,9.8,-2.1,0.0,20.2,2.7,0.057,2009-10,13.7,8.5,9.8,-2.1,0.0,20.2,2.7,0.057
86,Wilson Chandler,SF,23,NYK,51,1759,15.7,0.548,0.344,0.167,4.0,15.8,9.8,8.1,1.0,2.9,8.1,21.0,,2.3,1.2,3.4,0.094,,0.8,-0.8,0.0,0.9,2009-10,13.7,8.5,9.8,-2.1,0.0,20.2,2.7,0.057,2009-10,13.7,8.5,9.8,-2.1,0.0,20.2,2.7,0.057
86,Wilson Chandler,SF,23,DEN,21,642,11.6,0.505,0.311,0.174,2.4,16.1,9.4,8.3,1.1,2.8,12.5,20.6,,-0.2,0.7,0.5,0.037,,-1.5,0.7,-0.8,0.2,2009-10,13.7,8.5,9.8,-2.1,0.0,20.2,2.7,0.057,2009-10,13.7,8.5,9.8,-2.1,0.0,20.2,2.7,0.057
87,Josh Childress,SG,27,PHO,54,894,13.0,0.567,0.075,0.276,8.9,11.1,10.0,7.0,1.9,1.9,15.5,14.3,,0.8,0.6,1.4,0.076,,-0.6,0.1,-0.5,0.3,2007-08,17.8,9.6,8.5,2.0,2.3,15.8,7.6,0.16,2006-07,16.2,10.1,10.8,1.7,1.9,15.7,5.5,0.13
88,Earl Clark,SF,23,TOT,42,464,10.1,0.456,0.032,0.297,9.5,15.7,12.7,3.1,0.9,3.0,13.5,20.5,,-0.4,0.7,0.3,0.03,,-3.9,0.1,-3.8,-0.2,2009-10,8.5,9.1,7.8,-5.5,-0.3,21.9,-0.3,-0.033,2009-10,8.5,9.1,7.8,-5.5,-0.3,21.9,-0.3,-0.033
88,Earl Clark,SF,23,PHO,9,72,11.3,0.41,0.0,0.323,6.4,20.9,13.6,8.7,0.7,3.1,5.3,23.4,,-0.1,0.1,0.0,-0.01,,-1.8,-1.5,-3.3,0.0,2009-10,8.5,9.1,7.8,-5.5,-0.3,21.9,-0.3,-0.033,2009-10,8.5,9.1,7.8,-5.5,-0.3,21.9,-0.3,-0.033
88,Earl Clark,SF,23,ORL,33,392,9.9,0.468,0.039,0.291,10.1,14.8,12.5,2.1,0.9,3.0,15.4,20.0,,-0.3,0.7,0.3,0.038,,-4.3,0.3,-3.9,-0.2,2009-10,8.5,9.1,7.8,-5.5,-0.3,21.9,-0.3,-0.033,2009-10,8.5,9.1,7.8,-5.5,-0.3,21.9,-0.3,-0.033
89,Jarron Collins,C,32,TOT,28,181,1.6,0.374,0.0,0.476,9.1,6.4,7.9,1.5,1.1,0.4,21.6,8.1,,-0.1,0.1,-0.1,-0.016,,-7.4,-1.5,-8.9,-0.3,2007-08,6.1,10.1,6.8,-3.4,-0.3,8.7,1.0,0.07,2008-09,5.8,11.0,4.9,-6.1,-0.2,10.9,0.2,0.047
89,Jarron Collins,C,32,LAC,23,157,1.8,0.438,0.0,0.667,5.3,7.4,6.3,0.9,1.3,0.5,20.5,6.9,,-0.1,0.1,0.0,0.0,,-7.1,-0.7,-7.8,-0.2,2007-08,6.1,10.1,6.8,-3.4,-0.3,8.7,1.0,0.07,2008-09,5.8,11.0,4.9,-6.1,-0.2,10.9,0.2,0.047
89,Jarron Collins,C,32,POR,5,24,0.0,0.167,0.0,0.0,34.2,0.0,17.8,5.9,0.0,0.0,25.0,15.6,,-0.1,0.0,-0.1,-0.124,,-9.4,-6.5,-15.9,-0.1,2007-08,6.1,10.1,6.8,-3.4,-0.3,8.7,1.0,0.07,2008-09,5.8,11.0,4.9,-6.1,-0.2,10.9,0.2,0.047
90,Jason Collins,C,32,ATL,49,593,5.4,0.539,0.014,0.577,6.1,14.5,10.4,5.3,0.8,1.2,22.6,9.2,,0.1,0.5,0.6,0.049,,-5.3,0.4,-4.8,-0.4,2007-08,3.4,8.7,3.1,-6.7,-1.4,7.4,0.1,0.005,2008-09,3.3,9.7,3.7,-7.2,-0.6,10.1,-0.2,-0.018
91,Sherron Collins,PG,23,CHA,20,66,3.6,0.334,0.4,0.04,0.0,9.2,4.6,19.6,1.6,0.0,13.6,20.9,,-0.2,0.0,-0.2,-0.121,,-6.0,-2.1,-8.0,-0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Darren Collison,PG,23,IND,79,2360,15.6,0.534,0.143,0.267,1.9,8.6,5.3,28.9,1.9,0.4,16.6,21.9,,2.1,2.2,4.3,0.087,,0.4,-0.7,-0.3,1.0,2009-10,16.5,5.3,32.9,-0.8,0.6,23.1,2.9,0.067,2009-10,16.5,5.3,32.9,-0.8,0.6,23.1,2.9,0.067
93,Nick Collison,C,30,OKC,71,1524,10.8,0.6,0.0,0.302,9.5,14.6,12.1,6.7,1.4,1.5,16.7,9.8,,2.1,1.5,3.6,0.113,,-1.9,0.7,-1.2,0.3,2009-10,13.1,14.2,3.7,-1.2,0.3,12.1,4.7,0.146,2007-08,15.0,17.9,7.9,-1.4,0.3,16.2,4.5,0.098
94,Mike Conley,PG,23,MEM,81,2872,15.9,0.521,0.228,0.259,1.3,9.0,5.1,28.0,2.6,0.5,14.2,19.4,,3.4,3.2,6.6,0.111,,0.7,0.5,1.2,2.3,2009-10,13.9,4.3,24.8,-0.6,0.9,18.4,4.0,0.074,2009-10,13.9,4.3,24.8,-0.6,0.9,18.4,4.0,0.074
95,Brian Cook,PF,30,LAC,40,447,11.6,0.534,0.465,0.141,5.0,20.0,12.6,5.6,1.4,1.9,12.2,20.5,,0.1,0.5,0.6,0.064,,-1.6,-0.2,-1.9,0.0,2007-08,8.6,10.0,6.8,-3.8,-0.3,20.5,0.4,0.029,2008-09,7.6,10.6,5.1,-6.2,-0.2,24.8,0.0,-0.001
96,Daequan Cook,SG,23,OKC,43,598,12.8,0.63,0.851,0.11,1.6,12.1,7.0,5.3,1.2,0.1,8.2,15.7,,1.2,0.4,1.6,0.126,,1.8,-0.7,1.1,0.5,2009-10,7.5,7.0,9.8,-3.3,-0.2,19.6,0.1,0.01,2008-09,10.3,6.2,6.2,-2.1,0.0,18.2,2.2,0.056
97,Marcus Cousin,C,24,UTA,4,18,7.8,0.667,0.0,0.0,0.0,20.3,10.1,0.0,0.0,4.5,25.0,10.2,,0.0,0.0,0.0,0.008,,-4.3,-2.7,-7.1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,DeMarcus Cousins,C,20,SAC,81,2309,14.6,0.484,0.018,0.4,10.4,24.4,17.2,14.7,1.9,2.1,18.5,27.2,,-1.9,2.9,1.1,0.022,,-2.7,0.1,-2.6,-0.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Jamal Crawford,SG,30,ATL,76,2297,14.2,0.545,0.399,0.297,1.2,5.6,3.4,17.7,1.3,0.5,12.8,23.4,,1.9,1.4,3.4,0.071,,0.6,-1.6,-1.0,0.6,2009-10,18.4,4.8,16.1,2.4,2.7,25.8,7.3,0.143,2007-08,16.0,3.7,22.0,0.3,1.9,24.6,5.0,0.076
100,Jordan Crawford,SG,22,TOT,42,1027,11.8,0.456,0.256,0.168,3.4,8.6,5.9,19.8,2.0,0.2,13.4,27.0,,-1.0,0.5,-0.6,-0.026,,-1.5,-2.3,-3.8,-0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Jordan Crawford,SG,22,ATL,16,160,7.6,0.421,0.351,0.078,6.8,14.2,10.5,16.0,1.0,0.0,15.8,28.1,,-0.4,0.1,-0.3,-0.09,,-2.8,-2.7,-5.5,-0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Jordan Crawford,SG,22,WAS,26,867,12.6,0.462,0.239,0.184,2.8,7.5,5.1,20.5,2.1,0.3,12.9,26.8,,-0.6,0.3,-0.3,-0.014,,-1.2,-2.2,-3.4,-0.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Dante Cunningham,PF,23,TOT,78,1637,10.7,0.483,0.028,0.131,6.9,13.9,10.3,4.3,1.8,2.2,9.3,15.7,,0.3,1.7,2.0,0.06,,-3.2,-0.1,-3.3,-0.5,2009-10,14.3,14.0,3.3,-1.8,0.0,16.8,1.9,0.129,2009-10,14.3,14.0,3.3,-1.8,0.0,16.8,1.9,0.129
101,Dante Cunningham,PF,23,POR,56,1108,9.5,0.457,0.014,0.155,7.7,13.4,10.4,4.3,1.9,2.4,9.6,14.5,,0.1,1.2,1.3,0.057,,-3.9,0.4,-3.5,-0.4,2009-10,14.3,14.0,3.3,-1.8,0.0,16.8,1.9,0.129,2009-10,14.3,14.0,3.3,-1.8,0.0,16.8,1.9,0.129
101,Dante Cunningham,PF,23,CHA,22,529,13.1,0.525,0.05,0.094,5.2,15.0,10.1,4.5,1.5,1.7,8.7,18.3,,0.2,0.5,0.7,0.065,,-1.8,-1.1,-2.8,-0.1,2009-10,14.3,14.0,3.3,-1.8,0.0,16.8,1.9,0.129,2009-10,14.3,14.0,3.3,-1.8,0.0,16.8,1.9,0.129
102,Stephen Curry,PG,22,GSW,74,2489,19.4,0.595,0.325,0.216,2.3,10.9,6.5,28.1,2.2,0.6,16.4,24.4,,5.4,1.3,6.6,0.128,,3.0,-0.7,2.3,2.7,2009-10,16.3,6.8,24.6,0.7,2.0,21.8,4.7,0.077,2009-10,16.3,6.8,24.6,0.7,2.0,21.8,4.7,0.077
103,Samuel Dalembert,C,29,SAC,80,1938,14.1,0.509,0.004,0.261,12.1,26.9,19.3,5.3,0.9,4.3,17.3,17.1,,0.4,2.5,2.9,0.072,,-2.3,0.2,-2.2,-0.1,2009-10,16.8,21.8,4.7,-0.9,0.6,15.1,5.2,0.118,2006-07,16.1,17.4,4.2,-0.5,0.9,16.7,6.2,0.117
104,Erick Dampier,C,35,MIA,51,815,9.7,0.591,0.011,0.494,8.2,17.1,12.9,3.8,0.9,4.5,22.8,8.1,,0.5,1.4,1.9,0.109,,-2.0,1.7,-0.3,0.4,2009-10,14.0,17.9,3.5,-0.6,0.5,11.4,3.7,0.14,2003-04,20.1,20.8,4.3,1.0,1.8,17.8,8.9,0.178
105,Antonio Daniels,PG,35,PHI,4,35,6.7,0.51,0.4,0.4,0.0,16.5,8.2,7.9,0.0,0.0,14.5,9.1,,0.0,0.0,0.0,0.044,,-4.8,-1.1,-6.0,0.0,2008-09,12.1,4.5,26.9,-2.6,-0.2,15.9,1.5,0.068,2004-05,18.0,5.1,25.6,2.2,2.2,19.0,6.8,0.16
106,Marquis Daniels,SF,30,BOS,49,938,11.7,0.527,0.091,0.246,3.3,11.0,7.4,10.6,2.2,1.8,12.9,15.1,,0.3,1.7,2.0,0.103,,-1.7,2.3,0.6,0.6,2009-10,9.6,6.2,11.1,-2.7,-0.2,15.8,1.3,0.064,2008-09,12.8,8.0,10.7,-1.9,0.0,21.5,1.3,0.037
107,Baron Davis,PG,31,TOT,58,1649,17.0,0.506,0.345,0.189,2.5,8.6,5.5,41.2,2.4,1.3,16.3,24.4,,1.5,1.3,2.8,0.081,,2.2,-0.3,1.9,1.6,2009-10,17.4,6.1,39.6,1.5,2.2,24.3,4.5,0.086,2003-04,20.7,6.1,37.9,5.2,4.8,30.1,7.5,0.133
107,Baron Davis,PG,31,LAC,43,1269,16.3,0.492,0.295,0.202,2.7,8.3,5.5,39.9,2.5,1.4,16.0,23.5,,1.0,1.1,2.1,0.079,,1.4,-0.1,1.3,1.0,2009-10,17.4,6.1,39.6,1.5,2.2,24.3,4.5,0.086,2003-04,20.7,6.1,37.9,5.2,4.8,30.1,7.5,0.133
107,Baron Davis,PG,31,CLE,15,380,19.3,0.548,0.489,0.152,1.8,9.3,5.4,45.4,2.2,1.2,17.0,27.3,,0.5,0.2,0.7,0.086,,4.8,-0.9,3.9,0.6,2009-10,17.4,6.1,39.6,1.5,2.2,24.3,4.5,0.086,2003-04,20.7,6.1,37.9,5.2,4.8,30.1,7.5,0.133
108,Ed Davis,PF,21,TOR,65,1602,15.8,0.583,0.0,0.343,12.1,22.3,17.1,3.8,1.3,3.2,10.1,13.3,,2.9,1.1,4.0,0.119,,-0.2,-0.8,-0.9,0.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,Glen Davis,C,25,BOS,78,2298,12.8,0.499,0.019,0.331,5.7,16.4,11.4,6.6,1.8,1.0,8.5,20.9,,0.6,4.3,4.9,0.102,,-2.6,0.7,-1.9,0.0,2009-10,11.5,13.5,5.9,-4.5,-0.6,19.7,1.6,0.084,2008-09,10.7,11.2,6.5,-2.2,0.0,17.1,3.7,0.108
110,Austin Daye,SF,22,DET,72,1446,13.0,0.518,0.365,0.229,5.2,18.6,11.6,8.5,1.5,2.2,10.2,18.6,,1.2,0.9,2.1,0.07,,-0.8,-0.5,-1.3,0.3,2009-10,12.8,11.5,6.3,-1.8,0.1,18.5,1.3,0.067,2009-10,12.8,11.5,6.3,-1.8,0.1,18.5,1.3,0.067
111,Carlos Delfino,SF,28,MIL,49,1590,13.1,0.517,0.554,0.146,1.7,13.2,7.3,12.1,2.6,0.4,9.5,17.7,,0.9,2.6,3.5,0.105,,-0.3,1.7,1.5,1.4,2009-10,12.9,9.8,14.0,1.5,2.0,18.0,4.8,0.101,2009-10,12.9,9.8,14.0,1.5,2.0,18.0,4.8,0.101
112,Luol Deng,SF,25,CHI,82,3208,15.5,0.549,0.288,0.291,4.4,12.8,8.7,11.9,1.3,1.1,10.7,20.9,,4.7,5.2,9.9,0.149,,1.1,0.6,1.7,3.0,2009-10,16.1,10.7,9.1,1.0,2.0,21.9,5.9,0.106,2006-07,18.7,10.8,11.8,3.0,3.9,22.2,11.3,0.176
