Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,G_prev,G_prev_total,Seasons Played,Previous Season,PS_PTS,PS_TRB,PS_AST,PS_STL,PS_BLK,PS_MP,PS_G,PS_FGA,PS_FG,PS_TOV,PS_3P,PS_3PA,PS_2P,PS_3P%,PS_2PA,PS_2P%,PS_FT%,Best Season,BS_PTS,BS_TRB,BS_AST,BS_STL,BS_BLK,BS_MP,BS_G,BS_FGA,BS_FG,BS_TOV,BS_3P,BS_3PA,BS_2P,BS_3P%,BS_2PA,BS_2P%,BS_FT%
284,Jeremy Lin,PG,26,LAL,74,30,25.8,3.7,8.8,0.424,0.9,2.4,0.369,2.9,6.5,0.444,0.473,2.9,3.6,0.795,0.4,2.3,2.6,4.6,1.1,0.4,2.2,2.6,11.2,71.0,217,2,2013-14,12.5,2.6,4.1,1.0,0.4,28.9,71.0,9.3,4.2,2.5,1.2,3.2,3.0,0.358,6.1,0.492,0.823,2011-12,14.6,3.1,6.2,1.6,0.3,26.9,35.0,10.9,4.9,3.6,0.7,2.1,4.2,0.32,8.8,0.477,0.798
285,Shaun Livingston,PG,29,GSW,78,2,18.8,2.5,5.1,0.5,0.0,0.0,0.0,2.5,5.1,0.503,0.5,0.8,1.2,0.714,0.6,1.8,2.3,3.3,0.6,0.3,1.3,1.4,5.9,76.0,466,7,2013-14,8.3,3.2,3.2,1.2,0.4,26.0,76.0,6.4,3.1,1.4,0.0,0.1,3.1,0.167,6.3,0.486,0.827,2006-07,9.3,3.4,5.1,1.1,0.5,29.8,54.0,8.3,3.9,2.0,0.1,0.3,3.8,0.313,8.0,0.469,0.707
286,Brook Lopez,C,26,BRK,72,44,29.2,7.0,13.7,0.513,0.0,0.1,0.1,7.0,13.6,0.517,0.513,3.1,3.8,0.814,3.0,4.5,7.4,0.7,0.6,1.8,1.4,2.9,17.2,17.0,342,4,2012-13,19.4,6.9,0.9,0.4,2.1,30.4,74.0,14.8,7.7,1.8,0.0,0.0,7.7,0.0,14.8,0.522,0.758,2010-11,20.4,6.0,1.6,0.6,1.5,35.2,82.0,16.0,7.9,2.1,0.0,0.0,7.9,0.0,16.0,0.492,0.787
287,Robin Lopez,C,26,POR,59,59,27.8,4.0,7.4,0.535,0.0,0.0,0.0,4.0,7.4,0.537,0.535,1.7,2.2,0.772,3.2,3.5,6.7,0.9,0.3,1.4,1.2,2.1,9.6,82.0,406,6,2013-14,11.1,8.5,0.9,0.3,1.7,31.7,82.0,7.9,4.3,1.0,0.0,0.0,4.3,0.0,7.8,0.552,0.818,2012-13,11.3,5.6,0.8,0.4,1.6,26.0,82.0,8.8,4.7,1.3,0.0,0.0,4.7,,8.8,0.534,0.778
288,Kevin Love,PF,26,CLE,75,75,33.8,5.5,12.7,0.434,1.9,5.2,0.367,3.6,7.5,0.48,0.509,3.4,4.3,0.804,1.9,7.9,9.7,2.2,0.7,0.5,1.6,1.9,16.4,77.0,364,5,2013-14,26.1,12.5,4.4,0.8,0.5,36.3,77.0,18.5,8.4,2.5,2.5,6.6,6.0,0.376,11.9,0.502,0.821,2013-14,26.1,12.5,4.4,0.8,0.5,36.3,77.0,18.5,8.4,2.5,2.5,6.6,6.0,0.376,11.9,0.502,0.821
289,Kyle Lowry,PG,28,TOR,70,70,34.5,6.1,14.9,0.412,1.9,5.6,0.338,4.3,9.3,0.457,0.476,3.6,4.5,0.808,0.8,3.9,4.7,6.8,1.6,0.2,2.5,3.0,17.8,79.0,506,7,2013-14,17.9,4.7,7.4,1.5,0.2,36.2,79.0,13.7,5.8,2.5,2.4,6.3,3.4,0.38,7.3,0.46,0.813,2013-14,17.9,4.7,7.4,1.5,0.2,36.2,79.0,13.7,5.8,2.5,2.4,6.3,3.4,0.38,7.3,0.46,0.813
290,Kalin Lucas,PG,25,MEM,1,0,6.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
291,John Lucas III,PG,32,DET,21,0,13.0,2.0,5.0,0.404,0.4,1.4,0.31,1.6,3.6,0.44,0.447,0.2,0.2,1.0,0.2,0.6,0.8,2.9,0.4,0.0,0.8,0.9,4.7,42.0,216,4,2013-14,3.8,0.9,1.0,0.3,0.0,14.1,42.0,4.5,1.5,0.5,0.6,2.0,0.9,0.298,2.5,0.349,0.625,2011-12,7.5,1.6,2.2,0.4,0.0,14.8,49.0,7.3,2.9,0.9,1.1,2.9,1.8,0.393,4.4,0.404,0.875
292,Shelvin Mack,PG,24,ATL,55,0,15.1,2.1,5.3,0.401,0.7,2.3,0.315,1.4,3.0,0.467,0.469,0.5,0.6,0.806,0.1,1.3,1.4,2.8,0.5,0.0,0.9,0.6,5.4,73.0,168,2,2013-14,7.5,2.2,3.7,0.7,0.0,20.4,73.0,6.9,2.9,1.2,0.8,2.5,2.0,0.337,4.3,0.464,0.865,2013-14,7.5,2.2,3.7,0.7,0.0,20.4,73.0,6.9,2.9,1.2,0.8,2.5,2.0,0.337,4.3,0.464,0.865
293,Ian Mahinmi,C,28,IND,61,6,18.8,1.9,3.5,0.552,0.0,0.0,,1.9,3.5,0.552,0.552,0.5,1.7,0.304,1.7,4.1,5.8,0.5,0.5,0.8,1.0,2.8,4.3,77.0,306,4,2013-14,3.5,3.3,0.3,0.5,0.9,16.2,77.0,2.5,1.2,0.8,0.0,0.0,1.2,0.0,2.4,0.484,0.621,2011-12,5.8,4.7,0.2,0.6,0.5,18.7,61.0,3.9,2.1,0.8,0.0,0.0,2.1,0.0,3.9,0.549,0.639
294,Devyn Marble,SG,22,ORL,16,7,13.0,0.9,2.8,0.318,0.3,1.4,0.182,0.6,1.4,0.455,0.364,0.3,1.0,0.313,0.3,1.6,1.9,1.1,0.6,0.1,0.6,0.9,2.3,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,Shawn Marion,SF,36,CLE,57,24,19.3,2.1,4.7,0.446,0.2,0.8,0.261,1.9,3.9,0.484,0.468,0.5,0.6,0.765,1.1,2.4,3.5,0.9,0.5,0.5,0.6,1.0,4.8,76.0,976,13,2013-14,10.4,6.5,1.6,1.2,0.5,31.7,76.0,9.3,4.5,1.3,0.8,2.1,3.7,0.358,7.2,0.518,0.785,2005-06,21.8,11.8,1.8,2.0,1.7,40.3,81.0,16.9,8.8,1.5,1.2,3.6,7.7,0.331,13.3,0.577,0.809
296,Kendall Marshall,PG,23,MIL,28,3,14.9,1.6,3.6,0.455,0.6,1.6,0.391,1.0,2.0,0.509,0.545,0.3,0.3,0.889,0.1,0.9,1.0,3.1,0.8,0.0,1.3,0.9,4.2,54.0,102,2,2013-14,8.0,2.9,8.8,0.9,0.1,29.0,54.0,7.8,3.1,2.8,1.3,3.3,1.8,0.399,4.5,0.411,0.528,2013-14,8.0,2.9,8.8,0.9,0.1,29.0,54.0,7.8,3.1,2.8,1.3,3.3,1.8,0.399,4.5,0.411,0.528
297,Cartier Martin,SF,30,DET,23,0,8.6,0.7,2.3,0.283,0.3,1.4,0.182,0.4,0.9,0.45,0.34,0.0,0.0,,0.0,0.9,0.9,0.5,0.1,0.0,0.2,0.9,1.6,59.0,220,3,2013-14,5.6,1.9,0.6,0.5,0.1,14.7,59.0,4.5,1.9,0.6,1.0,2.6,0.9,0.391,1.9,0.46,0.738,2012-13,6.6,2.4,0.5,0.5,0.1,16.9,41.0,6.1,2.3,0.8,1.4,3.6,0.9,0.397,2.6,0.358,0.714
298,Kenyon Martin,PF,37,MIL,11,0,9.5,0.8,2.0,0.409,0.0,0.0,,0.8,2.0,0.409,0.409,0.2,0.2,1.0,0.5,1.2,1.7,0.5,0.5,0.5,0.3,1.2,1.8,32.0,678,10,2011-12,5.2,4.3,0.4,1.0,1.0,22.4,42.0,5.2,2.3,0.8,0.1,0.3,2.2,0.231,4.9,0.454,0.37,2005-06,12.9,6.3,1.4,0.8,0.9,27.6,56.0,10.7,5.3,1.3,0.1,0.4,5.2,0.227,10.3,0.505,0.712
299,Kevin Martin,SG,31,MIN,39,36,33.4,6.8,16.0,0.427,1.9,4.9,0.393,4.9,11.1,0.442,0.487,4.4,4.9,0.881,0.5,3.2,3.6,2.3,0.8,0.0,1.9,1.9,20.0,68.0,620,10,2013-14,19.1,3.0,1.8,1.0,0.1,32.0,68.0,15.0,6.5,1.6,1.7,4.4,4.8,0.387,10.7,0.448,0.891,2008-09,24.6,3.6,2.7,1.2,0.2,38.2,51.0,15.9,6.7,2.9,2.3,5.4,4.4,0.415,10.5,0.423,0.867
300,Wesley Matthews,SG,28,POR,60,60,33.7,5.6,12.5,0.448,2.9,7.4,0.389,2.7,5.1,0.534,0.563,1.8,2.4,0.752,0.6,3.1,3.7,2.3,1.3,0.2,1.4,2.2,15.9,82.0,381,5,2013-14,16.4,3.5,2.4,0.9,0.2,33.9,82.0,12.3,5.4,1.3,2.5,6.2,3.0,0.393,6.1,0.49,0.837,2013-14,16.4,3.5,2.4,0.9,0.2,33.9,82.0,12.3,5.4,1.3,2.5,6.2,3.0,0.393,6.1,0.49,0.837
